Name,Name:
Title,Title:
TitleMistress,Mistress
TitleHeadMaid,Head Maid
TitleMaid,Maid
TitleMasterKidnapper,Master Kidnapper
TitleKidnapper,Kidnapper
TitleNone,None
TitlePonyFoal,Foal
TitlePonyFarm,Farm Horse
TitlePonyCold,Cold Blood Horse
TitlePonyWarm,Warm Blood Horse
TitlePonyHot,Hot Blood Horse
TitlePonyWild,Wild Mustang
TitlePonyUnicorn,Shining Unicorn
TitlePonyPegasus,Flying Pegasus
Lover,Lover:
Owner,Owner:
LoverNone,None
OwnerNone,None
Money,Money:
MemberFor,Member for
FriendsFor,Friends for
Days,day(s)
Unknown,Unknown
Reputation,- Reputation -
ReputationNone,None
ReputationDominantPositive,Dominant:
ReputationDominantNegative,Submissive:
ReputationMaidPositive,Maid Sorority:
ReputationGamblingPositive,Gambling Hall:
ReputationKidnapPositive,Kidnappers League:
ReputationABDLPositive,ABDL:
Skill,- Skills -
SkillNone,None
SkillBondage,Bondage:
SkillEvasion,Evasion:
SkillWillpower,Willpower:
SkillDressage,Pony Dressage:
SkillModifier,Global modifier:
Trait,- Traits -
TraitUnknown,Spend more time with her to know her traits
TraitDominant,Dominant:
TraitSubmissive,Submissive:
TraitViolent,Violent:
TraitPeaceful,Peaceful:
TraitHorny,Horny:
TraitFrigid,Frigid:
TraitRude,Rude:
TraitPolite,Polite:
TraitWise,Wise:
TraitDumb,Dumb:
TraitSerious,Serious:
TraitPlayful,Playful:
Relationship,Relation:
RelationshipPerfect,(Perfect)
RelationshipGreat,(Great)
RelationshipGood,(Good)
RelationshipFair,(Fair)
RelationshipNeutral,(Neutral)
RelationshipPoor,(Poor)
RelationshipBad,(Bad)
RelationshipHorrible,(Horrible)
RelationshipAtrocious,(Atrocious)
