Welcome,Welcome to the Bondage Club
EnterNamePassword,Enter your name and password
AccountName,Account Name
Password,Password
Login,Login
CreateNewCharacter,Or create a new character
NewCharacter,New Character
ErrorLoadingCharacterData,Error loading character data
ValidatingNamePassword,Validating name and password...
ValidatingNamePassword,Incorrect name or password
Error,Error:
InvalidNamePassword,Invalid name or password
Cheats,Select Cheats
ThankYou,Thank you
CreditTypeDevelopers,Developers
CreditTypeTranslators,Translators
CreditTypeSupport,Support
CreditTypePatrons,Sponsors
CreditTypeFans,And a huge thanks to the fans!
