SelectItem,,,Select an item to use
CannotUseOnSelf,,,Cannot use on yourself
RemoveClothesForItem,,,Remove some clothes first
RemoveSuspensionForItem,,,Remove the suspension first
TheyMustBeStandingFirst,,,Must be standing and not suspended first.
CannotBeUsedWhenMounted,,,Cannot be used when mounted.
CannotBeUsedWithFeetSpreader,,,Cannot be used with legs spreader.
RemoveChastityFirst,,,Must remove chastity first.
RemoveChainForItem,,,Remove the chain to the floor first
MustCollaredFirst,,,A collar must be fitted first to attach accessories to.
MustCollaredFirstAndRemoveSuspension,,,Must be collared and not suspended first.
MustCollaredFirstAndRemoveSuspension1,,,Must be collared and not suspended/mounted first.
NoClothAndCollared,,,Remove some clothes and requires a collar.
LegsCannotOpen,,,Legs cannot open.
LegsCannotClose,,,Legs cannot close.
MustFreeFeetFirst,,,Must free feet frist.
RemoveShacklesFirst,,,Must remove shackles first.
Cancel,,,Cancel
Exit,,,Back to character
Next,,,View next items
Remove,,,Remove the item
Use,,,Use this item
Struggle,,,Try to struggle out
Dismount,,,Dismount
Escape,,,Escape from the item
Lock,,,Use a lock
Unlock,,,Unlock the item
InspectLock,,,Inspect the lock
Remote,,,Use your remote
DialogNormalMode,,,Exit Permission Mode
DialogPermissionMode,,,Edit Item Permissions
ButtPump,,,Use the Butt Plug's pump
ColorPick,,,Color of next item
ColorSelect,,,Use this color
ColorCancel,,,Default color
Challenge,,,Challenge:
Swapping,,,Swapping...
Struggling,,,Struggling...
Unlocking,,,Unlocking...
Removing,,,Removing...
Dismounting,,,Dismounting...
Escaping,,,Escaping...
Locking,,,Locking...
Adding,,,Adding...
Impossible,,,Impossible to escape!
CanStruggle,,,Struggle to free yourself
CannotStruggle,,,You'll need help to get out
CanUnlock,,,You can unlock yourself
CannotUnlock,,,You cannot unlock yourself
ZoneBlocked,,,This zone is out of reach from another item
AccessBlocked,,,You cannot access your items
ProgressClick,,,Click here to speed up the progress
ProgressKeys,,,Alternate keys A and S to speed up
PumpLevel0,,,Pump gag level: Empty
PumpLevel1,,,Pump gag level: Light
PumpLevel2,,,Pump gag level: Inflated
PumpLevel3,,,Pump gag level: Bloated
PumpLevel4,,,Pump gag level: Full mouth
InflateLevel0,,,Inflation level: Empty
InflateLevel1,,,Inflation level: Light
InflateLevel2,,,Inflation level: Inflated
InflateLevel3,,,Inflation level: Bloated
InflateLevel4,,,Inflation level: Max
SuctionLevel0,,,Suction Cup level: Loose
SuctionLevel1,,,Suction Cup level: Light
SuctionLevel2,,,Suction Cup level: Medium
SuctionLevel3,,,Suction Cup level: Heavy
SuctionLevel4,,,Suction Cup level: Max
DeflateIt,,,Deflate it
PumpIt,,,Pump it
pumps,,,pumps
deflates,,,deflates
plug,,,plug
gag,,,gag
's,,,'s
Delete,,,Delete
ConfirmDelete,,,Confirm
Beep,,,Beep
BeepFrom,,,Beep from
BeepFromOwner,,,Beep from your owner in your private room
SentBeep,,,Sent at
ReceivedBeep,,,Received at
YourRoom,,,<i>Your private room</i>
InRoom,,,in room
PrivateRoom,,,<i>Private room</i>
IntroductionMaidGreetings,,,"(As you enter the luxurious hallway, a maid comes to greet you.)  Welcome to the Bondage Club, is this your first visit?"
ServerMessageOfferStartTrial,,,"SourceCharacter is offering you to start a trial period as her submissive.  Click on her and manage your relationship to accept, don't do anything to refuse."
ServerMessageStartTrial,,,The Bondage Club is pleased to announce that SourceCharacter is starting a 3 days minimum trial period as a submissive.
ServerMessageOfferEndTrial,,,"SourceCharacter has prepared a great collaring ceremony.  A maid brings a slave collar, which her submissive must consent to wear."
ServerMessageEndTrial,,,The Bondage Club is proud to announce that SourceCharacter is now fully collared.  Her fate is in her Mistress hands.
ServerMessageOwnerRuleChangeAllow,,,Your owner is now allowing you to access your wardrobe and change clothes.
ServerMessageOwnerRuleChangeBlock1Hour,,,Your owner has blocked your wardrobe access for an hour.  You won't be able to change clothes.
ServerMessageOwnerRuleChangeBlock1Day,,,Your owner has blocked your wardrobe access for a day.  You won't be able to change clothes.
ServerMessageOwnerRuleChangeBlock1Week,,,Your owner has blocked your wardrobe access for a week.  You won't be able to change clothes.
ServerMessageOwnerRuleChangeBlock,,,Your owner has blocked your wardrobe access.  You won't be able to change clothes until that rule is revoked.
ServerMessageOwnerRuleWhisperAllow,,,Your owner is now allowing you to whisper to other members when she's there.
ServerMessageOwnerRuleWhisperBlock,,,Your owner is now preventing you from whispering to other members when she's there.
ServerMessageOwnerRuleKeyAllow,,,Your owner is now allowing you to have keys.  You can buy keys from the club shop.
ServerMessageOwnerRuleKeyConfiscate,,,Your owner has confiscated your keys.  All your regular keys are lost.
ServerMessageOwnerRuleKeyBlock,,,Your owner is now preventing you from getting new keys.  The club shop will not sell keys to you anymore.
ServerMessageOwnerRuleRemoteAllow,,,Your owner is now allowing you to have remotes.  You can buy remotes from the club shop.
ServerMessageOwnerRuleRemoteConfiscate,,,Your owner has confiscated your remotes.  All your remotes are lost.
ServerMessageOwnerRuleRemoteBlock,,,Your owner is now preventing you from getting new remotes.  The club shop will not sell remotes to you anymore.
ServerMessageWhisperBlocked,,,You're on SourceCharacter blacklist.  Your message was blocked by the server.
LockMemberNumber,,,Member number on lock:
TimerLeft,,,Time left:
TimerRestart,,,SourceCharacter restarts the five minutes timer padlock on DestinationCharacter BodyPart.
RestartTimer,,,Restart Timer
RemoveItemWithTimer,,,Remove item when the lock timer runs out
WillRemoveItemWithTimer,,,The item will be removed when the lock timer runs out
WontRemoveItemWithTimer,,,The item will stay when the lock timer runs out
SelectBondagePosition,,,Select the bondage position
SelectTapeWrapping,,,Select the tape wrapping
SelectPiercingState,,,Select the piercing attachment
CannotUnlockIfElbowBound,,,A victim cannot unlock herself if her elbows are bound
ItemMiscMetalPadlockIntro,,,"""From your friendly hardware store"""
ItemMiscIntricatePadlockIntro,,,"""To keep your loved one secure"""
ItemMiscTimerPadlockIntro,,,You can restart the timer but cannot unlock
ItemMiscOwnerPadlockIntro,,,"""Never forget who you belong to"""
ItemMiscOwnerPadlockDetail,,,Can only be locked or unlocked by her owner
ItemMiscMistressPadlockIntro,,,Can only be locked or unlocked by a Club Mistress
LeatherCuffsPoseNone,,,Detached
LeatherCuffsPoseWrist,,,Bind wrists
LeatherCuffsPoseElbow,,,Bind elbows
LeatherCuffsPoseBoth,,,Bind both
LeatherCuffsRestrainNone,,,SourceCharacter detaches the chain from DestinationCharacter's leather cuffs.
LeatherCuffsRestrainWrist,,,SourceCharacter attaches the leather cuffs wrist chain behind DestinationCharacter's back.
LeatherCuffsRestrainElbow,,,SourceCharacter attaches the leather cuffs elbow chain behind DestinationCharacter's back.
LeatherCuffsRestrainBoth,,,SourceCharacter attaches the leather cuffs wrist and elbow chains behind DestinationCharacter's back.
LeatherLegCuffsPoseNone,,,Detached
