ActivityKiss,Kiss
ActivityFrenchKiss,French Kiss
ActivityPoliteKiss,Polite Kiss
ActivityLick,Lick
ActivitySuck,Suck
ActivityBite,Bite
ActivityWhisper,Sexy Whisper
ActivityTickle,Tickle
ActivityCaress,Caress
ActivityRub,Body Rub
ActivityMassageHands,Hands Massage
ActivityMassageFeet,Feet Massage
ActivityPolish,Polish
ActivityGrope,Grope
ActivityPinch,Pinch
ActivitySpank,Spank
ActivitySlap,Slap
ActivityBrush,Brush Hair
ActivityPull,Pull Hair
ActivityStrangle,Strangle
ActivityMasturbateTongue,Tongue Masturbation
ActivityMasturbateHand,Hand Masturbation
ActivityMasturbateFist,Fist Masturbation
ActivityMasturbateFoot,Foot Masturbation
ChatSelf-ItemVulva-MasturbateHand,SourceCharacter masturbates her pussy.
ChatSelf-ItemVulva-Caress,SourceCharacter caresses her pussy.
ChatOther-ItemVulva-MasturbateHand,SourceCharacter masturbates TargetCharacter's pussy.
ChatOther-ItemVulva-Caress,SourceCharacter caresses TargetCharacter's pussy.
