Disconnected,You've disconnected from the server.
EnterPassword,Enter your password to log back in.
Account,Account name:
Password,Password:
LogBack,Log back
GiveUp,Give up
ValidatingNamePassword,Validating name and password...
InvalidNamePassword,Invalid name or password
ErrorDisconnectedFromServer,Disconnected from server. Retrying...
ErrorDuplicatedLogin,Disconnected for duplicated login
ErrorUnableToConnect,Unable to connect to server. Retrying...
ErrorRateLimited,Connection rejected: Too many connections from your address
EnterNamePassword,Enter your name and password
