SelectTitle,Select your displayed title
TitleNone,None
TitleMistress,Mistress
TitleHeadMaid,Head Maid
TitleMaid,Maid
TitleMasterKidnapper,Master Kidnapper
TitleKidnapper,Kidnapper
TitlePonyFoal,Foal
TitlePonyFarm,Farm Horse
TitlePonyCold,Cold Blood Horse
TitlePonyWarm,Warm Blood Horse
TitlePonyHot,Hot Blood Horse
TitlePonyWild,Wild Mustang
TitlePonyUnicorn,Shining Unicorn
TitlePonyPegasus,Flying Pegasus
TitlePatient,Patient
TitlePermanentPatient,Permanent Patient
TitleEscapedPatient,Escaped Patient
TitleNurse,Nurse
TitleDoctor,Doctor
