PlayerGagged,,,Lovely gag.  Do you need help with it?  Nod if you do.,,
MaidDrinksVictory,,,(You come back to DialogCharacterName with an empty drink platter.)  Well done!,,
MaidDrinksDefeat,,,(You come back to DialogCharacterName with spilled drinks all over your uniform.),,
0,,,Welcome to the Maid Quarters.  How can I help you?,,"DialogReputationLess(""Maid"", 49)"
0,,,You've done a lot for the maid sorority.  You should apply to become a full sister.,,CanBecomeMaid
0,,,It's great to see you sister!  How can I help you?,,IsMaid
0,,(Nod yes.),(She removes your gag and smiles.)  Much better sweetie.  How can I help you?,MaidUngagPlayer(),!Player.CanTalk()
0,,"Hello, I'm DialogPlayerName.  Pleased to meet you.","Pleased to meet you too.  I'm DialogCharacterName, I'm responsible to find work for maids.",DialogRemove(),"DialogReputationLess(""Maid"", 9)"
0,,What's going on in here?,Maids come here to get job assignments.  They can earn some money by working for the club.,,
0,,What kind of chores do maid do in the club?,"Cleaning, serving drinks, testing new devices, rescuing helpless people and more.",,
0,10,Can I become a maid?,"You could, if you're not afraid of work and you don't mind the uniform.",,"DialogReputationLess(""Maid"", 0)"
0,100,Do you have work for me?,"Absolutely, these are the chores available for you.  (She shows you a list of maid tasks to complete.)",,"DialogReputationGreater(""Maid"", 1)"
0,40,I'd like to become a full maid in the sorority.,That's awesome!  We would be glad to have you.  You really have the maid calling?,,CanBecomeMaid
0,,Tell me about the club.,The Bondage Club is quite old.  It was a secret club back then when BDSM was more taboo.,DialogRemove(),
0,,I can't stay to chat.  (Leave her.),,DialogLeave(),
10,20,I love the uniform!,"Wonderful.  I'm sure we'll find your size.  After lots of work for us, you can earn a permanent uniform that you can keep.",,
10,20,I'll need to dress like you?,"Only when you're doing a chore.  After lots of work for us, you can earn a permanent uniform that you can keep.",,
10,20,I'm not afraid of work.,"That's the spirit!  And after lots of work for us, you can earn a permanent uniform that you can keep.",,
10,0,"Not now, maybe another time.","It's fine, how can I help you then?",,
20,30,"Very good, and you will give me work?","Yes, I have a list of chores that needs to be done.  Simply pick one that you can do.",,
20,30,How do I get work?,I have a list of chores that needs to be done.  Simply pick one that you can do.,,
30,100,Sign me in!  Can I see the list?,"Welcome to the maid sorority, these are the chores available for you.  (She shows you a list of tasks.)","DialogChangeReputation(""Maid"", 1)",
30,100,I'm ready for my first chore!,"Welcome to the maid sorority, these are the chores available for you.  (She shows you a list of tasks.)","DialogChangeReputation(""Maid"", 1)",
40,50,"Yes, I was born to serve.",Perfect!  Your initiation can begin.  (She rings a bell and other maids comes in.),DominantRepChange(-2),
40,50,"Yes, I love your sorority.",Excellent!  Your initiation can begin.  (She rings a bell and other maids comes in.),,
40,0,"I'm not sure, let me think about it.","No problem, you don't have to join now.",,
50,51,What?  Nobody told me about an initiation!,"It won't hurt... too much.  First, you need to get naked.  Strip for us.",,
50,51,Very well Miss.  (Bow your head.),"First, you need to get naked.  Strip for us.",DominantRepChange(-2),
51,52,"Alright, but don't try anything funky.  (Strip naked.)",Don't worry.  (She turns to the other maids.)  Sisters!  Today we introduce a new member in our sorority.,DialogNaked(Player),Player.CanInteract()
51,52,You girls are so kinky.  (Strip naked.),(She smiles and turns to the other maids.)  Sisters!  Today we introduce a new member in our sorority.,DialogNaked(Player),Player.CanInteract()
51,52,Sweet!  Who will fuck me first?  (Strip naked.),(She giggles and turns to the other maids.)  Sisters!  Today we introduce a new member in our sorority.,DialogNaked(Player),Player.CanInteract()
51,,No way!  Can't I stay clothed?,No you can't.  Strip girl.  We've all did it before.,DialogRemove(),
51,,I'll need some help to undress.,Of course sweetie.  (She releases you and gives you a thumbs up.)  Now get naked.,DialogRelease(Player),!Player.CanInteract()
52,53,We will rule the club together my sisters.,"You're pretty ambitious, I like it.  Let the initiation begin!  We can restrain her.",DominantRepChange(2),
52,53,I'm really happy to join you all.,We are happy to have you.  Let the initiation begin!  We can restrain her.,,
52,53,Let's do our best to serve the club.,That's the spirit.  Let the initiation begin!  We can restrain her.,DominantRepChange(-1),
53,54,Restrain me?  I'm already naked.  Isn't that enough?,"You're in the Bondage Club sweetie, it's a regular initiation.",DialogRemove(),
53,54,Very well.  (Allow them to restrain you.),(She grabs your arms and restrain them behind your back.),"DialogWearRandomItem(""ItemArms"")",
54,55,You sure know how to do an initiation.,It's only the beginning.  (She quickly restrains your feet.),"DialogWearRandomItem(""ItemFeet"")",
54,55,(Struggle playfully.),(They all giggle looking at you while DialogCharacterName restrains your feet.),"DialogWearRandomItem(""ItemFeet"")",
