ActionSwap,SourceCharacter swaps a PrevAsset for a NextAsset on DestinationCharacter FocusAssetGroup.
ActionUse,SourceCharacter uses a NextAsset on DestinationCharacter FocusAssetGroup.
ActionLock,SourceCharacter locks a NextAsset on DestinationCharacter FocusAssetGroup.
ActionAddLock,SourceCharacter adds a NextAsset on DestinationCharacter FocusAssetGroup PrevAsset.
ActionRemove,SourceCharacter removes the PrevAsset from DestinationCharacter FocusAssetGroup.
ActionUnlock,SourceCharacter unlocks and removes the PrevAsset from DestinationCharacter FocusAssetGroup.
ActionDice,SourceCharacter rolls a DiceType sided dice.  The result is: DiceResult.
ActionCoin,SourceCharacter flips a coin.  The result is: CoinResult.
PublicChat,Talk to everyone
WhisperTo,Whisper to
Heads,Heads
Tails,Tails
Her,her
's,'s
KneelDown,kneels down
StandUp,stands up
ServerMessageOfferStartTrial,"SourceCharacter is offering you to start a trial period as her submissive.  Click on her and manage your relationship to accept, don't do anything to refuse."
ServerMessageStartTrial,The Bondage Club is pleased to announce that SourceCharacter is starting a 3 days minimum trial period as a submissive.
ServerMessageOfferEndTrial,"SourceCharacter has prepared a great collaring ceremony.  A maid brings a slave collar, which her submissive must consent to wear."
ServerMessageEndTrial,The Bondage Club is proud to announce that SourceCharacter is now fully collared.  Her fate is in her Mistress hands.
