PlayerGagged,,,Communicating with a gag is quite hard.  You'll need to remove it to chat.,,
ReleaseHeadMaid,,,"Of course, head maid DialogPlayerName.  (She releases you.)",,
ItemMouth,,,"(She first shakes her head to avoid the gag, but eventually surrenders as you silence her.)",,
RemoveItemMouth,,,"(You remove her gag while she stretches her mouth.)  Thanks, it's hard to introduce newcomers with that gag.",,
ItemEars,,,(You push some earplugs into place.) Oh everything is so quiet now.,,
RemoveItemEars,,,(You pull the earplugs out.) Oh i can hear you clearly again.,,
ItemArms,,,(She sighs and turns around while you restrain her arms.)  It might be a little hard to work like that Miss.,,
RemoveItemArms,,,"(You free her arms and she nods slowly.)  Thanks a lot Miss, this is much better.",,
ItemHands,,,(She sighs and lets you restrain her hands.) It's going be difficult to work now miss.,,
RemoveItemHands,,,(You slowly release her hands.)  Thanks you Miss this is much better,,
ItemLegs,,,(She submits to you while you restrain her legs.)  Do I get paid overtime if I'm stuck here?,,
RemoveItemLegs,,,(You release her legs from the restraint.)  You're quite good with restraints Miss.,,
ItemFeet,,,(She looks puzzled as you restrain her feet.)  I didn't plan on running anytime soon.,,
RemoveItemFeet,,,(You release her feet.)  Wonderful!,,
ItemNeck,,,(You strap the collar on her while she blushes.)  I bet you're a great Mistress.,,
RemoveItemNeck,,,(You remove the collar around her neck while she stares into your eyes.),,
ItemPelvis,,,"(She struggles as you lock the device on her.)  No, please don't!  I don't have a key!",,
RemoveItemPelvis,,,(She looks extremely relieved as you unlock the device.)  Thank you so much Miss DialogPlayerName.,,
ItemHead,,,(You strap the device on her head as she sighs.)  Well this could make my shift difficult...,,
RemoveItemHead,,,(You remove the device as she shakes her head joyfully.)  Wonderful!  That'll make my day easier.,,
ItemBreastLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ouch!  Miss Head Maid!,,
ItemBreastLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.) Owwwwwww!,,
ItemPelvisLeatherWhip,,,(You whip her butt hard as she sighs.)  Ahh! I promise I'll work harder Miss Head Maid!,,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  Oww! That stings Miss.,,
0,,,Greetings Mistress DialogPlayerName.  Welcome to the introduction class.  (She does curtsies for you.),,"DialogLogQuery(""ClubMistress"", ""Management"")"
0,,,Greetings head maid DialogPlayerName.  Welcome to the introduction class.  (She does curtsies for you.),,IsHeadMaid
0,,,(She stares at you.)  Hello naked girl.  Welcome to the introduction class.,,Player.IsNaked()
0,,,"Hi sister, welcome to the introduction class.",,IsMaid
0,,,"Hello there, welcome to the introduction class.",,!IsMaid
0,,"Hi, my name is DialogPlayerName.","Pleased to meet you.  I'm DialogCharacterName, I work here as a maid.",DialogRemove(),NoTitle()
0,10,"Thanks, little maid.  What's going on here?","In here, you can learn how to restrain someone, and how to escape by yourself.",ChangeMaidOpinion(1),
0,10,Introduction class?,"In this class, you can learn how to restrain someone, and how to free yourself.",,
0,100,I don't need any introduction.,"Very well, would you like to practice with us then?",,
0,,I can't stay to chat.  (Leave her.),,DialogLeave(),
10,,Can I strap up anyone at any time?,Yes and no.  You need their consent and you cannot do it in the middle of a conversation.,DialogRemove(),
10,20,This is great!,I'm glad you like it.  Let me teach you about the body parts your can restrain.,,
10,20,It sounds kinky. (Blush a little.),It's kinky and it's fun!  Let me teach you first about the body parts your can restrain.,ChangeMaidOpinion(-1),
10,15,Tell me about the club first.,The Bondage Club is a place for open minded adults to share their BDSM kinks.,,
10,,You're both a maid and a teacher?,We maids do a lot of work here.  You'll see this with time.,DialogRemove(),!IsMaid
10,100,I already know that.,"Very well, would you like to practice with us then?",,
15,20,Fair enough.,Very well.  Let me teach you about the body parts your can restrain.,,
