PlayerGagged,,,It seems that someone got kidnapped recently.  (She giggles.)  I can't understand you though.,,
KidnapVictory,,,(She bows her head.)  Congratulations on your victory!  I'm your victim.,,
KidnapDefeat,,,(She smiles.)  That was a fun fight wasn't it?,,
BountyIntroduction,,,"You need to find and kidnap BOUNTYNAME.  She usually kidnaps newcommers.  If you succeed, you'll get paid BOUNTYAMOUNT$.",,
BountyShibariDojo,,,Your bounty is BOUNTYNAME.  She really likes Japanese rope bondage.  The bounty amout is BOUNTYAMOUNT$.,,
BountyShop,,,Find and restrain BOUNTYNAME for a bounty of BOUNTYAMOUNT$.  She's a big spender and loves to shop.,,
BountyMaidQuarters,,,There's a bounty of BOUNTYAMOUNT$ for BOUNTYNAME.  She's a part time maid for the club.,,
CantReleasePlayer,,,"Look at me, I cannot help you now.",,
ItemMouth,,,"(She first shakes her head to avoid the gag, but finally surrenders as you silence her.)",,
RemoveItemMouth,,,"(You remove her gag while she stretches her mouth.)  Thanks Miss, it's hard to dispatch maids with that gag.",,
ItemArms,,,(She sighs and turns around while you restrain her arms.)  It might be a little hard to work like that Miss.,,
RemoveItemArms,,,(You free her arms and she nods happily.)  Thanks a lot Miss.,,
ItemLegs,,,(She submits to you while you restrain her legs securely.)  I don't need to move anyway.,,
RemoveItemLegs,,,(You release her legs from the restraint.)  Let me know if I can help you Miss.,,
ItemFeet,,,(She looks puzzled as you restrain her feet.)  I'll stay on guard here Miss.,,
RemoveItemFeet,,,"(You release her feet and she wiggles them.)  Thanks Miss, it was troublesome.",,
ItemNeck,,,(You strap the collar on her while she blushes.)  You're quite a Dominant Miss.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Thanks Miss.,,
ItemPelvis,,,(You snap the belt around her waist and crotch while she sighs.)  No more fun for the crew.,,
RemoveItemPelvis,,,(You unlock the belt from her waist and she smiles.)  Thanks a lot Miss DialogPlayerName.,,
ItemHead,,,(You strap the device on her head as she nods slowly.)  This will not make my job easier Miss.,,
RemoveItemHead,,,"(You remove the device and she nods rapidly.)  Thanks a million, this is much better.",,
0,,,Welcome to the Kidnappers League.  Are you here to register as a kidnapper?,,"DialogReputationLess(""Kidnap"", 0)"
0,,,It's wonderful to see you Miss.  It's always thrilling to see one of our best kidnapper.,,"DialogReputationGreater(""Kidnap"", 100)"
0,,,"Hi DialogPlayerName, it's always nice to see you.  Do you want to practice with me?",,"DialogReputationGreater(""Kidnap"", 50)"
0,,,Welcome to the league dear member.  Do you need some explainations or do you want to practice with me?,,"DialogReputationGreater(""Kidnap"", 1)"
0,,"Hi, I'm DialogPlayerName.","I'm DialogCharacterName, it's nice to meet you.  I register league kidnappers and do practice fights.",DialogRemove(),"DialogReputationLess(""Kidnap"", 19)"
0,40,How does kidnappings work?,There's a lot to explain on fighting and kidnapping.  What would you like to know?,,
0,30,Tell me about the league.,Sure!  What would you like to know?,,
0,20,I want to join the Kidnappers League.,Excellent!  We are always eager to get new members.  You know the league rules and accept them?,,"DialogReputationLess(""Kidnap"", 0)"
0,29,I want to leave the league.,"I'm sorry to hear that, but you can come back later.  You will lose your reputation in the league though, are you sure you want to leave?",,"DialogReputationGreater(""Kidnap"", 1)"
0,50,I will take a bounty hunter job.,We have a many kidnapping bounty available.  Are you looking for an easy target or a challenge?,,CanTakeBounty()
0,,Who's my bounty target again?,,BountyRemind(),BountyTaken()
0,10,I want to practice kidnappings with you.,Great!  I can go easy on you or use all my tricks if you're confident enough.  How will it be?,ResetTrainer(),AllowKidnap()
0,,Let's talk later.  (Leave her.),,DialogLeave(),
10,,Please go easy on me.,,StartKidnap(-3),
10,,A regular match please.,,StartKidnap(0),
10,,Give me a tough fight.,,StartKidnap(4),
10,,I can face any challenge.,,StartKidnap(8),
10,0,I've changed my mind.,It's fine.  Would you like to talk then?,,
20,21,Tell me of the rules.,"First, all league members can kidnap and be kidnapped at any time in the Bondage Club.  Do you agree to that?",,
20,21,I know the rules.,So you agree that you can kidnap and be kidnapped at any time in the Bondage Club.,,
21,22,I accept.,"We kidnap each other for fun but it's always consensual.  If someone panics or wants to be release, you must let her go.",,
21,0,I refuse.,"Then you cannot join the kidnappers league, sorry.",,
22,23,I accept.,"You can fight while you kidnap, but you can't do anything that would leave permanent marks or damage on your opponents.",,
22,0,I refuse.,"Then you cannot join the kidnappers league, sorry.",,
23,24,I accept.,You're ready to join the league then!  Are you in?,,
23,0,I refuse.,"Then you cannot join the kidnappers league, sorry.",,
24,0,I'm in!  (Join the league.),Welcome to the Kidnappers League then!  I hope you will have fun and cause lots of trouble.,"DialogChangeReputation(""Kidnap"", 1)",
24,0,I've changed my mind.,"Alright, let me know if you ever want to join the league again.",,
29,0,I quit.  (Leave the league.),"Fine, you won't be kidnapped and cannot kidnap anymore.","DialogSetReputation(""Kidnap"", 0)",
29,0,I need to think some more. (Stay.),Perfect!  I'm glad you're staying with us.,,
30,,What is the Kidnappers League?,"We are a kinky group that enjoys kidnapping and being kidnapped.  Even if we play rough, it's always consensual.",,
30,,The league members kidnap each other all the time?,"Pretty much.  (She giggles.)  Members can stalk, attack and kidnap each other everywhere and at any time in the Bondage Club.",,
30,,Do people get hurt?,It can happen when a fight gets too intense.  We try to never do anything that could cause permanent injuries.,,
30,,How can a kidnapping be consensual?,"Just like BDSM, the kidnappings are consensual.  We all agree that we can be kidnapped and we can leave the league if we want to quit.",,
30,,How much does it cost?,There's no cost to join and there are bounty hunter jobs that you can take if you need some money.,,
30,,Can members leave the league?,Of course.  Though you will lose any reputation gained in the league before.,,
30,0,That's enough.,Very good.  Can I help you with anything else?,,
40,,How do I kidnap?,"To kidnap, you must fight your opponent and break her willpower.  You can use many types of moves and items to make her submit to you.",,
