SyncWithServer,"Synchronizing with server, please wait..."
RescueIsComing,A rescue maid is coming...
OnlinePlayers,Online Members:
IntroductionClass,Introduction Class
MaidQuarters,Maid Quarters
ShibariDojo,Shibari Dojo
KidnapLeague,Kidnappers League
PrivateRoom,Private Room
ClubManagement,Club Management
SearchSarah,Search for Sarah
ExploreClub,Explore the Club
ChatRooms,Online Chat Rooms
Shop,Club Shop
Profile,Your Profile
Appearance,Change Appearance
Exit,Leave the Club
SarahBedroom,Sarah's Bedroom
Gambling,Gambling by git4nick
Prison,Prison by git4nick
Photographic,Photographic by git4nick
Stable,Stable by git4nick
Nursery,The Nursery by wildsj
SlaveMarket,Slave Market by wildsj
RandomKidnap,Seek Trouble by fleisch11
Magic,Houdinins Theater by git4nick
