PlayerGagged,,,(She looks at your gag and giggles.),,
2000,,,"(A club member is restrained in your room.  She struggles in her cuffs.)  Hello there, I think I got in trouble.",,CurrentCharacter.IsRestrained()
2000,,,"(A club member restrained a maid in your room.)  Hello there.  As you can see, this maid seems to enjoy trouble.",,!CurrentCharacter.IsRestrained()
2000,2010,What's going on here?,"To make a long story short: I was exploring this dungeon, a maid came in, she locked these cuffs on me, and here I am now.",,CurrentCharacter.IsRestrained()
2000,2010,What's going on here?,"To make a long story short: I was exploring this dungeon, a maid came in wanting to be cuffed, so I locked her up.",,!CurrentCharacter.IsRestrained()
2000,2010,Why are you restrained?,"To make a long story short: I was exploring this dungeon, a maid came in, she locked these cuffs on me, and here I am now.",,CurrentCharacter.IsRestrained()
2000,2010,Why did you restrain her?,"To make a long story short: I was exploring this dungeon, a maid came in wanting to be cuffed, so I locked her up.",,!CurrentCharacter.IsRestrained()
2000,,(Check the room.),,DialogLeave(),
2010,2020,I've reserved this room.,"(She nods.)  You must be the Mistress I came to interview then.  I'm the journalist, sorry for the confusion.",,
2010,2020,You're in my dungeon.,"(She gulps.)  Sorry for the confusion, I'm a journalist.  Are you here for the interview?",,
2010,2020,And why are you here?,"I'm a journalist, I came here to work.  Are you here for the interview?",,
2020,,,Are you here for the interview?,,
2020,2030,Who do you work for?,I work for City News.  I'm here to prepare an article on your BDSM club.,,
2020,2030,A journalist in these clothes?,"(She blushes.)  I know it sounds strange, but I work for City News.  I will prepare an article on your BDSM club.",,
2020,2030,I don't believe you.,(She seems nervous.)  I swear it's true!  I work for City News.  I will prepare an article on your BDSM club.,,
2020,,(Check the room.),,DialogLeave(),
2030,2040,"So, you're a kinky journalist?",(She bows her head.)  I...  I guess that's why they sent me.  Can we do the interview?,,
2030,2040,You will get more than an article.,(She seems nervous.)  What do you mean?  Can we do the interview?,,
2030,2040,(Pinch her cheek.)  You're in trouble.,(She cringes as you pinch her cheek hard.)  What do you mean?  Can we do the interview?,"DoActivity(""InterviewMistressPinchCheek"")",
2040,,,Can we do the interview?,,
2040,2050,I must punish first.,"(She seems very nervous.)  You can't punish me, I'm not a club member.  This is unfair!",,
2040,2050,Rules have been broken girl.,"(She seems very nervous.)  I'm not a member, I didn't know the rules.  This is unfair!",,
2040,,(Check the room.),,DialogLeave(),
2050,2060,You want it fair?,Yes!  I want a fair trial.  I'm innocent.,,
2050,2060,Justice is relative here.,Nonsense!  I want a fair trial.  I'm innocent.,,
2060,,,I want a fair trial!  I'm innocent.,,
2060,2100,Let's do a trial.  (Go get a gavel.),,"DoActivity(""InterviewMistressStartTrial"")",
2060,2200,There won't be any trial.,"(She seems furious.)  This is so unfair!  Do what you want, but my article won't be flattering.","DoActivity(""InterviewMistressSkipTrial"")",
2060,,(Check the room.),,DialogLeave(),
2100,,,You can accuse and judge at the same time?,,
2100,2110,The BDSM court is in session!,Oh my!  This is for real?  What would I do?,,
2100,2110,Yes.  And I will be a fair judge.,We'll see about that.  What would I do?,,
2100,,(Check the room.),,DialogLeave(),
2110,,You will be restrained for your hearing.,What?  This is the regular procedure?  (She complaints as you use restraints on her.),"DoActivity(""InterviewMistressCourtRestrainJournalist"")",!CurrentCharacter.IsRestrained()
2110,2120,I'm ready to hear your testimony.,(She describes the previous scenes to you and the camera.),"DoActivity(""InterviewMistressCourtHearJournalist"")",
2110,2120,Tell me your side of the story.,(She describes the previous scenes to you and the camera.),"DoActivity(""InterviewMistressCourtHearJournalist"")",
2120,2130,Do you have anything else to add?,"I don't, that was my full story.  Can you see that I'm innocent?",,
2120,2130,(Masturbate as she speaks.),(You masturbate a little as she completes her speech.)  That's my story.  Can you see that I'm innocent?,"DoActivity(""InterviewMistressCourtMasturbate"")",
2120,2130,I've heard enough.,Alright.  Can you see that I'm innocent?,,
2130,,,Can you see that I'm innocent?,,
2130,2210,You are guilty.  (Knock the gavel.),(She takes a deep breath.)  Fine!  Do what you want.  I can't believe I'm getting punished.,,
2130,2140,You are innocent.  (Knock the gavel.),The law seems to work around here.  Should we do the interview then?,,
2130,,(Check the room.),,DialogLeave(),
2140,2150,"Yes, let's begin the interview.","(She nods.)  Very good, I have many questions on the Bondage Club.",,
2140,2150,What would you like to know?,I have a list of questions on the Bondage Club.,,
2150,,,I have more questions for you Miss.,,
2150,,(Answer her questions.),(She has many questions on the Bondage Club for you.  The camera zooms in for the spicy ones.),"DoActivity(""InterviewMistressInterview"")",
2150,,(Restrain her as she asks questions.),(You restrain her as she asks a few questions on the Bondage Club.),"DoActivity(""InterviewMistressInterviewRestrainJournalist"")",
2150,,(Release her as she asks questions.),(You release her as she asks a few questions on the Bondage Club.),"DoActivity(""InterviewMistressInterviewReleaseJournalist"")",
2150,,(Flirt with her.),(You answer some questions but focus more on flirting with her as she blushes.),"DoActivity(""InterviewMistressInterviewFlirt"")",
2150,,(Check the room.),,DialogLeave(),
2200,,,"(She seems furious.)  This is so unfair!  Do what you want, but my article won't be flattering.",,
2200,2210,"My club, my rules.  You will be punished.",(She seems very angry.)  I can't believe I'm getting punished.,,
2200,2210,You're making it worse for yourself.,(She seems very angry.)  I can't believe I'm getting punished.,,
2200,,(Check the room.),,DialogLeave(),
2210,,,I can't believe I'm getting punished.,,
2210,,(Restrain her.),(You pick up new restraints for her as the camera follows the rigging.)  Don't make it too tight.,"DoActivity(""InterviewMistressPunishRestrain"")",
2210,,(Gag her.),(She shakes her head no as you pick up a gag for her mouth.),"DoActivity(""InterviewMistressPunishGag"")",
2210,,(Strap her on the cross.),(You push her against the big cross and strap her tight on it.)  This is beyond unfair.,"DoActivity(""InterviewMistressPunishCross"")","CanDoActivity(""InterviewMistressPunishCross"")"
2210,,(Release her.),(She seems grateful as you release her from her restraints.)  Thanks...  I guess.,"DoActivity(""InterviewMistressPunishRelease"")",CurrentCharacter.IsRestrained()
2210,,(Spank her.),(You spank her pretty hard as she whimpers from the pain.)  This is so humiliating.,"DoActivity(""InterviewMistressPunishSpank"")",
2210,,(Slap her.),(You slap her on the face a few times as she makes angry eyes at you.),"DoActivity(""InterviewMistressPunishSlap"")",
2210,,(Hit her with the gavel.),(You hit her body a few times with the gavel as she grumbles.)  What kind of justice was that?,"DoActivity(""InterviewMistressPunishGavel"")","CanDoActivity(""InterviewMistressPunishGavel"")"
2210,,(Check the room.),,DialogLeave(),
2250,2260,What are you doing?,Isn't it obvious?  (They strap your arms and smile at each other.)  ,"DoActivity(""InterviewMistressTurnTablesArms"")",
2250,2260,Let me go!,You're not going anywhere.  (They strap your arms and smile at each other.),"DoActivity(""InterviewMistressTurnTablesArms"")",
2250,2260,(Try to fight them.),(You try to resist but they strap your arms and smile at each other.),"DoActivity(""InterviewMistressTurnTablesArms"")",
2260,2300,You two are in big trouble.,I think you're the one getting in trouble.  (They strap your legs tight.)  Now we will have justice.,"DoActivity(""InterviewMistressTurnTablesLegs"")",
2260,2300,Release me right now.,Don't make me laugh.  (They strap your legs tight.)  Now we will have justice.,"DoActivity(""InterviewMistressTurnTablesLegs"")",
2300,,,(She laughs out loud.)  Ah!  Look at you now.  It's now time for real justice.,,
2300,2310,Justice?  What do you mean?,"Since you did not want to do a trial, we will put you on trial.  (She winks at the maid.)",,
2300,2310,I make the rules here.,"You don't anymore.  Since you did not want to do a trial, we will put you on trial.  (She winks at the maid.)",,
2300,2310,(Make an intimidating look.),"(She takes a step back.)  Since you did not want to do a trial, we will put you on trial.  (She winks at the maid.)",,
2300,,(Check the room.),,DialogLeave(),
2310,2320,There won't be any trial.,"Oh yes there will be one.  You are accused of unfair punishment, how do you plead?",,
2310,2320,Forget it girl.,"(She takes a more serious tone.)  You are accused of unfair punishment, how do you plead?",,
2310,2320,(Struggle in your restraints.),"(The camera zooms on your struggles as she laughs.)  You are accused of unfair punishment, how do you plead?","DoActivity(""InterviewMistressTurnTablesTrialStruggle"")",
2320,,,"You are accused of unfair punishment, how do you plead?",,
2320,2330,I plead innocent.,"Present your arguments then, we will hear your case.",,
2320,2350,I plead guilty.,"Very good.  And since we are fair judges, we will allow to pick who will choose your sentence.","DoActivity(""InterviewMistressTurnTablesEndTrial"")",
2320,2330,This is a joke.,"Nobody is laughing.  Present your arguments, we will hear your case.",,
2320,2330,(Stay silent and defiant.),"Present your arguments, we will hear your case.",,
2320,,(Check the room.),,DialogLeave(),
2330,2340,(Try to make a convincing case.),You make an interesting case.  Me and the maid will deliberate and get back to you.  (They start to chat.),,
2330,2340,(Plead a little.),That's not very convincing.  Me and the maid will deliberate and get back to you.  (They start to chat.),,
2330,2340,Fuck you girl!,That's your argument?  Me and the maid will deliberate and get back to you.  (They start to chat.),,
2340,2350,Common!  End this farce already.,"(They talk some more and get back to you.)  You are found guilty, but since we are fair, we will allow you to pick who will choose your sentence.","DoActivity(""InterviewMistressTurnTablesEndTrial"")",
2340,2350,Get me out girls.,"(They talk some more and get back to you.)  You are found guilty, but since we are fair, we will allow you to pick who will choose your sentence.","DoActivity(""InterviewMistressTurnTablesEndTrial"")",
2340,2350,I don't have time for this.,"(They talk some more and get back to you.)  You are found guilty, but since we are fair, we will allow you to pick who will choose your sentence.","DoActivity(""InterviewMistressTurnTablesEndTrial"")",
2340,2350,(Stay silent and wait.),"(They talk some more and get back to you.)  You are found guilty, but since we are fair, we will allow you to pick who will choose your sentence.","DoActivity(""InterviewMistressTurnTablesEndTrial"")",
2350,,,You are found guilty.  We will allow you to pick who will choose your sentence.,,
2350,,There won't be any sentence.,That's where you're wrong.  Justice as spoken.  Should I pick the sentence?  I won't pull any punches.,DialogRemove(),
2350,2360,Fine.  You pick the sentence.,Very well...  Your sentence will be to do the interview bound and naked.  And we will publish pictures.,"DoActivity(""InterviewMistressTurnTablesSentence"")",
2350,,Let me think about it.  (Leave her.),,DialogLeave(),
2360,2370,You can't do that!,We can and we will.  It's time to get your dressed up for your interview.  I have lots of questions.,,
2360,2370,Wait!  Can we negotiate?,It's too late for that.  It's time to get your dressed up for your interview.  I have lots of questions.,,
2360,2370,"Fine, do what you want.",(She nods happily.)  It's time to get your dressed up for your interview.  I have lots of questions.,,
2370,2380,Don't you dare!,(They strip you naked and restrain you once again.  The journalist dresses back up.)  It will be a great interview.,"DoActivity(""InterviewMistressTurnTablesSentenceJournalist"")",
2370,2380,Make it quick.,(They strip you naked and restrain you once again.  The journalist dresses back up.)  It will be a great interview.,"DoActivity(""InterviewMistressTurnTablesSentenceJournalist"")",
2370,2380,(Try to resist.),(They strip you naked and restrain you once again.  The journalist dresses back up.)  It will be a great interview.,"DoActivity(""InterviewMistressTurnTablesSentenceJournalist"")",
2380,,(Answer regular questions.),(You answer many of her questions and inform the viewers about the club.),"DoActivity(""InterviewMistressTurnTablesSentenceJournalist1"")",
2380,,(Answer spicy questions.),(She blushes a lot as you answer the spiciest questions about the club.),"DoActivity(""InterviewMistressTurnTablesSentenceJournalist2"")",
2380,,(Do publicity for the club.),(You do some good publicity for the club as the director gives you a thumbs up.),"DoActivity(""InterviewMistressTurnTablesSentenceJournalist3"")",
