PlayerGagged,,,"Girl, I'm not going to try to translate your mumbles.",,
0,,,(She inspects your restraints and looks at you from head to toes.)  What happened here?,,Player.IsRestrained()
0,,,(She looks at the maid and turns to you.)  What happened here?,,!Player.IsRestrained()
0,,Who are you?,I'm Mistress DialogCharacterName.  I've reserved this room.  You should not be here.  What's going on?,DialogRemove(),
0,,(Whimper in your gag.),(She stares at your gag and smirks.)  Let's remove that for now.  (She unstraps your gag and confiscates it.),"DoActivity(""InterviewMistressUngagPlayer"")",!Player.CanTalk()
0,10,Your maid is really kinky.,She should be done cleaning and you should not be here.  I've reserved this room for an interview with a journalist.,,Player.IsRestrained()
0,10,I started on my own and she continued.,She should be done cleaning and you should not be here.  I've reserved this room for an interview with a journalist.,,Player.IsRestrained()
0,10,I fell into her trap.,She should be done cleaning and you should not be here.  I've reserved this room for an interview with a journalist.,,Player.IsRestrained()
0,10,I had some fun with the maid.,She should be done cleaning and you should not be here.  I've reserved this room for an interview with a journalist.,,!Player.IsRestrained()
0,10,The maid needed some discipline.,She should be done cleaning and you should not be here.  I've reserved this room for an interview with a journalist.,,!Player.IsRestrained()
0,10,She wanted to get in trouble.,She should be done cleaning and you should not be here.  I've reserved this room for an interview with a journalist.,,!Player.IsRestrained()
0,,(Leave her.),,DialogLeave(),
10,20,I'm the journalist.,Oh really?  And for which company are you working for?,,
10,20,I will be doing that interview.,Oh really?  And for which company are you working for?,,
10,30,I guess I should go then.,Not so fast young lady.  You and the maid must be punished first.,,
10,30,I'm sorry Miss.,"Sorry or not, you and the maid are getting punished.",,
20,30,The Daily Planet.,Very funny young lady.  You and the maid will be punished for that.,,
20,1000,City News.,"Very good, sorry about that, lets get you back in your clothes.",,!Player.IsRestrained()
20,1000,City News.,"Very good, sorry about that, lets get you back in your clothes.  (She releases you from your restraints.)","DoActivity(""InterviewMistressReleasePlayer"")",Player.IsRestrained()
20,30,The Daily Bugle.,Very funny young lady.  You and the maid will be punished for that.,,
20,30,I forgot the name.,You're a horrible liar young lady.  You and the maid will be punished for that.,,
30,40,You can't punish us!,I can and I will.  You two need to learn about strict discipline.,"DialogChangeReputation(""Dominant"", 2)",
30,40,This isn't fair.,I make the rules here.  You two need to learn about strict discipline.,,
30,40,(Sigh and bow your head.),Good girl.  You two need to learn about strict discipline.,"DialogChangeReputation(""Dominant"", -2)",
40,50,Please don't be too strict.,Begging won't help you girl.  I want you both naked.,,
40,50,What do you want from us?,"First thing first, I want you both naked.",,
50,60,Yes Mistress.,(She smiles and stares at you.)  Maybe you will enjoy this.  (She strips you both naked.),"DoActivity(""InterviewMistressStripBoth"")",
50,60,Is that necessary?,(She grins and nods.)  I judge what's necessary.  (She strips you both naked.),"DoActivity(""InterviewMistressStripBoth"")",
50,60,Do not touch me!,(She grabs your face to shut you up.)  I will enjoy this.  (She strips you both naked.),"DoActivity(""InterviewMistressStripBoth"")",
60,70,This is so humiliating.,"It's only beginning.  (She sits on the drawer, grab the maid, put her over her knees and spank her hard.)  Now it's your turn.","DoActivity(""InterviewMistressSpankMaid"")",
60,70,Are you happy now?,"Not yet.  (She sits on the drawer, grab the maid, put her over her knees and spank her hard.)  Now it's your turn.","DoActivity(""InterviewMistressSpankMaid"")",
70,,,It's your turn to be spanked.  Come here.,,
70,,Poor girl.  (Check on the maid.),,DialogLeave(),
70,80,(Present your butt.),"(She grabs you by the hair, put you on her knees and spanks you with vigor.)","DoActivity(""InterviewMistressSpankPlayer"")",
70,80,This is going too far.,"(She grabs you by the hair, put you on her knees and spanks you with vigor.)","DoActivity(""InterviewMistressSpankPlayer"")",
80,90,Please Miss!  It hurts so much.,"So, you like pleasure more than pain little one?  (She starts to caress your leg.)","DialogChangeReputation(""Dominant"", -2)",
80,90,That's the best you can do?,"You're a tough girl, aren't you?  You don't feel anything?  (She starts to caress your leg.)","DialogChangeReputation(""Dominant"", 2)",
