PlayerGagged,,,(She checks your gag.)  This gag is a perfect fit Miss.,,
FightVictory,,,(She seems pretty mad.)  What do you think you're doing?   You will get caught right away.,,
FightDefeat,,,(She seems very happy.)  You're no match for Pandora's staff.  Now it's time to prepare your punishment.,,
Punishment8,,,"(A Dominatrix takes you away from the maid.)  So, we've caught the infamous DialogPlayerName.  You'll never forget this lesson.",,
Punishment5,,,(A Dominatrix takes you away from the maid.)  You've been on list for a while DialogPlayerName.  I'll teach you a lesson.,,
Punishment2,,,"(A Dominatrix takes you away from the maid.)  (She cracks her knuckles.)  So, you're a troublemaker?  I'll teach you a lesson.",,
Punishment0,,,(A Dominatrix takes you away from the maid.)  (She stares at you.)  You've caused some trouble?  Then it's time for your lesson.,,
0,,,"Welcome to Pandora's Box, the best BDSM club in town.  It will be my pleasure to introduce you.",,
0,95,I'm a member.  (Show your fake ID.),"(She looks at your ID and nods.)  I'm so sorry Miss, please come inside and have fun.",,"HasPerk(""Forgery"")"
0,80,Thanks.  What goes on around here?,"We are an adult club, aimed at fulfilling your wildest fantasies.  Be careful when you open the box.  (She giggles.)",,
0,80,You're cute in that costume.,"Thanks Miss, but this is not a costume, it's my work uniform.  I work here as a full-time maid.  (She smiles.)",,
0,80,"Yes, can you introduce me?","(She nods.)  We are an adult club, aimed at fulfilling your wildest fantasies.  Be careful when you open the box.",,
0,,(Look around.),,DialogLeave(),
10,,,"Welcome to Pandora's Box, the best BDSM club in town.  (She stares at you.)  You've been here before haven't you?",,
10,95,I'm a member.  (Show your fake ID.),"(She looks at your ID and nods.)  I'm so sorry Miss, please come inside and have fun.",,"HasPerk(""Forgery"")"
10,80,No.  This is my first visit.,Very well Miss.  (She seems a little suspicious.)  Would you like to know about Pandora's Box?,,
10,80,I've been here a while ago.,That's probably it.  (She seems a little suspicious.)  Would you like to know about Pandora's Box?,,
10,50,"I'm from the Bondage Club, get lost maid.","(She frowns at you.)  Then you better leave now, you are not welcome here.",,
10,,(Look around.),,DialogLeave(),
20,,,"Welcome to Pandora's Box, the best BDSM club in town.  I've seen you before, who are you Miss?",,
20,95,I'm a member.  (Show your fake ID.),"(She looks at your ID and nods.)  I'm so sorry Miss, please come inside and have fun.",,"HasPerk(""Forgery"")"
20,50,You might have met my evil twin sister.,(She doesn't seem to believe you.)  Yes!  You're DialogPlayerName from the Bondage Club!  You are not welcome here.,,
20,80,You're confused little maid.,Maybe you're right Miss.  (She seems suspicious.)  Would you like to know about Pandora's Box?,,
20,50,"I'm from the Bondage Club, get lost maid.","(She frowns at you.)  Then you better leave now, you are not welcome here.",,
20,,(Look around.),,DialogLeave(),
30,,,"Welcome to Pandora's Box, the best BDSM club in town.  Wait!  You look like someone we are searching for.",,
30,95,I'm a member.  (Show your fake ID.),"(She looks at your ID and nods.)  I'm so sorry Miss, please come inside and have fun.",,"HasPerk(""Forgery"")"
30,50,You might have met my evil twin sister.,(She doesn't seem to believe you.)  Yes!  You're DialogPlayerName from the Bondage Club!  You are not welcome here.,,
30,50,You're confused little maid.,(She recognizes you.)  Yes!  You're DialogPlayerName from the Bondage Club!  You are not welcome here.,,
30,50,"I'm from the Bondage Club, get lost maid.",(She frowns at you.)  I knew it!  You're DialogPlayerName!  You are not welcome here.,,
30,,(Look around.),,DialogLeave(),
50,,,You're not welcome here.  You need to go now.,,
50,,(Fight her.),,CharacterFight(),
50,,(Leave Pandora's Box.),,MissionFail(),
50,,(Look around.),,DialogLeave(),
