PlayerGagged,,,"(She tries to understand you but fails.)  I'm sorry Miss, it's not easy to understand what you're saying.",,
FightVictory,,,(She seems pretty mad.)  What do you think you're doing?   You will get caught right away.,,
FightDefeat,,,(She seems very happy.)  You're no match for Pandora's staff.  Now it's time to prepare your punishment.,,
Punishment8,,,"(A Dominatrix takes you away from the maid.)  So, we've caught the infamous DialogPlayerName.  You'll never forget this lesson.",,
Punishment5,,,(A Dominatrix takes you away from the maid.)  You've been on list for a while DialogPlayerName.  I'll teach you a lesson.,,
Punishment2,,,"(A Dominatrix takes you away from the maid.)  (She cracks her knuckles.)  So, you're a troublemaker?  I'll teach you a lesson.",,
Punishment0,,,(A Dominatrix takes you away from the maid.)  (She stares at you.)  You've caused some trouble?  Then it's time for your lesson.,,
ItemMouth,,,"(She shakes her head no, as you gag her.)",,
RemoveItemMouth,,,"(You remove her gag and she nods.)  Thanks Miss, I promise I won't scream.",,
ItemMouth2,,,"(She shakes her head no, as you gag her.)",,
RemoveItemMouth2,,,"(You remove her gag and she nods.)  Thanks Miss, I promise I won't scream.",,
ItemMouth3,,,"(She shakes her head no, as you gag her.)",,
RemoveItemMouth3,,,"(You remove her gag and she nods.)  Thanks Miss, I promise I won't scream.",,
ItemEars,,,(She seems surprised as you push earplugs inside.)  I hope you won't keep me deaf for too long.,,
RemoveItemEars,,,(You pull the earplugs out.)  It will be easier to communicate.,,
ItemArms,,,(She barely struggles as you restrain her arms securely.)  I'm no match for you.,,
RemoveItemArms,,,(You free her arms and she stretches.)  The Dominatrixes will get you.,,
ItemLegs,,,(She grumbles as you restrain her legs.)  You know that I have a job to do?,,
RemoveItemLegs,,,(You release her legs as she nods.)  Can I go now?,,
ItemFeet,,,(She sighs as you restrain her feet.)  My chores will pill up.,,
RemoveItemFeet,,,(You release her feet as she dances happily.)  I'm getting free?,,
ItemBoots,,,(She sighs as you restrain her feet.)  My chores will pill up.,,
RemoveItemBoots,,,(You release her feet as she dances happily.)  I'm getting free?,,
