PlayerGagged,,,(She looks at your gag and laughs.),,
BribeInfoRescueLittle,,,I think I saw her with a guard.  Try the LevelName level.,,
BribeInfoKidnapLittle,,,I think I saw her roaming.  Try the LevelName level.,,
BribeInfoRetrieveLittle,,,I think I saw that object before.  Try the LevelName level.,,
BribeInfoRescueFull,,,I think I saw her with a guard.  Try the LevelName level and go FirstDirection.,,
BribeInfoKidnapFull,,,I think I saw her roaming.  Try the LevelName level and go FirstDirection.,,
BribeInfoRetrieveFull,,,I think I saw that object before.  Try the LevelName level and go FirstDirection.,,
0,,,"Hey there little maid, will you brink me a drink?",,"CostumeIs(""Maid"")"
0,,,Hi Miss guard.  I hope I'm not in trouble.,,"CostumeIs(""Guard"")"
0,,,"(She salutes you.)  It's an honor to meet you Miss Dominatrix, I don't think I've met before.",,"CostumeIs(""Mistress"")"
0,,,"Hello there, I'm pretty sure we've met before.",,"DialogSkillGreater(""Infiltration"", 7)"
0,,,"Hello there, have we met before?",,"DialogSkillGreater(""Infiltration"", 3)"
0,,,"Hello there, I don't think we've met before.",,
0,,Who are you?,I'm DialogCharacterName.  I've been a member of Pandora's Box for a while now.  I know my way around.,DialogRemove(),
0,,Can I tie you up?,"It would be an honor to be tied by a Dominatrix like you.  But sadly, I need to go back home soon.",DialogRemove(),"CostumeIs(""Mistress"")"
0,,Can I tie you up?,I'm sorry Miss Guard.  I need to go back home soon.  Please don't arrest me.,DialogRemove(),"CostumeIs(""Guard"")"
0,,Can I tie you up?,"(She laughs at you.)  Forget it, I'm not getting tied up by a maid.",DialogRemove(),"CostumeIs(""Maid"")"
0,,Can I tie you up?,"I'm not in the mood right now, find a slave for that.",DialogRemove(),"CostumeIs(""Random"")"
0,100,Can you help me?,(She shakes her hands greedily.)  Maybe I can.  What do you want?,,DialogMoneyGreater(10)
0,,Can you help me?,Sorry girl.  Find some money first if you need help.,,!DialogMoneyGreater(10)
0,,I'll go get you a free drink.,(You go get her a free drink and she seems happy about it.)  Thanks!  You're a good maid.,,"CostumeIs(""Maid"")"
0,,Are you enjoying Pandora's Box?,Pandora is the best club in town.  I've been a member for a while now so trust me.,,
0,,Can I buy your clothes?,"I already know that trap.  You get me naked, lock a slave collar on me and make me work for free?  Forget it!",,!CurrentCharacter.IsNaked()
0,,I must go.  (Leave her.),,CharacterAllowMove(),
100,110,I'm looking for a girl.,"(You give some details on the girl you need to rescue.)  I think I could help, but information isn't free.",,"MissionIs(""Rescue"")"
100,110,I'm looking for a girl.,"(You give some details on the girl you need to kidnap.)  I think I could help, but information isn't free.",,"MissionIs(""Kidnap"")"
100,110,I'm looking for an object.,"(You give some details on the object you need to retrieve.)  I think I could help, but information isn't free.",,"MissionIs(""Retrieve"")"
100,0,Forget it.,Alright then.  Anything else?,,
110,120,Take this.  (Give her 5$),,"BribeInfo(5, ""Little"")","!HasPerk(""Bribery"")"
110,120,Take this.  (Give her 3$),,"BribeInfo(3, ""Little"")","HasPerk(""Bribery"")"
110,120,Tell me everything.  (Give her 10$),,"BribeInfo(10, ""Full"")","!HasPerk(""Bribery"")"
110,120,Tell me everything.  (Give her 6$),,"BribeInfo(6, ""Full"")","HasPerk(""Bribery"")"
110,120,You really think a guard will pay you?,,"BribeInfo(0, ""Little"")","CostumeIs(""Guard"")"
110,120,You really think a Dominatrix will pay you?,,"BribeInfo(0, ""Full"")","CostumeIs(""Mistress"")"
110,0,Forget it.,Alright then.  Anything else?,,
120,0,Thanks!,My pleasure.  (She counts the money and smiles.)  Anything else?,,
