PlayerGagged,,,(She laughs at you.)  Scream all you want.  Nobody is coming to help you.,,
FightVictory,,,"(She sighs and surrender to you.)  Beaten by a prisoner, this is unbelievable.  What will you do now?",,
FightDefeat,,,"(She smirks.)  You thought you could defeat me?  No more breaks for you, and your bondage will be extra tight.",,
ItemMouth,,,(She sighs and reluctantly allows you to gag her.),,
RemoveItemMouth,,,(She grumbles as you remove her gag.)  Are you finally coming back to your senses?,,
ItemMouth2,,,(She sighs and reluctantly allows you to gag her.),,
RemoveItemMouth2,,,(She grumbles as you remove her gag.)  Are you finally coming back to your senses?,,
ItemMouth3,,,(She sighs and reluctantly allows you to gag her.),,
RemoveItemMouth3,,,(She grumbles as you remove her gag.)  Are you finally coming back to your senses?,,
ItemEars,,,(She seems angry as you push earplugs inside.)  How can I follow your orders now?,,
RemoveItemEars,,,(You pull the earplugs out.)  You're only adding more time to your sentence.,,
ItemArms,,,(She struggles as you restrain her arms securely.)  You're breaking the law again.,,
RemoveItemArms,,,(You free her arms and she stretches.)  You're still under arrest.,,
ItemLegs,,,(She trashes as you restrain her legs.)  You better carry me then!,,
RemoveItemLegs,,,(You release her legs.)  Justice will strike you down like a hammer.,,
ItemFeet,,,(She grumbles as you restrain her feet.)  This will be reported in your trial.,,
RemoveItemFeet,,,(You release her feet.)  Let's walk until you get caught.,,
ItemBoots,,,(She grumbles as you restrain her feet.)  How can I follow you now?,,
RemoveItemBoots,,,(You release her feet.)  Let's walk until you get caught.,,
ItemNeck,,,(She adjusts her neck to the new collar.)  Soon you will wear the Box collar.,,
RemoveItemNeck,,,"(You remove the collar from her neck.)  Too late, the crime has been done.",,
ItemPelvis,,,(She struggles to avoid the belt but you're able to strap it on her.)  Are you serious?,,
RemoveItemPelvis,,,(She sighs as you unlock the belt.)  Can you make up your mind?,,
ItemHead,,,(She stays silent as you strap the device on her head.),,
RemoveItemHead,,,"(You release her head as she nods rapidly.)  That's better, but you're still in trouble.",,
ItemHood,,,(You put the hood on her head as she goes silent.),,
RemoveItemHood,,,(She grins as you remove the hood from her head.)  I will never get out of here.,,
ItemNose,,,(You strap the item on her nose as she sighs.)  Is that a joke to you?,,
RemoveItemNose,,,(She nods as you remove the device.)  Someday Pandora's Box will make you pay.,,
ItemTorso,,,(You strap the harness on her torso.)  Causing more trouble will only extend your jail time.,,
RemoveItemTorso,,,(She stretches as you release her from the harness.)  You're only toying with me?,,
ItemButt,,,(She jumps as you slide the device inside.)  How dare you?  You're under arrest!,,
RemoveItemButt,,,(She sighs as you remove the plug.)  Your butt will rot in jail.,,
ItemBreast,,,(She holds her breath as you use the item.)  Pandora's police won't be kind with you.,,
RemoveItemBreast,,,(She wiggles her breast slowly as you remove the device.)  Enjoy your freedom while it lasts.,,
ItemNipples,,,(She whimpers as you use the device on her breast.)  Another violation to add to the list.,,
RemoveItemNipples,,,(She takes a deep breath and stays silent as you remove the device.),,
Intro0,,,"(A guard steps inside and looks at you.)  Prisoner DialogPlayerName.  How come you're not restrained?  Anyway, I will take care of you today.",,
IntroRestrained0,,,(A guard steps inside and looks at your bondage.)  Prisoner DialogPlayerName.  I see you are already bound.  I will take care of you today.,,
0,,Who are you?,I'm guard DialogCharacterName.  I keep the Box safe and our prisoners secure.,DialogRemove(),Player.CanTalk()
0,,Can you release me?,"Don't be silly, you must do your time like everyone else.",DialogRemove(),Player.CanTalk()
0,,Can I have something to eat?,Do I look like a maid?  I'm not here to cook for you.,DialogRemove(),Player.CanTalk()
0,10,How will you take care of me?,I will come to check on you from time to time.  To make sure you're safely bound and you're not trying to escape.,,Player.CanTalk()
0,10,"So, what's up?",I will come to check on you from time to time.  To make sure you're safely bound and you're not trying to escape.,,Player.CanTalk()
0,,(Mumble in your gag.),Here you go.  (She removes your gag.)  Don't piss me off or that gag is coming back.,PlayerUngag(),!Player.CanTalk()
0,,(Leave her.),,DialogLeave(),
10,20,I'm not trying to escape.,"I won't give you any chance to escape.  First thing first, I need to secure your restraints.  Don't give me a hard time.",,
10,20,Safely bound?,"You heard me right.  First thing first, I need to secure your restraints.  Don't give me a hard time.",,
10,20,I will easily escape.,"Trust me, you won't.  First thing first, I need to secure your restraints.  Don't give me a hard time.",,
10,20,(Listen to her.),"First thing first, I need to secure your restraints.  Don't give me a hard time.",,
