PlayerGagged,,,"Wink if I should take pictures, nod when I should free you.",,
ItemMouth,,,(She licks her lips seeing the gag and allows you to silence her easily.),,
RemoveItemMouth,,,(You remove her gag and she sighs.)  I hope that was worth it.,,
ItemArms,,,(She hums a happy song as you restrain her arms.)  I hope you come often Miss.,,
RemoveItemArms,,,(You free her arms and she stretches a little.)  What will you use on me next?,,
ItemLegs,,,(You restrain her legs securely while she moans of pleasure.)  This is wonderful.,,
RemoveItemLegs,,,(You release her legs.)  What do you do not do everything for a great photo.,,
SuspensionHempRope,,,(You restrain her legs with the long hemp rope and suspend her by the feet from the ceiling.)  Oh my god!,,
ItemFeet,,,(She wiggles her feet playfully as you restrain them.)  This is great.,,
RemoveSuspensionHempRope,,,(You untie the hemp rope from the ceiling.)  Wow!  That was quite a ride.,,
RemoveItemFeet,,,(You release her feet.)  Sweet freedom?,,
ItemNeck,,,(You strap the collar on her neck.)  That looks definitely submissive.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Much better!,,
ItemPelvis,,,(She rocks her hips and struggles as you lock the device on her.),,
RemoveItemPelvis,,,"(She seems relieved as you unlock the device.)  Thanks, that was overdue.",,
ItemTorso,,,(You prepare a full body harness on her torso as she blushes.)  This is very erotic.,,
RemoveItemTorso,,,(You remove the body harness from her torso.)  The natural should shine.,,
ItemHead,,,(You strap the device on her head as she hums a happy song.)  Does not that seem too anonymous?.,,
RemoveItemHead,,,(You remove the device and she looks at you.)  That was quite an experience.,,
ItemBreastLeatherWhip,,,(She moans as you whip her breast.)  Who wants to be beautiful must suffer.,,
ItemBreastLeatherCrop,,,(She jumps and makes her breast wiggle with each hit.)  Everything for the art.,,
ItemPelvisLeatherWhip,,,(She trembles and moans with each lashes.)  Only this gives real striations.,,
ItemPelvisLeatherCrop,,,(You whip her butt with the leather crop as she wiggles it for more.),,
ItemButt,,,Does that apply to the picture?,,
RemoveItemButt,,,We should repeat that in the next photo session.,,
ItemBreast,,,A nice photo is a work of art.,,
RemoveItemBreast,,,"How, that was it?",,
ItemVulvaVibratingWand,,,"Oh, ah, how should i focus on the work?",,
VibratingEgg,,,(She looks satisfied) That facilitates the happy facial expression.,,
RemoveVibratingEgg,,,"Pity, we just started.",,
0,,,"Hello I'm DialogCharacterName,  the Club Photograph and a Model.",,
0,,"Hello, I'm DialogPlayerName. Pleased to meet you.",Pleased to meet you. Would you like to take a picture of you or me?,DialogRemove(),
0,100,I'd like to ask you some questions.,Don't be shy.  How can I help you?,,
0,,Please take a Photo.,please look friendly.,ShotThePlayerPhoto(),PhotographicSubCanAskForPhoto()
0,,(Wink for a Photo),Please look helpless.,ShotThePlayerPhoto(),PhotographicSubCanWinkForPhoto()
0,10,I'll strip some Cloth.,"Yea, show me your wonderful Body.",,!Player.IsRestrained()
0,20,Please use some toys on me.,What should it be?,,!PhotographicSubIsRestrained()
0,,Please use some toys on me.,She points to her restraints.,,PhotographicSubIsRestrained()
0,40,Please take off your clothes.,Where should I start?,,!PhotographicSubIsRestrained()
0,,(Nod for help.),I'm already helping,PlayerRelease(),Player.IsRestrained()
0,,Good By. (Leave her.),,DialogLeave(),
10,,(Remove Hat),"Forward, only courage.","PlayerClothRemove(""Hat"")",PlayerHatAvailable()
10,,(Remove Gloves),"Forward, only courage.","PlayerClothRemove(""Gloves"")",PlayerGlovesAvailable()
10,,(Remove Cloth),"Forward, only courage.","PlayerClothRemove(""Cloth"")",PlayerClothAvailable()
10,,(Remove Bra),Show me your curves.,"PlayerClothRemove(""Bra"")",PlayerBraAvailable()
10,,(Remove lower Cloth),"Forward, only courage.","PlayerClothRemove(""ClothLower"")",PlayerClothLowerAvailable()
