PlayerGagged,,,Silence is the highest form of truth!,,
ItemMouth,,,(She gives a curious look at the gag but doesn't resist as you silence her.),,
RemoveItemMouth,,,(You remove her gag slowly.)  I am the supervisor here.,,
ItemArms,,,(She nods and turns around as you restrain her arms securely.)  It will be a kinky work day.,,
RemoveItemArms,,,"(You free her arms and she stretches.)  Thanks head maid DialogPlayerName, this will make my work easier.",,
ItemLegs,,,(She submits as you restrain her legs.)  How am I supposed to work now?,,
RemoveItemLegs,,,(You release her legs while she shakes her butt.)  Thanks Miss.,,
ItemFeet,,,(You restrain her feet securely.)  I can not get on like this.,,
RemoveItemFeet,,,(You release her feet.)  Much better.,,
ItemNeck,,,(You strap the collar on her while she blushes.)  Someday I'll find a wonderful Mistress like you Miss.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Freedom is overrated.,,
ItemPelvis,,,(She frowns as you lock the device on her.)  I hope you will unlock it after my shift Miss.,,
RemoveItemPelvis,,,(She nods happily as you unlock the device.)  Yes!  That's very nice of you Miss.,,
ItemHead,,,(You strap the device on her head as she mumbles.)  It will be a kinky work day it seems.,,
RemoveItemHead,,,(You remove the device and she nods slowly.)  You're the best head maid DialogPlayerName.,,
ItemBreastLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ouch!  Miss Head Maid!,,
ItemBreastLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.),,
ItemPelvisLeatherWhip,,,(You whip her butt hard as she sighs.)  I promise I'll work harder Miss Head Maid.,,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  A maids work isn't easy.,,
SuspensionHempRope,,,(You restrain her legs with the long hemp rope and suspend her by the feet from the ceiling.)  Well done.,,
RemoveSuspensionHempRope,,,(You untie the hemp rope from the ceiling and slowly let her down.)  Always be careful when you suspend someone.,,
0,,,(A maid stands around and greets you.) This room is under construction. Please leave.,,
0,,What's going on here?,I'm looking for someone in handcuffs to help me test something.,,!PrisonPlayerIsHandcuffed()
0,1,What kind of test is it?,(She shoves you into a cell and closes the door.),CellPlayerIn(),PrisonPlayerIsHandcuffed()
0,,Okay. Bye! (Leave her.),"Pleased to meet you. I'm DialogCharacterName, I work here as a maid.",DialogLeave(),
1,20,(Look surprised.),It's good that you're under lock and key!,DialogLeave(),
20,,"Please, can you let me out?",,CellPlayerAsk(),Player.CanTalk()
20,,(Stay silent and wait.),,CellPlayerWait(),
20,,(Shake the bars.),,CellPlayerShake(),
20,,(Try to free yourself.),,CellPlayerTry(),
20,,(Whimper and make pleading eyes.),,CellPlayerWimper(),
20,,(Leave her.),,DialogLeave(),
21,,(Watch her leave.),,DialogLeave(),
22,0,"Thanks, that was a nice experience.",You're welcome.,"DialogChangeReputation(""Dominant"", -2)",
22,0,Finally I am out of that hole.,All ends well,"DialogChangeReputation(""Dominant"", 1)",
22,0,(Leave her.),(A maid stands around and greets you.) This room is under construction. Please leave.,DialogLeave(),
PrisonerTortured,20,Hey! That really hurts!,You don't deserve any better!,,
PrisonerTortured,20,Miss!  Is that proper?,You have to learn modesty.,,
PrisonerTortured,20,Thanks! You're really good to me.,I'll gladly do it again.,,
PrisonerTortured,20,(Whimper from the pain.),That's right my prisoner.,,
PrisonerTortured,20,(Thrash in your bondage.),You'll never escape!,,
PrisonerTortured,20,(Stay silent and cold.),(She turns away.),,
PrisonMaidLightGag,,,I don't want to hear it. (She gags you.),,
PrisonMaidNeutralGag,,,Just be quiet! (She gags you.),,
PrisonMaidHevyGag,,,Prisoners like you shouldn't speak. (She gags you.),,
PrisonMaidReleaseIsAngry,,,I won't let you out. You're a bad girl!,,
PrisonMaidReleaseIsNotAngry,,,"Alright, you can come out. Here are your clothes.",,
PrisonMaidClothBack,,,"I won't let you out, but you can have your clothes back. ",,
PrisonMaidClothBackNot,,,Shut up! You're staying that way.,,
PrisonMaidHavySearch,,,"Prisoners must wear handcuffs and should not have keys. I'll strip search you, and then I'll leave.",,
PrisonMaidHavySearchNot,,,I'll give you some time to think about how bad you've been. I'll come back later.,,
PrisonMaidCuffsRelief,,,"Poor girl, there are too many restraints. I'll take some off of you.",,
PrisonMaidCuffsReliefNot,,,Prisoners must wear handcuffs.,,
PrisonMaidLightSearch,,,"You're all good, but I'm going to take your keys and leave. ",,
PrisonMaidLightSearchNot,,,Chill out. I'm going to get a coffee in the maid quarters.,,
PrisonMaidTortureWhipping,,,(She whips you.) You need to be punished!,,
PrisonMaidTortureSpankButt,,,"(She spanks your butt.) This should teach you some discipline, prisoner!",,
PrisonMaidTortureSpankBreast,,,(She spanks your breasts.) Stand upright.,,
PrisonMaidTortureFondleButt,,,(She fondles your butt.) What a soft body.,,
PrisonMaidTortureFondleBreast,,,(She fondles your breast.) What a soft body.,,
PrisonMaidTortureTickle,,,"(She tickles your feet.) Tickle, tickle, tickle.",,
PrisonMaidTortureSlap,,,(She slaps your face.) Give it a rest!,,
PrisonMaidTortureMassage,,,(She massages your neck.) A collar would look nice on you.,,
PrisonMaidTortureCrop,,,(She uses her crop.) This hurts me more than it hurts you!,,
PrisonIllegalChangeIntro,,,"You changed your clothes despite your mistress's ban. Therefore, you've been sent into a cell by other members.",,
