PlayerGagged,,,Silence is the highest form of truth,,
ItemMouth,,,(She gives a curious look at the gag but doesn't resist as you silence her.),,
RemoveItemMouth,,,(You remove her gag slowly.)  I am the supervisor here.,,
ItemArms,,,(She nods and turns around as you restrain her arms securely.)  It will be a kinky work day.,,
RemoveItemArms,,,"(You free her arms and she stretches.)  Thanks head maid DialogPlayerName, this will make my work easier.",,
ItemLegs,,,(She submits as you restrain her legs.)  How should I get to work now.,,
RemoveItemLegs,,,(You release her legs while she shakes her butt.)  Thanks Miss.,,
ItemFeet,,,(You restrain her feet securely.)  I can not get on like this.,,
RemoveItemFeet,,,(You release her feet.)  Much better.,,
ItemNeck,,,(You strap the collar on her while she blushes.)  Someday I'll find a wonderful Mistress like you Miss.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Freedom is overrated.,,
ItemPelvis,,,(She frowns as you lock the device on her.)  I hope you will unlock it after my shift Miss.,,
RemoveItemPelvis,,,(She nods happily as you unlock the device.)  Yes!  That's very nice of you Miss.,,
ItemHead,,,(You strap the device on her head as she mumbles.)  It will be a kinky work day it seems.,,
RemoveItemHead,,,(You remove the device and she nods slowly.)  You're the best head maid DialogPlayerName.,,
ItemTorsoLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ouch!  Miss Head Maid!,,
ItemTorsoLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.),,
ItemPelvisLeatherWhip,,,(You whip her butt hard as she sighs.)  I promise I'll work harder Miss Head Maid.,,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  A maid work isn't easy.,,
0,,,(A maid stand arround and greets you.) It's under Construction. Please go out.,,
0,,Wat's going on here?,I search for a curious person in Handcuffs for some Tests.,,!PrisonPlayerIsHandcuffed()
0,1,What is exciting to discover ,(She shoves you into the cell and closes the door),CellPlayerIn(),PrisonPlayerIsHandcuffed()
0,,By. (Leave her.),"Pleased to meet you. I'm DialogCharacterName, I work here as a maid.",DialogLeave(),
1,20,(look surprised),It's good that you under lock and key,DialogLeave(),
20,,"Please, can I get out?",,CellPlayerAsk(),Player.CanTalk()
20,,(Stay silent and wait),,CellPlayerWait(),
20,,(shake on the bars),,CellPlayerShake(),
20,,(try to free yourself),,CellPlayerTry(),
20,,(Whimper and make pleading eyes.),,CellPlayerWimper(),
20,,(Leave her),,DialogLeave(),
21,,(watch her afterwards),,DialogLeave(),
22,0,"Thanks, that was a nice experience.",You're welcome,"DialogChangeReputation(""Dominant"", -2)",
22,0,Finally I am out of the hole.,All's well that ends well,"DialogChangeReputation(""Dominant"", 1)",
22,0,(Leave her),(A maid stand arround and greets you.) It's under Construction. Please go out.,DialogLeave(),
PrisonerTortured,20,Hey! That really hurts!,You do not deserve better ,,
PrisonerTortured,20,Miss!  Is that proper?,You have to learn modesty.,,
PrisonerTortured,20,Thanks! You're realy good to me,Gladly again,,
PrisonerTortured,20,(Whimper from the pain.),That's right my prisoner,,
PrisonerTortured,20,(Trash in your bondage.),(She shrugs her shoulders),,
PrisonerTortured,20,(Stay silent and cold.),(she turns away),,
PrisonMaidLightGag,,,Just be quiet (She gags you),,
PrisonMaidNeutralGag,,,Just be quiet (She gags you).,,
PrisonMaidHevyGag,,,Prisoner don't tell (She gags you),,
PrisonMaidReleaseIsAngry,,,I will not let you out you are a bad Girl.,,
PrisonMaidReleaseIsNotAngry,,,"All right, come out, her is your Dress back.",,
PrisonMaidClothBack,,,"I will not let you out, but her is your Dress back. ",,
PrisonMaidClothBackNot,,,"Be quiet, everything is fine with you.",,
PrisonMaidHavySearch,,,Prisoners must wear handcuffs and should not have keys. I'll strip search you  and go again.,,
PrisonMaidHavySearchNot,,,you should think something about yourself. I come again later.,,
PrisonMaidCuffsRelief,,,"Poor girl, there are too many captives. I take some away.",,
PrisonMaidCuffsReliefNot,,,Prisoners must wear handcuffs.,,
PrisonMaidLightSearch,,,"Everything is clear with you, I confiscate the keys and go again. ",,
PrisonMaidLightSearchNot,,,Chill out. I go for a coffee to the Maid Quartier.,,
PrisonMaidTortureWhipping,,,(She whipe you) Punishment is needed.,,
PrisonMaidTortureSpankButt,,,(She spank your Butt) Discipline for prisoners.,,
PrisonMaidTortureSpankBreast,,,(She spank your Breasts) Stand upright.,,
PrisonMaidTortureFondleButt,,,(She fondle your butt) What a soft body,,
PrisonMaidTortureFondleBreast,,,(She fondle your breast) What a soft body,,
PrisonMaidTortureTickle,,,"(she tickle your feets) Tickle, tickle, tickel.",,
PrisonMaidTortureSlap,,,(she slap your Face) Give rest at last.,,
PrisonMaidTortureMassage,,,(She massages your neck) A collar would be fine.,,
PrisonMaidTortureCrop,,,(She uses her crop) That hurts me more like you.,,
