PlayerGagged,,,That's a really cute gag you have there.,
ItemMouth,,,(She tries to avoid the gag for a few seconds but surrenders quickly as you insist.),
RemoveItemMouth,,,(You remove her gag and she smiles.)  Thanks!  Would you like to do another practice fight?,
ItemArms,,,(She struggles for fun but allows you to restrain her.)  I can't count the number of times I've been tied up this month.,
RemoveItemArms,,,(You free her arms and she cracks her fingers.)  Ready for another round?,
ItemLegs,,,(She wiggles her butt as you restrain her legs.)  A good kidnapper never forgets the legs.,
RemoveItemLegs,,,(You release her legs from the bondage device.)  Anything else before we can continue?,
ItemFeet,,,(She stands on her toes as you restrain her feet.)  Bondage is great isn't it?,
RemoveItemFeet,,,"(You release her feet and she wiggles them.)  Thanks a lot, it's not easy to be forced like that.",
ItemNeck,,,(You strap the collar on her while she blushes.)  Collars are important in both BDSM and kidnappings.,
RemoveItemNeck,,,(You remove the collar fastened around her neck.)  Much better!,
ItemPelvis,,,(You lock the belt on her as she panics.)  Oh common!  That's not fair or funny.,
RemoveItemPelvis,,,"(You unlock the device from her waist and she nods.)  That was cruel, even for kidnappers.",
ItemHead,,,(You strap it on her head as she sighs.)  Please don't leave me like that for too long.,
RemoveItemHead,,,(You remove the device as she hums a happy song.)  Thanks!  I appreciate.,
ItemTorso,,,TO DO,
RemoveItemTorso,,,TO DO,
ItemTorsoLeatherWhip,,,(She whimpers as you whip her breast.)  Hey!  I'm only here to help you practice!,
ItemTorsoLeatherCrop,,,"(You swing the crop on her torso.)  That's not really fair, use it on the other kidnappers.",
ItemPelvisLeatherWhip,,,"(You whip her butt as she grumbles.)  Whip the kidnappers, not the teacher!",
ItemPelvisLeatherCrop,,,(You lash the leather crop pretty hard on her butt.)  I'm glad I'm not facing you in a real match.,
SuspensionHempRope,,,(You restrain her feet with the rope and suspend her from the ceiling.)  Woah!  Maybe you should go to the Dojo.,
RemoveSuspensionHempRope,,,(You let her down from the ceiling and release her feet.)  Thanks a lot!  I was slowly getting dizzy.,
0,,,You have a lovely room.,
0,,Let's talk later.  (Leave her.),,DialogLeave()
