PlayerGagged,,,(She looks at your gag and giggles.)  Silence is gold isn't it?,,
ItemMouth,,,(She gives a curious look at the gag but doesn't resist as you silence her.),,
RemoveItemMouth,,,"(You remove her gag slowly.)  Thanks a lot, it will be easier to communicate now.",,
ItemArms,,,(She nods and turns around as you restrain her arms securely.)  This is such a kinky club.,,
RemoveItemArms,,,"(You free her arms and she stretches.)  Thank you so much, I've been restrained a lot today.",,
ItemLegs,,,(She submits as you restrain her legs.)  It won't be easy to leave this club.,,
RemoveItemLegs,,,(You release her legs while she shakes her butt.)  Thanks you very much.,,
ItemFeet,,,(You restrain her feet securely.)  I'm not going anywhere I guess.,,
RemoveItemFeet,,,(You release her feet.)  Thanks!  This is much better.,,
ItemNeck,,,(You strap the collar on her while she blushes.)  As long as you don't lock that collar.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Very good.,,
ItemPelvis,,,(She frowns as you strap the device on her.)  This is so embarrassing.,,
RemoveItemPelvis,,,(She nods happily as you remove the device.)  This is great.  Thanks a lot.,,
ItemHead,,,(You strap the device on her head as she mumbles.)  It seems that it will get worse before it gets better.,,
RemoveItemHead,,,(You remove the device and she nods slowly.)  You're the best!,,
ItemBreastLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ow!  Why are you doing that?,,
ItemBreastLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.),,
ItemPelvisLeatherWhip,,,"(You whip her butt hard as she sighs.)  Nnngh.  I'm sorry, what did I do wrong?",,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  This club isn't very welcoming,,
SuspensionHempRope,,,(You restrain her legs with the long hemp rope and suspend her by the feet from the ceiling.)  Woah!,,
RemoveSuspensionHempRope,,,(You untie the hemp rope from the ceiling and slowly get her down.)  That was scary.,,
0,,,"Hello Miss, this is kind of embarrassing.  (She blushes.)",,"AmandaStatusIs("""")"
0,,,"Hi DialogPlayerName, this is kind of embarrassing.  (She blushes.)",,"AmandaStatusIs(""SchoolMate"")"
0,,,Sweetie!  This is so kinky.  (She blushes.),,"AmandaStatusIs(""Lover"")"
0,,,"Hello my ex, this is kind of embarrassing.  (She blushes.)",,"AmandaStatusIs(""ExLover"")"
0,,,"Greetings Mistress, this is kind of embarrassing.  (She blushes.)",,"AmandaStatusIs(""Owned"")"
0,,,"Greetings Mistress, sorry about the curfew.  This is kind of embarrassing.  (She blushes.)",,"AmandaStatusIs(""Curfew"")"
0,,,"Hey girl, it seems that I've got in trouble.  (She blushes.)",,"AmandaStatusIs(""ExOwner"")"
0,,,"Hello my subbie, it seems I've got in trouble.  (She blushes.)",,"AmandaStatusIs(""Owner"")"
0,,Who are you?  I'm DialogPlayerName.,"My name is Amanda, I'm a college student.  Pleased to me you.",DialogRemove(),"AmandaStatusIs("""")"
0,,Why are you here?,I came here to look for and rescue my friend Sarah.  But I've got restrained by twins and a maid on the way.,DialogRemove(),
0,,How can we unlock her shackles?,I'm not sure.  Do you know someone from the club that could help us?,,Shackled()
0,,(Masturbate her strap-on.),(You slowly masturbate her strap-on as she blushes red.)  Oh my god!  This is beyond embarrassing.,ActivityRun(),AmandaHasStrapon()
0,,(Masturbate her.),(You lovingly masturbate her as she blushes red.)  Oh my god!  What if we get caught?,ActivityRun(),AmandaHasNoStrapon()
0,20,"Move along, you should not be here.",(She looks at the door.)  Would you like me to leave now?,,CanKickAmandaOut()
0,,"Move along, you should not be here.","(She looks at Sarah and shakes her head no.)  I'm sorry, I cannot leave Sarah here.",,CanKickAmandaOutRefuse()
0,10,Do you want to see my room?,(She nods.)  Absolutely.  Should we go now?,,CanInviteAmandaToRoom()
0,,Do you want to see my room?,"(She looks at Sarah and shakes her head no.)  I'm sorry, I cannot leave Sarah here.",,CanInviteAmandaToRoomRefuse()
0,,(Leave her.),,DialogLeave(),
10,,(Bring her to your room.),,TransferAmandaToRoom(),
10,0,Not right now.  (Stay here.),"Very well, we can stay some more.",,
20,,Get out girl.  (Make her go.),,AmandaLeaveRoom(),
20,0,"Stop, you can stay.","Very well, thanks Miss.",,
