PlayerGagged,,,Remove that gag or get lost.  I run the market and I don't have time for mumblings.,,
AuctionFail,,,"Too bad it didn't work for you, but a new girl is coming up right now if you want to check her.",,
TrainingSuccess,,,Well done!  I think this slave has learned a lot in your hands.  Here's your salary.  (She gives you MoneyAmount$),,
TrainingFail,,,You've failed your training.  Thanks for your time but I cannot pay you.,,
0,,,Greetings Mistress DialogPlayerName.  It's always a pleasure to see you at the market.  Are you here to train our slaves?,,"DialogLogQuery(""ClubMistress"", ""Management"")"
0,,,Greetings head maid DialogPlayerName.  What do you need from the slave market?,,"DialogLogQuery(""LeadSorority"", ""Maid"")"
0,,,Greetings master kidnapper DialogPlayerName.  Do you have some merchandize for us?,,"DialogReputationGreater(""Kidnap"", 100)"
0,,,Welcome little maid.  What are you doing in the slave market?,,"DialogLogQuery(""JoinedSorority"", ""Maid"")"
0,,,Welcome kidnapper.  Do you have some merchandize for us?,,"DialogReputationGreater(""Kidnap"", 50)"
0,,,Welcome to the slave market.  Are you looking for a submissive?,,
0,,"Hi, I'm DialogPlayerName.","Hello, I'm Mistress DialogCharacterName.  I run the market auctions today and sell the slaves.",DialogRemove(),
0,10,Tell me about the slave market.,What would you like to know?,,
0,20,Tell me about this slave girl.,Sure.  Are you interested in buying her?,,
0,30,Can I help with slave training?,"You could, a well-trained slave has higher market value.",,"DialogReputationGreater(""Dominant"", 50)"
0,,Can I help with slave training?,"Forget it girl, you're not Dominant enough.",,"DialogReputationLess(""Dominant"", 49)"
0,40,When is the next slave coming up?,We need to sell this one first.  You can wait a little while for the next girl.,,
0,,I need to go.  (Leave her.),,DialogLeave(),
10,,How does the market works?,Owners can sell their own slaves or free submissives can sell themselves for profit.  They get sold through an auction.,,
10,,Can I sell my slaves here?,"Yes, but only if your slave is fully collared.  You can sell her permanently or rent her for a day.  Go get her first.",,
10,50,Can I be auctioned as a slave?,"You could, but you need to understand the rules first.",,CanBeAuctioned()
10,,Can I be auctioned as a slave?,"No, to be auctioned you need to be a submissive, be unowned, be unrestrained, have space in your room and not have been auctioned in the last seven days.",,!CanBeAuctioned()
10,,It's consensual?,"Always.  Even if we call it the slave market, it remains consensual.  If the slave chickens out, we let her go.",,
10,,Who gets the profits?,"If the slave is owned, the owner gets the profit.  If not, she gets it.  The Bondage Club takes half the amount of every transaction.",,
10,,The prices are variable?,"Yes, since it's an auction and all slaves are different, some go at a higher price than others.  The better trained, the higher the auction goes.",,
10,,How do you measure a slave training?,"It's hard to measure the training quality since every slave is different.  The longer the slave was with someone, the higher the training and market value.",,
10,0,Let's talk about something else.,Fine.  What would you like know?,,
