0,,,(The girl that you should train bows her head and doesn't dare to speak.)
0,,TO DO,TO DO
100,,,(The girl that you should train bows her head and doesn't dare to speak.)
100,,TO DO,TO DO
200,,,(The girl that you should train bows her head and doesn't dare to speak.)
200,,TO DO,TO DO
300,,,(The slave that you should train bows her head and doesn't dare to speak.)
300,,TO DO,TO DO
400,,,(The slave that you should train bows her head and doesn't dare to speak.)
400,,TO DO,TO DO
500,,,(The slave that you should train bows her head and doesn't dare to speak.)
500,,TO DO,TO DO
