PlayerGagged,,,"I love your gag, it looks both comfy and effective.",,
ItemMouth,,,(She licks her lips seeing the gag and allows you to silence her easily.),,
RemoveItemMouth,,,(You remove her gag and she smiles at you.)  You're quite fun Miss.  Let me know if you want me to try another gag.,,
ItemArms,,,(She turns around submissively while you restrain her arms.)  You have lots of potential in the club Miss.,,
RemoveItemArms,,,(You free her arms and she stretches a little.)  That was nice Miss.,,
ItemLegs,,,(She stands still while you restrain her legs securely.)  I love it.,,
RemoveItemLegs,,,(You release her legs while she wiggles her butt.)  Good bondage Miss.,,
ItemFeet,,,(She giggles while you restrain her feet.  Preventing her from walking.),,
RemoveItemFeet,,,(You release her feet and she jumps playfully.)  You can tie me up anytime Miss.,,
ItemNeck,,,"(You strap the collar on her while she blushes.)  Collars have a special meaning, someday you might find a sub for you in the club.",,
RemoveItemNeck,,,(You remove the collar around her neck.)  You can also lock collars on willing submissives.,,
ItemPelvis,,,(This item isn't supported yet.  It will be added in a future version.),,
0,,,Konichiwa Miss.  I hope you're enjoying the dojo.,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,!IsMaid
,,,,,IsMaid
