Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Nowa gra,,0,0,0,"LoadChapter(""C001_BeforeClass"")"
0,0,0,,Wczytaj grę,,0,0,0,LoadScreen()
0,0,0,,"Wybierz rozdział","Wybierz rozdział, który chcesz rozegrać.|Jeśli nie grałeś nigdy wcześniej, zacznij od rozdziału pierwszego.",10,0,0,
0,0,0,,Wybierz język,,30,0,0,
0,0,0,,Game Credits,A huge THANK YOU to everyone|that contributed to the game.,0,0,0,RollCredits()
10,0,0,,"Rozdział 1|Przed zajęciami",,10,0,0,"LoadChapter(""C001_BeforeClass"")"
10,0,0,,"Rozdział 2|Pierwsze zajęcia",,10,0,0,"LoadChapter(""C002_FirstClass"")"
10,0,0,,"Rozdział 3|Poranna kara",,10,0,0,"LoadChapter(""C003_MorningDetention"")"
10,0,0,,"Rozdział 4|Zajęcia plastyczne",,10,0,0,"LoadChapter(""C004_ArtClass"")"
10,0,0,,"Rozdział 5|Wychowanie fizyczne",,10,0,0,"LoadChapter(""C005_GymClass"")"
10,0,0,,"Rozdział 6|Odosobnienie",,10,0,0,"LoadChapter(""C006_Isolation"")"
10,0,0,,"Rozdział 7|Przerwa obiadowa",,10,0,0,"LoadChapter(""C007_LunchBreak"")"
10,0,0,,"Rozdział 8|Zajęcia teatralne",,10,0,0,"LoadChapter(""C008_DramaClass"")"
10,0,0,,Dalsze Rozdziały,"Wybierz rozdział, który chcesz rozegrać.|Jeśli nie grałeś nigdy wcześniej, zacznij od rozdziału pierwszego.",20,0,0,
10,0,0,,"Menu główne","Witaj w Akademii Bondage|Baw się dobrze, zaglądaj we wszystkie zakamarki i daj się ponieść!",0,0,0,
20,0,0,,Chapter 9|Library,,20,0,0,"LoadChapter(""C009_Library"")"
20,0,0,,"Rozdział 10|Zemsta",,20,0,0,"LoadChapter(""C010_Revenge"")"
20,0,0,,Chapter 11|Literature Class,,20,0,0,"LoadChapter(""C011_LiteratureClass"")"
20,0,0,,Chapter 12|After Class,,20,0,0,"LoadChapter(""C012_AfterClass"")"
20,0,0,,Chapter 101|Kinbaku Club by wildsj,,20,0,0,"LoadChapter(""C101_KinbakuClub"")"
20,0,0,,Poprzednie Rozdziały,"Wybierz rozdział, który chcesz rozegrać.|Jeśli nie grałeś nigdy wcześniej, zacznij od rozdziału pierwszego.",10,0,0,
20,0,0,,"Menu główne","Witaj w Akademii Bondage|Baw się dobrze, zaglądaj we wszystkie zakamarki i daj się ponieść!",0,0,0,
30,0,0,,Angielski,,0,0,0,"SetLanguage(""EN"")"
30,0,0,,Francuski|Made by gottspende,,0,0,0,"SetLanguage(""FR"")"
30,0,0,,Chiński|Dwscdv3 & asdcvbgf,,0,0,0,"SetLanguage(""CN"")"
30,0,0,,Hiszpański (Rozdziały 1 & 2)|Rafael R & tree13003,,0,0,0,"SetLanguage(""ES"")"
30,0,0,,"Niemiecki (Rozdziały 1 do 11)|adokilume, Knife, fleisch11",,0,0,0,"SetLanguage(""DE"")"
30,0,0,,"Rosyjski (Chapter 1)|Fluend",,0,0,0,"SetLanguage(""RU"")"
