Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Новая игра,,0,0,0,"LoadChapter(""C001_BeforeClass"")"
0,0,0,,Загрузить игру,,0,0,0,LoadScreen()
0,0,0,,Выбрать главу,"Выберите главу, в которую вы хотите играть.|Если вы играете впервые, начните с главы 1.",10,0,0,
0,0,0,,Выберите язык,,30,0,0,
0,0,0,,Благодарности,Огромное СПАСИБО всем|кто поддерживал игру.,0,0,0,RollCredits()
10,0,0,,Глава 1|Перед уроком,,10,0,0,"LoadChapter(""C001_BeforeClass"")"
10,0,0,,Глава 2|Первый урок,,10,0,0,"LoadChapter(""C002_FirstClass"")"
10,0,0,,Глава 3|Утренний арест,,10,0,0,"LoadChapter(""C003_MorningDetention"")"
10,0,0,,Глава 4|Художественный класс,,10,0,0,"LoadChapter(""C004_ArtClass"")"
10,0,0,,Глава 5|Спортивный зал,,10,0,0,"LoadChapter(""C005_GymClass"")"
10,0,0,,Глава 6|Изоляция,,10,0,0,"LoadChapter(""C006_Isolation"")"
10,0,0,,Глава 7|Обеденный перерыв,,10,0,0,"LoadChapter(""C007_LunchBreak"")"
10,0,0,,Глава 8|Драмматический класс,,10,0,0,"LoadChapter(""C008_DramaClass"")"
10,0,0,,Больше глав,"Выберите главу, в которую вы хотите играть.|Если вы играете впервые, начните с главы 1.",20,0,0,
10,0,0,,Главное меню,"Добро пожаловать в Бондаж-колледж.|Веселись, будь развратен и любопытен.",0,0,0,
20,0,0,,Глава 9|Библиотека,,20,0,0,"LoadChapter(""C009_Library"")"
20,0,0,,Глава 10|Месть,,20,0,0,"LoadChapter(""C010_Revenge"")"
20,0,0,,Глава 11|Литературный класс,,20,0,0,"LoadChapter(""C011_LiteratureClass"")"
20,0,0,,Глава 12|После занятий,,20,0,0,"LoadChapter(""C012_AfterClass"")"
20,0,0,,Глава 101|Кинбаку клуб от wildsj,,20,0,0,"LoadChapter(""C101_KinbakuClub"")"
20,0,0,,Предыдущие главы,"Выберите главу"","" в которую вы хотите играть.|Если вы играете впервые, начните с главы 1.",10,0,0,
20,0,0,,Главное меню,"Добро пожаловать в Бондаж-колледж.|Веселись, будь развратен и любопытен.",0,0,0,
30,0,0,,Английский,,0,0,0,"SetLanguage(""EN"")"
30,0,0,,Французский (Главы с 1 по 9)|Сделано gottspende,,0,0,0,"SetLanguage(""FR"")"
30,0,0,,"Китайский (Главы с 1 по 3, 5)|Сделано Dwscdv3 и asdcvbgf",,0,0,0,"SetLanguage(""CN"")"
30,0,0,,Испанский (Главы 1 и 2)| От Rafael R и tree13003,,0,0,0,"SetLanguage(""ES"")"
30,0,0,,"Немецкий (Главы с 1 по 13)|adokilume, Knife, fleisch11",,0,0,0,"SetLanguage(""DE"")"
30,0,0,,Русский (Глава 1)|От Fluend,,0,0,0,"SetLanguage(""RU"")"
