Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Привет!  Ты новенькая в нашем колледже?|Занятие начинается в восемь.,Amanda.jpg
0,0,0,SidneyInBondage,"Привет!  Я не могу поверить, что ты связала Сидни.|Хотя она выглядит так мило.",Amanda.jpg
10,0,0,,Снова привет.,Amanda.jpg
20,0,0,,Тебе что-нибудь нужно?,Amanda.jpg
30,0,0,,Ты хочешь узнать что-то ещё|или мы вернемся к занятию?,Amanda.jpg
40,0,0,,(Она смотрит на брюнетку|и выглядит испуганной.),Amanda.jpg
50,0,0,,"Давай поговорим после занятий, хорошо?",Amanda.jpg
50,2,0,,"Я не против разговора, но мне|нужно подготовить работу.  Давай встретимся после урока.",Amanda.jpg
50,-2,0,,У меня действительно нет времени на разговоры.,Amanda.jpg
50,0,0,SidneyInBondage,"(Она смеется.)  Сидни такая милая .|Но, может быть тебе стоит развязать ее до занятия?.",Amanda.jpg
200,0,0,,Почему у тебя с собой веревка?,Amanda.jpg
220,0,0,,"Пожалуйста, будь аккуратна с моей одеждой.|(Она выглядит очень смущенной.)",AmandaStrip.jpg
230,0,0,,"Господи! Урок вот-вот начнется.|(Она бесполезно дергает за веревки, чтобы выбраться.)",AmandaBondageFront.jpg
240,0,0,,,AmandaBondageBack.jpg
250,0,0,,,AmandaBondageHug.jpg
260,0,0,,,AmandaBondageKiss.jpg
300,0,0,,"Спасибо, что отпустила меня.|(Она улыбается.)",Amanda.jpg
300,0,0,SidneyInBondage,"Спасибо, что отпустила меня. Пускай Сидни такая милая,|но, может тебе стоит развязать ее до занятий?.",Amanda.jpg
