Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Что ты хочешь? (Она смотрит на тебя.),SidneyFace.jpg
0,0,0,AmandaInBondage,Восхитительно! Я неделями хотела ее связать.|Так чего ты хочешь? (Она смотрит на тебя.),SidneyFace.jpg
10,0,0,,(Она смотрит на девушку с каштановыми волосами.),SidneyStare.jpg
20,0,0,,(Она скрещивает руки и смотрит тебе в глаза.),SidneyFace.jpg
30,0,0,,(Она снова смотрит на девушку с каштановыми волосами.),SidneyStare.jpg
40,0,0,,"(Она отворачивается, игнорируя тебя.)",SidneyBack.jpg
40,2,0,,"Урок скоро начнется, переговорим позже.",SidneyFace.jpg
40,-2,0,,"Не говори со мной, сука!|(Она отворачивается, игнорируя тебя.)",SidneyBack.jpg
40,0,0,AmandaInBondage,"Поздравляю, ты ее унизила.  Поговорим потом?.|(Она смотрит на Аманду и поднимает палец вверх.)",SidneyFace.jpg
100,0,0,,"Чёрт!  Что ты ищешь в моей сумке?|(Она нервничает из-за найденных веревок.)",SidneyFace.jpg
110,0,0,,(Она с интересом смотрит на тебя.),SidneyFace.jpg
200,0,0,,Ты украла эти веревки из моей сумки?|(Она выглядит разъяренной.),SidneyFace.jpg
210,0,0,,Отдай мне мои веревки!,SidneyFace.jpg
220,0,0,,Дай мне только выбраться!|(Она тщетно пытается освободиться.),SidneyBondageFront.jpg
220,0,0,AmandaInBondage,"Ладно, она выглядит более униженной, чем я.|(Она смотрит на Аманду и усмехается.)",SidneyBondageFront.jpg
230,0,0,,,SidneyBondageBack.jpg
240,0,0,,,SidneyBondageHug.jpg
250,0,0,,,SidneyBondageKiss.jpg
300,0,0,,Ты вор!  Нам не о чем говорить.,SidneyBack.jpg
310,0,0,,"Я не могу поверить, что ты связала меня|Поговорим об этом позже.",SidneyFace.jpg
310,0,0,AmandaInBondage,"Я не могу поверить, что ты связала меня.|С другой стороны, у нее все ещё проблемы.",SidneyFace.jpg
