Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Я просто хочу|представить себя.,"Мммм, привет, я Сидни.|(Она поворачивается и смотрит на другую девушку)",10,0,0,
0,0,0,,"Девушка, вы всегда так|грубы с незнакомцами?","Нет, прости. Меня зовут Сидни.|(Она поворачивается и смотрит на другую девушку)",10,0,1,
0,0,0,,"Прошу, не сердись на | меня, я новенькая","Выглядишь жалко, ты не выживешь ни дня.|(Она поворачивается и смотрит на другую девушку)",10,-1,-1,
0,0,0,,"Выглядишь сильной,|Рада познакомиться.","Да, я самая жесткая тут. Я Сидни.|(Она поворачивается и смотрит на другую девушку)",10,1,0,
0,0,0,,Какой скверный характер!,"Лучше заткнись, пока нос не сломала.|(Она поворачивается и смотрит на другую девушку)",10,-2,0,
0,0,0,AmandaInBondage,"Да, ботаны будут знать,|что мы тут главные","О черт, да!  Я Сидни, рада знакомству.",20,2,0,
0,0,0,AmandaInBondage,"Лучше слушайся, а то|окажешься на ее месте","(Она смотрит вниз и молчит пару секунд)|Да, пока эта ботанка наказана, все нормально.",20,0,2,
10,0,0,,Что-то не так?,"Да, эта чертова брюнетка и|ее глупая подруга - вот что не так.",20,0,0,
10,0,0,,Почему ты пялишься|на эту девушку?,Это не твоя забота.,20,0,0,
10,0,0,,Хватит на нее пялиться!,Эй! Не отдавай мне приказы!,20,-1,1,
20,0,0,,Ты довольно сердита.,И почему тебя это волнует?,30,10,0,
20,0,0,,Ты действительно|ненавидишь эту ботанку.,"Черт возьми, да!  Она сильно бесит.|Когда-нибудь, я до нее доберусь.",30,1,0,
20,0,0,,Ты серьезно настроена.|Мне нравится это.,Да!  Теперь дай мне подготовиться к уроку.,40,1,0,
20,0,0,,У тебя словно реальные|проблемы с общением ,Заткнись!|(Она отворачивается и игнорирует тебя.),40,-1,0,
20,1,0,,Может тебе помочь|разобраться с ней?,"О да!  В моей сумке есть немного|верёвки, свяжем ее после урока.",40,1,0,
30,0,0,,Ты серьезно настроена.|Мне нравится это.,Да!  Теперь дай мне подготовиться к уроку.,40,1,0,
30,0,0,,У тебя словно реальные|проблемы с общением ,Заткнись!|(Она отворачивается и игнорирует тебя.),40,-1,0,
30,1,0,,Может тебе помочь|разобраться с ней?,"О да!  В моей сумке есть немного|верёвки, свяжем ее после урока.",40,1,0,
40,-2,0,,Сука!  Хочешь|подраться?,,40,-1,0,Fight()
100,0,0,,Зачем ты носишь с|собой верёвки?,Это не твое дело.|(Она закрывает сумку.),20,-1,0,
100,0,0,,Ты занимаешься после|школы скалолазанием?,Да! Теперь дай мне это!|(Она закрывает сумку.),20,-1,0,
100,0,0,,Ты планируешь| похитить кого-то?,"Ммм, почему ты спрашиваешь?",110,0,-1,
100,0,0,,Так ты извращенка|и любишь быть связанной?,Ты знаешь что-нибудь о рабстве?,110,0,1,
110,0,0,,Что ты планируешь?|Мне интересно.,Давай поговорим после урока. (Она закрывает сумку.),20,1,0,
110,0,0,,Мне это не интересно.,Отлично!  Мне всё равно.|(Она закрывает сумку.),20,0,0,
110,0,0,,Это неправильно!|Я скажу учителю.,,40,-2,0,Fight()
200,0,0,BondageNotConfronted,Верёвки свисали с вашей|сумки.,Лжец!  Верни мои верёвки.,200,0,0,ConfrontBondage()
200,0,0,BondageNotConfronted,"Раз носишь верёвки,|то хочешь быть связанной.",(Она покраснела.)  Нет!  Вовсе нет!|Отдай мои верёвки.,200,0,1,ConfrontBondage()
