Tag,Content
BallGagWilling,"(Sie macht ihren Mund weit auf,|damit du den Ball darin befestigen kannst.)"
BallGagReluctant,"(Sie schließt ihren Mund, um dich aufzuhalten,|aber du zwängst den Ball hinein und fixierst ihn.)"
BallGagRefuse,"Sie tritt zurück und weigert sich, geknebelt zu werden.|(Du brauchst mind. 2 Dominanz, um sie zu knebeln.)"
CuffsReplaceRope,"(Du entfernst die Seile und lässt sie sich anziehen,|legst ihr aber gleich danach Handschellen um.)"
CuffsWilling,"(Sie senkt ihren Kopf, setzt sich und bringt ihre|Arme für die Handschellen hinter ihren Rücken.)"
CuffsReluctant,"(Sie schubst dich, aber du kannst sie|überwältigen und ihr Handschellen anlegen.)"
CuffsRefuse,"Sie schubst dich und die Handschellen weg.|(Du brauchst mind. 2 Dominanz, um das zu tun.)"
CuffsUnlock,(Du entriegelst die Handschellen|und sie sieht dankbar aus.)
RopeReplaceCuffs,"(Du öffnest die Handschellen, sie zieht sich|aus und du umwickelst ihren Körper mit Seilen.)"
RopeWilling,"(Sie senkt ihren Kopf und zieht sich aus,|du wickelst Seile um ihren zitternden Körper.)"
RopeReluctant,(Du ringst mit ihr um ihre Kleidung und sie|lässt sich widerwillig von dir mit Seilen fesseln.)
RopeRefuse,"Sie schubst dich und das Seil von sich weg.|(Du brauchst mind. 2 Dominanz, um sie zu fesseln.)"
CropGagged,(Du schlägst Amanda ein wenig mit der Gerte.|Sie fängt zu weinen an und scheint es zu hassen.)
Crop,(Du schlägst Amanda ein wenig mit der Gerte.)|Au! Das tut weh! Warum bist du so gemein?
