Tag,Content
BallGagWilling,(Abre bien la boca para que puedas introducir|la pelota en su bca y abrochas la mordaza.)
BallGagReluctant,(Cierra la boca para impedirtelo,|pero no lo consigue y le metes la pelota en su boca y abrochas su mordaza.)
BallGagRefuse,Echa un paso atrás y se resiste a ser amordazada.|(Necesitas 2 o más de sumisión para amordazar a Amanda.)
CuffsReplaceRope,(Desaces los nudos para que se pueda|liberar, pero le pones las esposas antes.)
CuffsWilling,"(Inclina su cabeza y pone sus |brazos por detrás para ser esposada.)"
CuffsReluctant,(Te empuja pero|la reduces para esposarla.)
CuffsRefuse,Te empuja y se niega a ser esposada.|(Necesitas 2 o más de sumisión para esposar a Amanda.)
CuffsUnlock,(La liberas de las esposas|y parece agradecida.)
RopeReplaceCuffs,"(La liberas de sus esposas, ella tira,|y la haces un arnes de cuerda completo.)"
RopeWilling,"(Inclina su cabeza y tira, tu|la haces un arnes de cuerda mientras ella siente un escalofrío.)"
RopeReluctant,(Luchas con ella para quitarla la ropa|entonces le haces un arnes de cuerda mientras se resiste.)
RopeRefuse,Te empuja y se resiste a ser atada.|(Necesitas 2 o más de sumisión para atar a Amanda.)
 CropGagged,(Golpeas a amanda un par de veces con tu vara.|Empieza a llorar y parece que lo odia.)
Crop,(Golpeas a amanda un par de veces con tu vara.)|Ow Eso duele, ¿Porqué eres tan mala?
