Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,好的。,很好。欢迎来到我们院。|我相信你会在这高墙之中学有所成。,10,0,0,
0,0,0,,是，Mildred 小姐。,非常好。欢迎来到我们院。|我相信你会在这高墙之中学有所成。,10,1,-1,
0,0,0,,（保持安静。）,很安静，不错。欢迎来到我们院。|我相信你会在这高墙之中学有所成。,10,0,0,
0,0,0,,那不太可能。,我也许得在教你数学之前先教你纪律。|我相信你会在这高墙之中学有所成。,10,-1,1,
10,0,0,,我希望能学到很多|东西，Mildred 小姐。,如果你遵守校规，你将|成为一名优秀的女士。,20,0,-1,
10,0,0,,请开始讲课吧。,我会的。如果你遵守校规，|你将成为一名优秀的女士。,20,0,0,
10,0,0,,我相信我会喜欢在这里的。,你会的，我肯定。如果你遵守|校规，你将成为一名优秀的女士。,20,1,0,
10,0,0,,我相信你的课|会很翔实。,会的。如果你遵守校规，|你将成为一名优秀的女士。,20,0,1,
10,0,0,,（打哈欠。）,同学，如果你想过要成为一名优秀的女士，|那你需要专心并且遵守规定。,20,-1,0,
10,0,0,,（缓缓点头。）,如果你遵守校规，你将|成为一名优秀的女士。,20,0,-1,
20,0,0,,一名优秀的女士？|这是个笑话吗？,我没在开玩笑，小姐。今天我们|要学习导数。我相信你带了课本。,30,-1,1,
20,0,0,,一名优秀的女士？|感觉不错。,（她向你微笑。）今天我们要|学习导数。我相信你带了课本。,30,1,0,
20,0,0,,（低下头并缓缓点头。）,（她向你微笑。）今天我们要|学习导数。我相信你带了课本。,30,0,-1,
30,0,0,,是，Mildred 小姐。我已经|迫不及待想要学习了。,非常好。现在打开课本|第 147 页复习一下公式。,40,1,-1,
30,0,0,,导数？什么鬼？,（她用鞭子敲了敲你的桌子。）|注意你的言行。打开课本第 147 页。,40,-1,0,
30,0,0,,导数？我最喜欢数学了。,（她用鞭子敲了敲你的桌子。）|注意你的言行。打开课本第 147 页。,40,1,0,
30,0,0,,导数？这很复杂。,那就开始上课。现在打开课本|第 147 页复习一下公式。,40,0,0,
40,0,0,,（保持安静并打开课本。）,好。在我讲课的时候保持安静。|（她回到教桌开始讲课。）,50,0,0,
40,0,0,,（盯着墙上的钟。）,（她给你一个严厉的目光|然后回到教桌开始讲课。）,50,-1,0,
40,0,0,,是，Mildred 小姐。|（打开课本。）,非常好。在我讲课的时候保持安静。|（她回到教桌开始讲课。）,50,0,-1,
40,0,0,,是，已经聊得够多了。|（打开课本。）,好！在我讲课的时候保持安静。|（她回到教桌开始讲课。）,50,0,1,
100,0,0,,Mildred 小姐！|你在干什么？ ,给你上一课，小姐。|（她用鞭子轻轻打了你一下。）,110,0,0,
100,0,0,,我日？,这样的言语是无法容忍的。|（她十分用力地用鞭子打了你一下。）,110,-1,0,
100,0,0,,嘿！你不可以这样做。,我当然可以，你在什么地方心里没数吗？|（她用鞭子轻轻打了你一下。）,110,0,0,
100,0,0,,（试着踢她。）,真不老实。这会让你长记性的。|（她十分用力地用鞭子打了你一下。）,110,-1,1,
110,0,0,,靠！好疼！,嘴巴真臭！|（她十分用力地打了你一下。）,120,-1,0,
110,0,0,,啊！|Mildred 小姐，请住手。,你吸取了教训我就住手。|（她又轻轻地打了你一下并露出微笑。）,120,1,0,
110,0,0,,（保持沉默，|假装不在乎。）,你很强，但是我会让你屈服的。|（她再次十分用力地打你。）,120,0,1,
110,0,0,,哈！仅此而已吗？,没教养，我会让你屈服的。|（她再次十分用力地打你。）,120,-1,1,
110,0,0,,（保持沉默并忍住尖叫。）,吸取教训吧，小姐。|（她又打了你一下，但不是非常用力。）,120,0,0,
