Tag,Content
SurpriseAttack,"(Sin previo aviso, salta sobre ti, te recuesta por la fuerza|en el escritorio y levanta tu falda.)"
BallGag,(Metes la pelota en su boca y ajustas |las correas mientras protesta inteligiblemente.)
UnlockWarning,(¿Estas segura de que quieres liberarla?|Clickea de nuevo para hacerlo.)
Unlock,"(Después de liberarla,te reduce y|te ata.) Te has librado jovencita."
Rope,"(Rodeas su cuerpo con cuerda, haciendo|nudos firmes.  Una vez hecho,la quitas las esposas.)"
Cuffs,(La esposas de nuevo y desaces todos los nudos|mientras trata de patearte sin éxito.)
Disturb1,"(Te mira brevemente.) Jovencita,|mantente callada mientras doy clase,podemos hablar despues de clase."
Disturb2,(Te mira enfadada.) Señorita!|Vas a parar de interrumpir la clase ahora mismo!
Disturb3,(Te mira furiosa.) ¡Esta es mi última advertencia!|La siguiente vez que interrumpas la clase te ataré.
Disturb4,"(Te reduce y levanta tu falda.)|Jovencita, Hoy vas a aprender una lección de disciplina."
SubdueAlone,"(En solitario, fallas en dominarla y te reduce.)|Jovencita, Hoy vas a aprender una lección de disciplina."
SubdueSidney,"(En solitario, fallas en dominarla y te reduce.)|Jovencita, Hoy vas a aprender una lección de disciplina."
SubdueAmanda,"(En solitario, fallas en dominarla y te reduce.)|Jovencita, Hoy vas a aprender una lección de disciplina."
SubdueSarah,"(En solitario, fallas en dominarla y te reduce.)|Jovencita, Hoy vas a aprender una lección de disciplina."
SubdueSuccess,"(Con tus compañeras, sois capaces de reducir a Mildred).|Encuentras un par de esposas en sus cosas y las atas a sus muñecas.)"
