Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerGagged,@Uumph lnug mmph!,"(Se ríe.)  No puedo entenderte.|Soy Sarah, encantada de conocerte.",10,1,0,
0,0,0,Common_PlayerGagged,(Asentir.),"(Se ríe.) ¡Una sumisa muy contenta!|Soy Sarah, encantada de conocerte.",10,1,0,
0,0,0,Common_PlayerGagged,(Mirarla de forma|enfadada.),No te estás divirtiendo.  (Saca su lengua de ti.),10,-1,0,
10,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se ríe.)  No te entiendo nada.,10,0,0,
10,0,0,Common_PlayerGagged,(Asentir.),(Se ríe.)  ¡Una sumisa muy contenta!,10,0,0,
10,0,0,Common_PlayerGagged,(Mirarla de forma|enfadada.),No te estás divirtiendo.  (saca su lengua de ti.),10,0,0,
20,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se ríe.)  No te entiendo nada.,20,0,0,
20,0,0,Common_PlayerGagged,(Asentir.),"(Se ríe.) ¡Una sumisa muy contenta!,20,0,0,
20,0,0,Common_PlayerGagged,(Mirarla de forma|enfadada.),No te estás divirtiendo.  (saca su lengua de ti.),20,0,0,
30,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se ríe.)  No te entiendo nada.,30,0,0,
30,0,0,Common_PlayerGagged,(Asentir.),"(Se ríe.) ¡Una sumisa muy contenta!,30,0,0,
30,0,0,Common_PlayerGagged,(Mirarla de forma|enfadada.),No te estás divirtiendo.  (saca su lengua de ti.),30,0,0,
40,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se ríe.) No te entiendo nada.,40,0,0,
40,0,0,Common_PlayerGagged,(Asentir.),"(Se ríe.) ¡Una sumisa muy contenta!,40,0,0,
40,0,0,Common_PlayerGagged,(Mirarla de forma|enfadada.),No te estás divirtiendo.  (saca su lengua de ti.),40,0,0,
50,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se ríe.) No te entiendo nada.,50,0,0,
50,0,0,Common_PlayerGagged,(Asentir.),"(Se ríe.) ¡Una sumisa muy contenta!,50,0,0,
50,0,0,Common_PlayerGagged,(Mirarla de forma|enfadada.),No te estás divirtiendo.  (saca su lengua de ti.),50,0,0,
60,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se ríe.) No te entiendo nada.,60,0,0,
60,0,0,Common_PlayerGagged,(Asentir.),(Se ríe.) ¡Una sumisa muy contenta!,60,0,0,
60,0,0,Common_PlayerGagged,(Mirarla de forma|enfadada.),No te estás divirtiendo.  (saca su lengua de ti.),60,0,0,
0,0,0,SubdueNotDone,Deberías esforzarte más|en tu educacción.,"¡Lo sé,lo sé lo sé! |¿Siempre eres así de abyrrida?",10,-1,1,
0,0,0,SubdueNotDone,¿Siempre llegas|tarde a clase?,"Oh no,la señora Mildred está exagerando.|Solo esta mañana... y por última vez.",10,0,1,
0,0,0,SubdueNotDone,Me sorprende que| puedas sentarte.,"No pasa nada, he sufrido peores.",10,0,0,
0,0,0,SubdueNotDone,¿Estás bien?|¿Te ha hecho daño?,"Estaré bien, He tenido peores.|Gracias por preguntar. (Te sonríe.)",10,1,0,
10,0,0,SubdueNotDone,¿Cuando acaba esta|clase?,"A las 9, al menos yo he|podido saltarme la mitad.",20,0,0,
10,0,0,SubdueNotDone,"Esto es muy aburrido|Deberías de haberte quedado fuera.",!Estoy de acuerdo¡  No se ni porqué he venido.,20,1,0,
10,0,0,SubdueNotDone,No se me dan muy bien las mates.|¿Podrías ayudarme?,¿Yo?  ¿Ayudar a alguien|en mates?  Buena esa.,20,0,-1,
20,0,0,SubdueNotDone,Deberíamos irnos.,¿Irnos? Pero si acabo de entrar.|y no quiero mas problemas con la señora Mildred.,30,0,0,
20,0,0,SubdueNotDone,¿Como matas el tiempo?,Creo que ayer por la mañana. (Se ríe.)|¿La señora Mildred es muy aburrida no crees?,30,0,0,
20,0,0,SubdueNotDone,¿Estás tan aburrida como yo?,"Sí, la señora Mildred es una buena|profesora, pero es un poco aburrida.",30,1,0,
20,0,0,SubdueNotDone,Así que la profesora|te tiene manía.,¡Lo sé!  No necesitas recordármelo.|Mildred es muy dura conmigo.,30,-1,0,
30,0,0,SubdueNotDone,¿Quieres|salir de aquí?,¿Salir?  ¿Con Mildred en clase?|¿Que tienes pensado?,40,0,0,
30,0,0,SubdueNotDone,"Cállate,|tengo un plan.",(Se calla y escucha.),40,0,1,
40,0,0,SubdueNotDone,Deberíamos|dominar a Mildred.,¿Dominarla?  ¿Atada y amordazada|o algo así?  ¡Es una idea un poco loca!,50,1,0,
40,0,0,SubdueNotDone,Me vas a ayudar|a dominar a la profe.,¡Oh dios!  ¿Atar a Mildred?,50,0,1,
50,2,0,SubdueNotDone,¿Así que|ayudarías a una amiga?,"(Sonríe y te guiña un ojo.)  Amiga mía.|Si, Te ayudaré, pero tu empiezas.",60,0,0,AgreeHelp()
50,0,2,SubdueNotDone,¡Hagámoslo!  Va a ser épico.,Es verdad  Te ayudaré.|Pero tu empiezas.,60,0,0,AgreeHelp()
50,0,0,SubdueNotDone,¿Me ayudarás?,"Suena bien, pero puede que|nos metamos en problemas.",50,0,0,
50,0,0,SubdueNotDone,Dejame pensarlo|primero.,"(Asiente.)  Claro, pero|piensa en ello.",50,0,0,
0,0,0,SubdueSuccess,¿No crees que la clase|está mejor ahora?,"¿Mejor?  Es la mejor clase que hemos tenido.|Soy Sarah, encantada de conocerte.",10,1,0,
0,0,0,SubdueSuccess,¿Te gustaría|verla así?,"Estaría adorable en ropa interior.  (Sonríe.)|Soy Sarah, encantada de conocerte.",10,1,0,
0,0,0,SubdueSuccess,Ha recibido|su merecido.,"¿Se lo merecía?  Tal vez.|Soy Sarah, encantada de conocerte.",10,0,0,
10,0,0,SubdueSuccess,(Relajarte y mirar.),(Ella también contempla a Mildred.)|Que bonita visión.,20,0,0,
10,0,0,SubdueSuccess,Soy la jefa|de la clase ahora.,Es verdad.  Tenemos una nueva profesora.,20,0,1,
10,0,0,SubdueSuccess,Tienes que pagar|para mirar el espectáculo.,Yo... No te daré dinero.,20,-1,0,
10,0,0,SubdueSuccess,¿No crees que hemos|ido demasiado lejos?,¿Demasiado o no lo suficiente?|No te asustes.,20,0,-1,
20,0,0,SubdueSuccess,¿A quien crees que le toca|ahora?,¡A Piggy! Quiero decir Sidney.|Deberíamos atarla a ella.,30,0,0,
20,0,0,SubdueSuccess,¿Te gustaría estar|atada como ella?,¿Aquí?  ¿Ahora?|Es posible.  (Se sonroja.),30,0,1,
20,0,0,SubdueSuccess,"Eres guapa, me|gusta tu pelo.",(Se toca el pelo y sonríe.)|¡Gracias!  Pero tú eres incluso mas guapa que yo.,30,1,0,
20,0,0,SubdueSuccess,Deberíamos irnos.,¿Y perdernos el espectáculo?  Oh no.,30,0,0,
20,0,0,SubdueSuccess,¿Debería también|humillar a Amanda?,"No por favor, es mi mejor amiga.|Se que tendría pesadillas.",30,-1,0,
30,0,0,SubdueSuccess,¿Te mojas|viendo a la profe?,(Se sonroja.)|No puedo contestar a eso.,40,0,1,
30,0,0,SubdueSuccess,Sidney nos está mirando fijamente.|¿Deberíamos castigarla?,¡Sí!  Es una idea genial.  (Sonríe.),40,1,0,
30,0,0,SubdueSuccess,Deberíamos relajarnos|Y disfrutar del espectáculi.,Bien dicho.  (Se acomóda para mirar a la profesora.),40,0,0,
30,0,0,SubdueSuccess,Amo el bondage.|¿Podrías atarme?,No soy muy buena atando.  Pero si quieres|estar atada conozco un club.,40,0,-1,
40,0,0,SubdueSuccess,"De todas formas, Estoy segura de que| el tiempo se va a pasar volando.",Seguro.  Demasiado rápido para mi gusto.|Toma algunas fotos antes de que se acabe.,50,0,0,
40,0,0,SubdueSuccess,¿Te gustaría estar|atada como Amanda? ¿Atada con Amy?|Sería un sueño hecho realidad.,50,1,1,
40,0,0,SubdueSuccess,¿Deberíamos|liberarla del bondage?,¡No!  Esta es la mejor clase que hemos tenido.,50,-1,-1,
110,0,0,Common_PlayerGagged,@Uugnm mugn!,Loongm monng gnu!,110,0,0,
110,0,0,Common_PlayerNotRestrained,(Quitar su mordaza.)ADD_MINUTES:1,(Desabrochas y quitas la pelota de su boca.)|¡Booooooh!  ¿Me la vas a poner mas tarde?,100,0,0,Ungag()
130,0,0,Common_PlayerGagged,@Uugnm mugn!,Loongm monng gnu!,130,0,0,
130,0,0,Common_PlayerNotRestrained,(Quitar su mordaza.)ADD_MINUTES:1,(Desabrochas y quitas la pelota de su boca.)|Oh! ¿Me la vas a poner mas tarde?,120,0,0,Ungag()
140,0,0,Common_PlayerNotRestrained,(Hacer cosquillas.)ADD_MINUTES:1,"(La haces cosquillas y se ríe ligeramente.)|Jejeje, ¿Que vas a hacer ahorat?",140,0,0,
140,0,0,Common_PlayerNotRestrained,(Desatarla.)ADD_MINUTES:1,(Desaces sus nudos y se desata.)|¡Ha estado genial!  Deberíamos hacerlo de nuevo.,100,0,0,Untie()
140,0,0,BondageHugReady,¿Quieres abrazar a |Amanda?ADD_MINUTES:1,¿Abrazar a Amy? ¡Sí!  (Se mueve hacia su amiga|para darla un abrazo de bondage muy sexy.),160,0,0,BondageHug()
150,0,0,Common_PlayerGagged,@Uugnm mugn!,Loongm monng gnu!,150,0,0,
150,0,0,Common_PlayerNotRestrained,(Hacer cosquillas.)ADD_MINUTES:1,(La haces cosquillas y se ríe ligeramente.),150,0,0,
150,0,0,Common_PlayerNotRestrained,(Quitar su mordaza.)ADD_MINUTES:1,(Desabrochas y quitas la pelota de su boca.)|¿Tienes otra mordaza para mí?,140,0,0,Ungag()
150,0,0,Common_PlayerNotRestrained,(Desatarla.)ADD_MINUTES:1,(Desaces sus nudos y se desata.)|(Gime en su mordaza felizmente.),110,0,0,Untie()
150,0,0,BondageHugReady,¿Quieres abrazar a |Amanda?ADD_MINUTES:1,(Asiente felizmente y se mueve hacia su amiga|para darla un abrazo de bondage muy sexy.),170,0,0,BondageHug()
160,0,0,,¿Te gustaría|besarla? ADD_MINUTES:1,(Se sonroja y asiente.)  ¿Un beso Amy?|(Se aproxima y besa a Amanda.),160,0,0,KissAmanda()
160,0,0,,¿Estáis enamoradas?,No voy a contestar a eso.|(Empuja su lengua hacia ti.),160,0,0,
160,0,0,Common_PlayerNotRestrained,(Separarlas.)ADD_MINUTES:1,Te veo luego Amy.  (Te guiña un ojo.),140,0,0,Separate()
170,0,0,,Haceis una bonita|pareja de bondage.,(Asiente felizmente.),170,0,0,BondageDuo()
170,0,0,Common_PlayerNotRestrained,(Separarlas.)ADD_MINUTES:1,(Vuelve a la silla refunfuñando.),150,0,0,Separate()
170,0,0,Common_PlayerNotRestrained,(Quitar su mordaza.)ADD_MINUTES:1,(Desabrochas y quitas la pelota de su boca.)|¿No es emocionante Amanda?,160,0,0,Ungag()
200,0,0,,"@Uuumph, mmph!","(Se ríe.)  No puedo entenderte.|Soy Sarah, encantada de conocerte.",210,0,0,
200,0,0,,(Asentir.),"(Sonríe.) Estas genial así.|Sarah, encantada de conocerte.",210,0,-1,
200,0,0,,(Try to point|to Mildred.),"¿Te ha atado ella?  Muy bien.|Soy Sarah, encantada de conocerte.",210,0,0,
210,0,0,,(Intentar dar la mano.),(Se acerca y estrecha tu mano encadenada.)|¡qué graciosa!  ¿Que te ha pasado?,220,1,0,
210,0,0,,@Mmhgnm!,"Encantada de conocerte ""Mmhgnm"".|(Se ríe.)   ¿Que te ha pasado?",220,0,0,
220,0,0,,@Yf nmfd mf mnumdn|Mnng Mmdeng.,No te he entendido nada.|Pero estas adorable con la mordaza.,230,0,0,
220,0,0,,(Encojerse de hombros.),Puede que sea dificil de explicar de todas formas.|Estás adorable atada.,230,0,0,
220,0,0,,(Mirarla.),"Perdón, Supongo que no puedes explicarte.|Estás adorable atada.",230,0,1,
230,0,0,,@Oomngn!,Me encantan tus gemidos.  Ya me|gustaría estar atada igual.,240,0,0,
230,0,0,,(Asentir.),Parece que te estas divirtiendo mucho.|Ojalá pudiera estar atada.,240,1,0,
230,0,0,,(Inclinar tu cabeza.),¿Tu también eres sumisa?|A mi también me gustaría estar atada.,240,0,-1,
240,0,0,,(Cabecear de|arriba a abajo.),¿Crees que me metería en problemas si me meto|con la profe?,250,0,0,
240,0,0,,(Agitar tu cabeza|de izquierda a derecha.),Supongo que tienes razón.|Debería centrarme mas en clase.,300,-1,0,
250,0,0,,(Asentir.),(Grita para molestar a la profesora y|rapidamente esta atada y amordazada.),260,0,1,AnnoyMildred()
250,0,0,,(Agitar tu cabeza|de izquierda a derecha.),Supongo que tienes razón.|Debería centrarme mas en clase.,300,-1,0,
260,0,0,,@Uugnm mugn!,Loongm monng gnu!,260,0,0,
260,0,0,,(guiñar un ojo.),(Te guiña un ojo y sonríe.),260,0,0,
