Tag,Content
StealKeys,Meins! (Sie klaut den Schlüssel|für deine Handschellen und lacht.)
BallGagWilling,(Sie holt tief Luft und öffnet|den Mund für den großen Knebel.)
BallGagReluctant,"(Sie schließt ihren Mund um dich aufzuhalten,|aber du zwängst den Ball hinein und fixierst ihn.)"
BallGagRefuse,"Sie schubst dich weg und weigert sich.|(Du brauchst mind. 2 Dominanz, um sie zu knebeln.)"
CuffsReplaceRope,"(Du entfernst die Seile und lässt sie sich anziehen,|legst ihr aber gleich danach Handschellen um.)"
CuffsWilling,"(Sie neigt ihren Kopf, setzt sich und bringt ihre|Arme für die Handschellen hinter ihren Rücken.)"
CuffsReluctant,"(Sie schubst dich, aber du kannst sie|überwältigen und ihr Handschellen anlegen.)"
CuffsRefuse,"Sie schubst dich und die Handschellen weg.|(Du brauchst mind. 2 Dominanz, um das zu tun.)"
CuffsUnlock,(Du entriegelst die Handschellen|und sie sieht dankbar aus.)
RopeReplaceCuffs,"(Du öffnest die Handschellen, sie zieht sich|aus und du umwickelst ihren Körper mit Seilen.)"
RopeWilling,"(Sie neigt ihren Kopf und zieht sich aus,|du wickelst Seile um ihren zitternden Körper.)"
RopeReluctant,(Du ringst mit ihr um ihre Kleidung und sie|lässt sich widerwillig von dir mit Seilen fesseln.)
RopeRefuse,"Sie schubst dich und das Seil von sich weg.|(Du brauchst mind. 2 Dominanz, um sie zu fesseln.)"
CropGagged,(Du schlägst Sidney ein paar Mal mit der Gerte.|Sie grummelt und wirft dir einen wütenden Blick zu.)
Crop,"(Du schlägst Sidney ein paar Mal mit der Gerte.)|Fick dich! Ist das alles, was du kannst?"
