Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Sí señora.|Lo siento.,Bien.  ¿Ahora serás una buena estudiante?,10,1,-1,
0,0,0,,"Lo sé, lo sé.|No hace falta repetirlo.","Señorita, tienes un problema con la actitud.|¿Ahora serás una buena estudiante?",10,-1,0,
0,0,0,,Es todo culpa de Sidney.,También es tu culpa señorita.|¿Ahora serás una buena estudiante?,10,0,0,
0,0,0,Fighting,Simplemente me defendí|de Sidney.,No hay ninguna razón aceptable para pelear.|¿Ahora serás una buena estudiante?,10,0,0,
0,0,0,Bondage,¡Admítelo!  Pensabas|que era muy sexy.,"Jovencita, eso no es apropiado.|¿Ahora serás una buena estudiante?",10,0,1,
10,0,0,,"Si, no quiero causar|más problemas.",Muy bien.  ¿Ahora puedes sentarte y|callarte hasta que acabe el castigo?,20,0,0,
10,0,0,,"Si Sidney puede|calmarse, lo haré.","Mmmh, vale. ¿Ahora puedes sentarte y|callarte hasta que acabe el castigo?",20,0,0,
10,0,0,,¿Una buena estudiante?  Antes necesito|una buena profesora.,Necesitas algo de disciplina. ¿Ahora puedes sentarte y|callarte hasta que acabe el castigo?,20,-1,0,
10,0,0,,Seré buena.  Solo porque|eres maja.,Muy bien.  ¿Ahora puedes sentarte y|callarte hasta que acabe el castigo?,20,1,0,
20,0,0,,¿Callada durante una hora?|Eso es imposible.,"Al menos inténtalo, será rápido.  Tengo un par de llamadas|que hacer, estate callada.",40,0,1,
20,0,0,,"Sí, supongo que|puedo estar callada.",Vale.   Tengo un par de llamadas|que hacer, así que estate callada.,40,0,0,
20,0,0,,Puedo hablar|cuando quiera.,"Tenemos métodos para callarte.  Tengo un par de llamadas|que hacer, estate callada.",40,-1,1,
20,0,0,,Sí señora.|Estaré callada.,Bien.  Tengo un par de llamadas|que hacer, estate callada.,40,1,-1,
30,0,0,,No es nada que|te importe.,"Jovencita, dame eso ahora mismo.|(Agarra tus objetos y los confisca.)",40,-1,0,Confiscate()
30,0,0,,He encontrado|esto en el suelo.,"Gracias señorita, muy amable.|(Sonríe y confisca tus cosas.)",40,1,0,Confiscate()
30,0,0,,No es nada.|(Esconderlo),"Mmh, vale.  pensé haber visto algo.|Ahora cállate, Tengo llamadas que hacer.",40,0,0,
50,0,0,Common_PlayerNotRestrained,(Intentar molestarla.)ADD_MINUTES:1,Jovencita.  Para ahora mismo|o te amordazaré.,50,-1,0,Annoyed()
