Tag,Content
NoBondage,（她把你推了回去）你在干啥？|我们应该好好画画。
CropForInfo,"（你快速抽了她一下）唔！我想想…|你和她说Sandro Botticelli的 ""The Birth of Venus""试试。"
RefuseBondage,（她把你推了回去然后盯着你）|哦不！你不能把我绑起来。
Bondage,（她试图阻止你但你压制住了她，|并捆住了她的手和身体）
NoGag,（她推开你的手）别这样！
BallGag,（她把嘴闭得很紧于是你|用力把口球塞了进去）
TapeGag,（她拼命摇头，但你最后|还是用胶布贴住了她的嘴）
Crop,（你用鞭子抽了她几下，她疼的叫了出来）
VibratingEggWarning,（将跳蛋塞进Jennifer体内|将无法再取出，点击确定）
VibratingEggInsert,（Jennifer看到跳蛋想挪动离开|但你还是把它塞了进去，她现在不断颤抖着）
GaggedKiss,（你试图隔着自己的堵嘴物亲吻她|，但这只会显得很滑稽）
TightenGagged,（你在她紧张地挣扎时|重新把绳结紧了紧）
Tighten,啊呜！小心点！|（她看上去很紧张）
TightenFail,(你试图收紧Jennifer的束缚，|但是在其他学生的笑声中失败了）
Tickle,（你在全班面前挠她痒痒，|她害羞地缩成一团并试图踢你）
TickleFail,（你笨手笨脚地挠她痒痒，|她害羞地缩成一团并试图踢你）
EarnTrust,那我相信你吧，|这一切让我很紧张。
EggComment,不是..等等..那个..我..好吧..(她低下头）
PlayerUntie,（她红着脸上前给你松绑）|好了，绳子给你，我猜你肯定害羞死了，
PlayerStayTied,（她太紧张了，不敢上去帮你）|（你需要+3以上的好感让她来帮你）
NoTimeToPaint,（这堂课剩下的时间已经|不足以画完这张画了）
