Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,哦哦哦哦哦哦~~一个新学生~~~|我是Giuliana老师，你可以叫我Julia。,JuliaWantsHug.jpg
10,0,0,,,JuliaWantsHug.jpg
20,0,0,,,JuliaHug.jpg
30,0,0,,,Julia.jpg
40,0,0,,,Julia.jpg
50,0,0,,,Julia.jpg
60,0,0,,新同学你画画的功底如何？|能像Raphael那样画出杰作嘛？~,JuliaPose.jpg
70,0,0,,那么你知道著名艺术家Sandro Botticelli的作品么？,Julia.jpg
80,0,0,,你有听说过The Birth of Venus吗?,Julia.jpg
100,0,0,,,JuliaNoTop.jpg
110,0,0,,我看上去像美丽的Venus么？,JuliaNoTop.jpg
120,0,0,,我不像那高贵的Venus一样么？,JuliaNoTop.jpg
130,0,0,,,JuliaNude.jpg
140,0,0,,The Birth of Venus! 那是个了不起的艺术品！|你对她感兴趣么？,JuliaNude.jpg
150,0,0,,那么谁要和我一起当模特？,JuliaNude.jpg
150,0,0,IsGagged,（她四下张望着想找一个新模特）,JuliaNude.jpg
160,0,0,,,JuliaNude.jpg
170,0,0,,保持姿势！这是为了艺术！,JuliaNude.jpg
170,0,0,EggInside,哦！这是怎么了！|（跳蛋让她一阵阵抽搐着）,JuliaNude.jpg
170,0,0,Common_PlayerRestrained,Venus和拘束，多般配的两个理念啊~,JuliaNude.jpg
170,0,0,IsGagged,Munm gnu!  (她发出难以理解的声音.),JuliaNude.jpg
180,0,0,,保持姿势！这是为了艺术！,JuliaNude.jpg
180,0,0,EggInside,哦！这是怎么了！|（跳蛋让她一阵阵抽搐着）,JuliaNude.jpg
180,0,0,IsGagged,Munm gnu!  (她发出难以理解的声音.),JuliaNude.jpg
