Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"UuuUUUuh! Eine neue Schülerin! Ich bin die Kunst-|Lehrerin Giuliana, aber du kannst mich Julia nennen.",JuliaWantsHug.jpg
10,0,0,,,JuliaWantsHug.jpg
20,0,0,,,JuliaHug.jpg
30,0,0,,,Julia.jpg
40,0,0,,,Julia.jpg
50,0,0,,,Julia.jpg
60,0,0,,"Wie geht das Malen voran, neue Schülerin?|Wird es ein Meisterwerk wie von Raphael?",JuliaPose.jpg
70,0,0,,Du weißt also von den Werken des|großen Meisters Sandro Botticelli?,Julia.jpg
80,0,0,,Hast du Die Geburt der Venus gesehen?,Julia.jpg
100,0,0,,,JuliaNoTop.jpg
110,0,0,,Sehe ich aus wie die schöne Venus?,JuliaNoTop.jpg
120,0,0,,Bin ich nicht magnifico wie Venus?,JuliaNoTop.jpg
130,0,0,,,JuliaNude.jpg
140,0,0,,"Die Geburt der Venus! Ist Kunst nicht wundervoll?|Bist du nun begeistert, neue Schülerin?",JuliaNude.jpg
150,0,0,,Wer soll denn mit mir Modell stehen?,JuliaNude.jpg
150,0,0,IsGagged,(Sie sieht sich nach einem weiteren Modell um.),JuliaNude.jpg
160,0,0,,,JuliaNude.jpg
170,0,0,,Bleib so! Kreieren wir Kunst!,JuliaNude.jpg
170,0,0,EggInside,UuuUUUuh! Was geht hier vor?|(Das Ei scheint ihr Zuckungen zu geben.),JuliaNude.jpg
170,0,0,Common_PlayerRestrained,"Venus und Shibari, was für eine Kombi!",JuliaNude.jpg
170,0,0,IsGagged,Munm gnu! (Sie ist nicht zu verstehen.),JuliaNude.jpg
180,0,0,,Bleib so! Kreieren wir Kunst!,JuliaNude.jpg
180,0,0,EggInside,UuuUUUuh! Was geht hier vor?|(Das Ei scheint ihr Zuckungen zu geben.),JuliaNude.jpg
180,0,0,IsGagged,Munm gnu! (Sie ist nicht zu verstehen.),JuliaNude.jpg
