Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,很高兴认识你，Julia。,好的~现在给我一个大大的拥抱~,10,1,0,
0,0,0,,很荣幸见到你，|Giuliana女士。,别别别~叫我Julia就行，|现在给我一个大大的拥抱,10,0,-1,
0,0,0,,艺术？老天啊~（抬眼）,艺术炽如烈火！我就是那炽热的火舌！|现在给我一个大大的拥抱~,10,-1,1,
0,0,0,,（看着别处）,喂，看这边！|走近点来给我个拥抱如何？,10,-1,0,
10,0,0,,一个拥抱？|好啊，为什么不呢。,嘶~~（她紧紧地抱住你，|把你的脸深埋进她的胸口）,20,0,0,Hug()
10,0,0,,当然可以~（张开双手）,嘶~~（她紧紧地抱住你，|让你体验了一把完美的洗面奶）,20,1,0,Hug()
10,0,0,,不，谢谢。,好吧新来的，那就不抱你了。|但我希望你已经做好了画画的准备。,30,0,0,
10,0,0,,抱你？你想多了。,你简直就像火焰一样充斥着愤怒。|这堂课就是为你准备的。,30,-1,0,
20,0,0,,这真是个温暖的|欢迎仪式~,嘶~~（她放开了你）|希望你做好绘画的准备了。,30,0,0,
20,0,0,,（把脸埋进她的胸口）,别，别这样，去做好绘画的准备。,30,-1,1,
20,0,0,,我不能呼吸了！,（她放开了你）真是抱歉！希望你做好绘画的准备了,30,0,-1,
30,0,0,,Ummmm，好吧。,你需要更加热情一些！|因为你们要像Da·Vinci一样为我作画了！,40,0,0,
30,0,0,,画画？简直是一场灾难。,唯一的灾难就是对自己失去信心。|今天你们要像Da·Vinci一样为我作画。,40,-1,0,
30,0,0,,没问题！|我爱画画！,太棒了！今天将会是特殊的一天，|你们要像Da·Vinci一样为我作画。,40,1,0,
30,0,0,,我不会画画。,没关系，每个人都能做到。|今天，你们要像Da·Vinci一样为我作画。,40,0,-1,
40,0,0,,为你作画？|我需要一张大号画布。,（她瞪着你）姑且认为你是因为我的衣服才这么说的。,50,-1,1,
40,0,0,,喔~那我需要很多颜料才行。,嗯~如果你想了解我这套衣服的更多细节|的话就更是如此了~,50,1,0,
40,0,0,,这对我来说有点难。,我这套衣服有很多细节，希望你能做好。,50,0,-1,
50,0,0,,让我们看看那支画笔。,好，让我看看你的本事吧。（她摆了个Pose）,60,0,0,
50,0,0,,我觉得我可以试试。|（无奈地叹了口气）,不用担心，大胆尝试！（她摆了个Pose）,60,0,-1,
50,0,0,,准备就绪！|摆出你最好的Pose~,棒极了！让我看看你的本事吧。（她摆了个Pose）,60,0,1,
60,2,0,BigHugReady,能再给我一个拥抱么？,好的~（她又紧紧地抱住了你，你又无法呼吸了）,60,0,0,BigHug()
60,0,0,Sandro,"你知道Botticelli的|""""The Birth of Venus""""吗？", 哦？你知道Sandro Botticelli大师的杰作吗？,70,0,0,
60,0,0,Sandro,"你听说过""""The Birth| of Venus""""吗？（小声）",,70,0,-1,
70,0,0,,我打赌你肯定是|一个美妙的Venus！ ,（她笑了笑）我吗？|美妙的Venus？,80,1,0,
70,0,0,,你可以摆出|Venus的Pose。,我？Venus的姿势？|像Botticelli的Venus那样？,80,0,0,
80,0,0,,是的，但你需要展|现出更多的肌肤。,为了伟大的Venus！（她解开上衣|露出胸部）拿起你们的画笔！,100,0,0,RemoveTop()
80,0,0,,没错，像Venus那样|展示你的曲线吧。,为了伟大的Venus！（她解开上衣|露出胸部）拿起你们的画笔！,100,0,1,RemoveTop()
110,0,0,,你看上去不错。,不错？不错意味着还不够，艺术不能将就。,120,0,0,
110,0,0,,精彩！太完美了！,嘶~~但艺术不存在完美。,120,1,0,
110,0,0,,那样会更好的。 ,更好？你不喜欢么？,120,0,1,
110,0,0,,发福版Venus。（咳嗽） ,（她狠狠瞪了你一眼）你有什么意见么，新来的？,120,-1,0,
120,0,0,,最好的Venus肯定是全裸的。, 完全正确！为了！Botticelli和Venus！|（她脱掉了所有的衣服）拿起你们的画笔！ ,130,0,0,Strip()
120,0,0,,你喜欢Venus脱光|衣服的样子吗？ ,没错！为了！Botticelli和Venus！|（她脱掉了所有的衣服）拿起你们的画笔！,130,0,1,Strip()
120,0,0,,你可以再脱掉一些|衣服吗？（小声）,你太害羞了，让我来告诉你什么是真正的艺术吧！|（她脱掉了所有的衣服）快！拿起你们的画笔！,130,0,-1,Strip()
140,0,0,WorkOfArtReady,你真是一件艺术品！,你可真会说话啊~,140,0,0,WorkOfArt()
140,0,0,,也许我们需要|再叫一个模特。,你这么觉得么？我有点好奇，|还需要有谁和我一起当模特么？,150,0,0,QueryNewModel()
140,0,0,,如果再加一个模特|会更棒的！,你觉得我还不够？胡说！|那你说还要有谁一起才够？,150,-1,0,QueryNewModel()
150,0,0,,我会和你一起做模特的。,喔~亲爱的~快过来~|我们是最棒的组合,160,0,0,"NewModel(""Player"")"
150,0,0,,Sarah适合当模特。,好主意！Sarah，过来。|是时候开始画画了，拿起你们的画笔！,160,0,0,"NewModel(""Sarah"")"
150,0,0,,Jennifer适合当模特。,有意思，Jennifer，过来一下。|是时候开始画画了，拿起你们的画笔！,160,0,0,"NewModel(""Jennifer"")"
150,0,0,CanBegForRelease,@HUUIA!  HMMH EE!,稳住姿势别动，你说啥我完全听不懂。,150,0,0,GaggedSpeach()
150,0,0,CanBegForRelease,（一边呜咽着，一边|露出小狗一样可怜的眼神）,,150,0,0,BegForRelease()
170,0,1,Common_PlayerNotRestrained,让我们再换个模特吧。,又换？那换谁和我一起？,150,0,0,ChangeModel()
170,0,-1,,我可以坐下了么？,不行，害羞的新生，你需要克服自己害羞|的心理才能触碰到艺术的激情！,170,0,0,
170,0,0,CanDoSelfBondage,我来告诉你什么叫|Shibari！（捆绑自己）,（在全班同学的注视下，你赤裸着身体努力把绳子绕在了自己身上）,170,0,0,SelfBondage()
170,0,0,CanBegForRelease,@HUUIA!  HMMH EE!,稳住姿势别动，|现在不是闲聊的时候。,170,0,0,GaggedSpeach()
170,0,0,CanBegForRelease,(Whimper and make|sad puppy eyes.),（一边呜咽着，一边|露出小狗一样可怜的眼神）,170,0,0,BegForRelease()
170,0,0,AllowUnderwear,我们穿着不统一啊。,的确，你穿着衣服确实很古怪。|（你慢慢脱掉了衣服）同学们开始画吧！,180,0,0,PlayerRemoveOutfit()
170,0,0,AllowNaked,我们还是不太一样。,没错！你也要脱光衣服才可以~|（你慢慢脱掉了衣服）同学们开始画吧！,180,0,0,PlayerStrip()
170,0,0,AllowShibari,你听说过“Shibari”吗？,Shibari？这是日本的绳艺。|这里有一些绳子，我们可以试试。,170,0,0,ShibariStart()
170,0,1,AllowShibari,嘿，Julia，你听过|“Shibari”这个词么？,我还从没尝试过日本的绳艺。|这里有一些绳子，我们可以试试。,170,0,1,ShibariStart()
170,0,0,IsRestrained,（挠她痒痒）,（她小声地笑着，似乎很享受）,170,0,0,Tickle()
170,0,0,IsRestrained,（拉紧绳子）,（绳子已经很紧了）,170,0,0,Tighten()
170,0,0,IsRestrained,（解开她）,（你解开了她身上的绳子）|所以你还是不喜欢Shibari么？,170,0,0,Release()
170,0,0,IsGagged,（解开她的嘴）,（你解开了她嘴上的束缚）|艺术有些时候是很疯狂的。你们开始画了么？,170,0,0,TryUngag()
170,0,0,PaintAvail,（为她作画）|（30分钟）,（你仔细地为她做了一张画，|她抱着画开心的像个XX斤的孩子）,170,0,0,Paint()
