Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,艺术课是我最喜欢的一门课！|你画画水平如何？?,Sarah.jpg
0,2,0,,我在这呢!  艺术真的很有趣不是么？?|你画画水平咋样?,Sarah.jpg
0,0,2,,(她向你低下头，轻轻说道)|那么你画画的水平高吗?,Sarah.jpg
0,0,0,BondageDone,(她轻轻笑着)  你能再把我捆起来么?|你画画的水平如何?,Sarah.jpg
10,0,0,,你觉得Julia的艺术课如何，有没有乐在其中?,Sarah.jpg
20,0,0,,想给Julia画肖像真|不容易啊不是么?,Sarah.jpg
30,0,0,,我不知道你该如何|说服她脱光衣服.,Sarah.jpg
50,0,0,,太棒了！你真的让她把胸部都|露了出来！你能再让她脱光衣服么？,Sarah.jpg
100,0,0,,太棒了！你让她彻底脱光了！,Sarah.jpg
100,0,0,IsModel,你喜欢这个姿势么？(她轻轻笑着.)|这真的很有趣~,Sarah.jpg
110,0,0,,你的眼神真是古怪.|你在想什么?,Sarah.jpg
120,0,0,,所以你准备怎么|说服她接受捆绑？,Sarah.jpg
130,0,0,,Shibari是我想到|最棒的点子了！,Sarah.jpg
130,0,0,Common_PlayerRestrained,"你看上去真是可爱, 我也热爱拘束！.",Sarah.jpg
130,0,0,Common_PlayerGagged,真是可爱的口球啊!  |也可以给我一个吗?,Sarah.jpg
130,0,0,IsModel,Shibari是我想到最棒的点子了，也许你可以把我们都捆起来。,SarahPose.jpg
140,0,0,,你喜欢这个姿势么？(她轻轻笑着.)|这真的很有趣~,SarahUnderwear.jpg
150,0,0,,(她一边哼着轻浮的曲调|一边试图换个姿势.),SarahNaked.jpg
160,0,0,,我没法解开这些绳子，|不过我也没打算逃跑.,SarahRope.jpg
160,0,0,EggInside,这绳子！这跳蛋！都太棒了！|可以请你帮忙堵上我的嘴吗?  (她笑着说.),SarahRope.jpg
170,0,0,,(她挣扎得很剧烈但看上去也|很享受被堵着嘴的感觉.),SarahRopeBallGag.jpg
170,0,0,EggInside,(她香汗淋漓地呻吟着，|似乎在与跳蛋做着不懈的斗争.),SarahRopeBallGag.jpg
180,0,0,,(她挣扎得很剧烈但看上去也|很享受被堵着嘴的感觉.),SarahRopeTapeGag.jpg
180,0,0,EggInside,(她挣扎得很剧烈但看上去也|很享受被堵着嘴的感觉.),SarahRopeTapeGag.jpg
200,0,0,,,SarahReadyOrgasmBallGag.jpg
210,0,0,,,SarahReadyOrgasmBallGag.jpg
220,0,0,,,SarahOrgasmBallGag.jpg
250,0,0,,,SarahReadyOrgasmTapeGag.jpg
260,0,0,,,SarahReadyOrgasmTapeGag.jpg
