Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,绘画不是我的菜。,喔！别这么说！|你不喜欢艺术和绘画么？,10,0,-1,
0,0,0,,我也许可以。,你一定行的！|你喜欢艺术课和Julia老师吗？,10,0,0,
0,0,0,,我宁愿给你画肖像。,(她脸红了.)  你可真是暖心.|这么说你不喜欢我们的老师?,10,1,0,
0,0,0,BondageDone,如果你愿意乖乖听话，|我就会再把你捆起来的。,（她拼命点头）一切听你的！|你喜欢艺术课和Julia老师吗？,10,0,1,
10,0,0,,Julia画起来真是废颜料.,别对她这么刻薄，虽然她有点胖|但她是个很好的老师。,20,-1,0,
10,0,0,,她衣服上的细节也太多了。,这是个挑战！|她画起来没那么容易的。,20,0,0,
10,0,0,,艺术是好东西，但她不是。,别对她这么刻薄，虽然她年纪|有点大，但她是个很好的老师。,20,-1,0,
20,0,0,,如果她脱光衣服|岂不是更好？,我完全同意，|但你要怎么说服她？,30,1,0,
20,0,0,,承认吧，你会享受|她脱光衣服的样子。,（她笑了笑）你说得对，|但你准备怎么做？,30,0,1,
20,0,0,,除非她脱掉那件衣服|不然别想搞定。,脱掉她的衣服？这主意|不错，但你得说服她才行。,30,0,-1,
30,0,0,,帮我说服她。,"我不知道该怎么做，你可以|问问Jennifer,她很聪明。",30,0,0,
100,0,0,,你觉得我们可以|扒光她?,扒光她？你想做什么？,110,0,0,
100,0,0,,我们把事情弄得|更有情趣些如何？,等下等下等下，你想做啥？,110,1,0,
110,0,0,,我们要把她绑起来。,捆住她？这可不容易，|你准备怎么说服她？,120,0,0,
110,0,0,,Julia被绑起来|肯定更好！,没错没错你说的都对，|但你准备怎么说服她？,120,1,0,
110,0,0,,让我们把她硕大|的臀部也绑起来！,我本来不想这么说，但我|喜欢你的点子，你准备怎么说服她？,120,-1,1,
120,0,0,,我们可以用艺术来说服她。,对了你可以试试这样，和她说|Shibari，这是日本的绳艺。,130,0,0,ShibariComment()
120,0,0,,她很喜欢艺术，|也许我们可以利用一下。,对了！小声点，我有个绝佳的主意。|和她说|Shibari，这是日本的绳艺。,130,0,-1,ShibariComment()
130,0,0,CanBeTied,Sarah，你可以|把我捆起来么？,我更喜欢被绑，但帮帮你也是可以的。|（她接过绳子把你紧紧捆了起来）,130,0,0,TiePlayer()
130,0,0,CanBeBallGagged,检查一下我的包，|里面有口球。,哦太好了~张开嘴巴我可爱的模特~|（她把口球塞进你的嘴里）,130,0,0,BallGagPlayer()
130,0,0,Common_PlayerRestrained,Sarah，可以帮帮我么？,,130,0,0,BegForRelease()
