Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Keine Ahnung. In mir|steckt auch eins.,"Du Arme. Naja, ist wohl irgendwo auch fair.|Wir müssen dann wohl zusammen trainieren.",5,0,-1,
0,0,0,,Gar nicht.|Genieße es einfach.,Das ist nicht lustig und ich mag es nicht.|(Sie seufzt.) Wir müssen wohl zusammen trainieren.,5,-1,0,
0,0,0,,"Weiß nicht genau,|ich erkundige mich.",Oh je! Sag mir so schnell wie möglich bescheid.|Wir müssen dann wohl zusammen trainieren.,5,0,0,
0,0,0,,Du bekommst es nicht|raus. Es bleibt für immer.,Hoffentlich muss ich nicht ins Krankenhaus.|(Sie seufzt.) Wir müssen wohl zusammen trainieren.,5,-1,0,
0,0,0,,"Keine Sorge, ich|helfe dir später.","Okay, ich vertraue dir.|Willst du mit mir zusammen Judo trainieren?",5,1,0,
0,0,0,,"Wenn du brav bist,|helfe ich dir.","Brav? Mmmh, na gut.|Willst du mit mir zusammen Judo trainieren?",5,0,1,
5,0,0,,Wir beide müssen|wohl ein Team bilden.,Also gut. Hast du denn schon mal Judo gemacht?,10,0,0,
5,0,0,,Warum bist du die|Einzige ohne Partner?,Ich... Reiner Zufall.|Hast du denn schon mal Judo gemacht?,10,-1,0,
5,0,0,,Toll! Das wird|ein Spaß.,Richtige Einstellung!|Hast du denn schon mal Judo gemacht?,10,1,0,
10,0,0,,Das wird mein erster|Judokampf sein.,"Gut, du wirst Spaß am Lernen haben.|Sollen wir erst üben oder gleich richtig kämpfen?",20,0,0,
10,0,0,,"Ich bin Anfängerin,|bitte nicht übertreiben.","Keine Sorge, ich tu dir nicht weh.|Sollen wir erst üben oder gleich richtig kämpfen?",20,0,-1,
10,0,0,,"Ich hab etwas Erfahrung,|es macht mir Spaß.",Cool! Das wird bestimmt eine gute Stunde.|Sollen wir erst üben oder gleich richtig kämpfen?,20,0,0,
10,0,0,,"Ich kann Judo und|ich mach dich fertig.",Oh! Das werden wir noch sehen.|Sollen wir erst üben oder gleich richtig kämpfen?,20,0,1,
20,0,0,,"Erkläre mir,|wie man kämpft.","Im Kampf geht es um das richtige Timing beim Angriff.|(Drücke A, S, K, L, wenn ein Symbol am Balken ist.)",20,0,0,ExplainMobile()
20,0,0,,Üben wir.|(Übung starten.),,20,0,0,StartPractice()
20,0,0,,Lass uns kämpfen.|(Kampf starten.),,20,0,0,StartFight()
100,0,0,,Bewegungsunfähig?|Wie das?,"Du musst mein Outfit entfernen und mich fesseln.|Ich hingegen werde versuchen, den Spieß umzudrehen.",110,0,0,GetRope()
100,0,0,,Du wirst gefesselt|so süß aussehen.,"K-k-kann sein. Du musst mein Outfit entfernen und|mich fesseln. Ich versuche dich abzuwehren.",110,1,0,GetRope()
100,0,0,,"Zu einfach, du bist|'ne schlechte Kämpferin.",Dann strenge ich mich jetzt eben mehr an.|Du musst mein Outfit entfernen und mich fesseln.,110,-1,1,GetRope()
100,0,0,,Das ist toll!|Du gehörst jetzt mir.,Noch nicht! Ich versuche dich abzuwehren.|Du musst mein Outfit entfernen und mich fesseln.,110,0,1,GetRope()
110,0,0,,Auf einen guten Kampf.|(Kampf beginnen.),,110,0,0,StartWinFight(true)
110,0,0,,Ich mach dich platt!|(Kampf beginnen.),,110,0,0,StartWinFight(false)
200,0,0,,Bewegungsunfähig?|Wie das?,Ich muss deinen Judoanzug|entfernen und ein Seil benutzen.,210,0,0,
200,0,0,,Du bist gut. Aber musst|du mich wirklich fesseln?,"Danke! Ja, der nächste Selbstverteidigungsschritt|ist, dein Outfit zu entfernen und dich zu fesseln.",210,1,0,
200,0,0,,Du tust mir|aber nicht weh?,"Natürlich nicht. Der nächste Selbstverteidigungsschritt|ist, dein Outfit zu entfernen und dich zu fesseln.",210,0,-1,
200,0,0,,Du fesselst|mich? Spitze!,"Konzentrier dich. Der nächste Selbstverteidigungsschritt|ist, dein Outfit zu entfernen und dich zu fesseln.",210,0,-1,
210,0,0,,Bitte gib mir 'ne Chance.|(Kampf beginnen.),,210,0,0,StartLoseFight(true)
210,0,0,,Diesmal gewinne ich!|(Kampf beginnen.),,210,0,0,StartLoseFight(false)
400,0,0,,Das war toll. Magst|du deine Fesseln?,"(Sie wird rot.) Das soll nicht erotisch|sein, es geht um Selbstverteidigung.",410,0,1,
400,0,0,,Es war ein guter Kampf.|Du hast Potenzial.,"Danke! Aber ich muss mehr|trainieren, um dich zu schlagen.",410,1,0,
400,0,0,,Allein bist du hilflos. Du|brauchst meinen Schutz.,Deinen Schutz? Meinst du? Oh je.|Ich sollte wirklich öfter trainieren.,410,-1,1,
410,0,0,,"Weißt du, wie entzückend|du jetzt aussiehst?",(Sie wird rot und schaut weg.),410,0,0,AdorableComment()
410,0,0,EggInside,"Mädel, erregt das|Ei dich etwa?",Oh nein! Kannst du es bitte rausnehmen?,410,0,0,EggComment()
410,0,0,EggInside,(Mit ihrem Schrittseil|spielen.)ADD_MINUTES:1,"(Du spielst sachte mit ihrem Schrittseil.|Sie stöhnt sehr leise, um nicht gehört zu werden.)",410,0,0,CrotchRope()
410,0,0,,(Kitzeln.)ADD_MINUTES:1,(Sie versucht dir in ihren Seilen auszuweichen.)|(Sie wird wohl nicht gern öffentlich gekitzelt.),410,0,0,Tickle()
410,0,0,,(Auf den Hintern hauen.)ADD_MINUTES:1,"Au! Warum? (Sie versucht sich zu wehren,|während du ihr recht kräftig den Hintern versohlst.)",410,0,0,Spank()
410,0,0,,(Befreien.)ADD_MINUTES:1,(Du bindest sie los und sie zieht sich an.) Vielen Dank!|Lust auf noch eine Übung vor der Pause?,600,1,0,Release()
410,0,0,,"Das reicht, gehen wir|essen. (Halle verlassen.)",,410,0,0,EndChapter()
420,0,0,EggInside,(Mit ihrem Schrittseil|spielen.)ADD_MINUTES:1,"(Du spielst sachte mit ihrem Schrittseil.|Sie stöhnt sehr leise, um nicht gehört zu werden.)",420,0,0,CrotchRope()
420,0,0,,(Kitzeln.)ADD_MINUTES:1,(Sie versucht dir in ihren Seilen auszuweichen.)|(Sie wird wohl nicht gern öffentlich gekitzelt.),420,0,0,Tickle()
420,0,0,,(Auf den Hintern hauen.)ADD_MINUTES:1,"(Sie ringt mit ihren Seilen, während du|ihr recht kräftig den Hintern versohlst.)",420,0,0,Spank()
420,0,0,,(Knebel entfernen.)ADD_MINUTES:1,"(Du ziehst ihr das Band vom Gesicht und sie seufzt.)|Selbstverteidigung gefällt dir wohl sehr, was?",410,0,0,Ungag()
420,0,0,,(Befreien.)ADD_MINUTES:1,(Du bindest sie los und sie zieht sich an.) Vielen Dank!|Lust auf noch eine Übung vor der Pause?,600,1,0,Release()
420,0,0,,"Das reicht, gehen wir|essen. (Halle verlassen.)",,420,0,0,EndChapter()
430,0,0,EggInside,(Mit ihrem Schrittseil|spielen.)ADD_MINUTES:1,"(Du spielst sachte mit ihrem Schrittseil.|Sie stöhnt sehr leise, um nicht gehört zu werden.)",430,0,0,CrotchRope()
430,0,0,,(Kitzeln.)ADD_MINUTES:1,(Sie versucht dir in ihren Seilen auszuweichen.)|(Sie wird wohl nicht gern öffentlich gekitzelt.),430,0,0,Tickle()
430,0,0,,(Auf den Hintern hauen.)ADD_MINUTES:1,"(Sie ringt mit ihren Seilen, während du|ihr recht kräftig den Hintern versohlst.)",430,0,0,Spank()
430,0,0,,(Knebel entfernen.)ADD_MINUTES:1,"(Du ziehst ihr das Band vom Gesicht und sie seufzt.)|Selbstverteidigung gefällt dir wohl sehr, was?",410,0,0,Ungag()
430,0,0,,(Befreien.)ADD_MINUTES:1,(Du bindest sie los und sie zieht sich an.) Vielen Dank!|Lust auf noch eine Übung vor der Pause?,600,1,0,Release()
430,0,0,,"Das reicht, gehen wir|essen. (Halle verlassen.)",,430,0,0,EndChapter()
