Tag,Content
Crop,(Du schlägst sie ein paar Mal mit der Gerte.|Sie schreit und heult vor Schmerz.)
BallGag,"(Sie macht den Mund zu, sodass du|ihn mit Gewalt hineindrücken musst.)"
TapeGag,"(Sie schüttelt hektisch den Kopf, aber|es gelingt dir, ihren Mund zuzukleben.)"
VibratingEggWarning,"(Das Ei könnte verloren gehen, wenn du es in|Jennifer einführst. Klicke erneut, um es zu tun.)"
VibratingEggInsert,"(Jennifer sieht das Ei und versucht zu entkommen,|aber du setzt es ein. Sie zittert nun gelegentlich.)"
ExplainMobile,"Im Kampf geht es um das richtige Timing beim Angriff.|(Klicke auf den Balken, wenn das Symbol ihn erreicht.)"
CrotchRope,"(Du spielst mit ihrem Seil und sie fängt plötzlich|zu zucken, schwitzen und stöhnen an.)"
UngagPlayer,Warte. Ich helfe dir.|(Sie entfernt vorsichtig deinen Knebel.)
ReleasePlayer,Natürlich. Lass mich dir helfen.|(Sie bindet dich los und du ziehst dich an.)
GagPlayer,Nein! Ich mache eher das Gegenteil. Du redest|zu viel. (Sie schnallt dir einen Knebel um.)
PlayerOrgasmGagged,"(Sie zieht und du bekommst einen stillen Orgasmus.)|Warum zitterst du so? Nicke, wenn alles okay ist."
PlayerOrgasm,(Sie zieht und du bekommst einen stillen Orgasmus.)|Alles okay? Warum zitterst du so?
TrainFighting,(Du trainierst hart mit Jennifer|und lernst neue Kampftechniken.)
TrainFightingNoTime,"(Es ist nicht mehr genug Zeit, um|deine Kampfkünste zu verbessern.)"
FindCollar,(Du findest ein seltsames Halsband|zwischen den Kimonos und Trainingsgeräten.)
