Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Jep! Und es ist mir|ziemlich gut gelungen.,Hoffentlich korrigiert etwas Isolation deine Haltung.|Schämst du dich für deine Tat?,10,-1,1,
0,0,0,,Sidney hat mich|dazu gedrängt!,Sie wird eine entsprechende Strafe erhalten.|Schämst du dich für deine Tat?,10,0,0,
0,0,0,,(Schweigen.),"Du solltest reden, solange du noch kannst.|Schämst du dich für deine Tat?",10,0,0,
0,0,0,,"Es tut mir leid,|Miss Mildred.",Schon besser. Aber du verdienst dennoch eine|Bestrafung. Schämst du dich für deine Tat?,10,1,-1,
10,0,0,,(Deinen Kopf senken.),Viel besser. Jetzt gib mir deine Tasche.|(Sie beschlagnahmt deine Schultasche.),20,0,-1,StealItems()
10,0,0,,(Schweigen.),Gut. Sei still und gib mir die Tasche.|(Sie beschlagnahmt deine Schultasche.),20,0,0,StealItems()
10,0,0,,"Ja, ich weiß, das|war unüberlegt.",Wohl war. Jetzt gib mir die Tasche.|(Sie beschlagnahmt deine Schultasche.),20,1,0,StealItems()
10,0,0,,Schämen? Das war die|beste Stunde überhaupt.,(Sie ist rasend.) Gib mir die Tasche!|(Sie beschlagnahmt deine Schultasche.),20,-1,0,StealItems()
10,0,0,,"Du hast dich kaum|dagegen gewehrt, Mildred.",Unfug! Jetzt gib mir die Tasche.|(Sie beschlagnahmt deine Schultasche.),20,0,1,StealItems()
20,0,0,,Hey! Das können|Sie nicht tun.,"Ich kann noch sehr viel Schlimmeres.|Entferne deine Uniform, junge Dame.",30,0,0,
20,0,0,,Bekomme ich meine|Tasche wieder?,"Erst nach deiner Bestrafung.|Jetzt entferne deine Uniform, junge Dame.",30,0,0,
30,0,0,,Sie Perverse! Ich ziehe|mich doch nicht aus.,"Wenn du es nicht tust, tue ich es.|Ziehe sie aus, oder es wird schmerzhaft.",40,0,1,
30,0,0,,Aber hier ist|es eisig kalt.,"Von deinem Gejammer wird es nicht wärmer.|Ziehe sie aus, oder es wird schmerzhaft.",40,0,0,
30,0,0,,"Ja, Miss Mildred.|(Ausziehen.)ADD_MINUTES:1",Sehr gut. Als Teil deiner Strafe wirst du|dies tragen. (Sie zeigt dir ein Lederhalsband.),60,1,-1,
30,0,0,,(Schweigend ausziehen.)ADD_MINUTES:1,Gutes Mädchen. Als Teil deiner Strafe wirst du|dies tragen. (Sie zeigt dir ein Lederhalsband.),60,1,0,
40,0,0,,Fick dich!,"(Sie zerrt und schnallt dich an eine Vorrichtung.)|Wir haben Wege, dich gefügig zu machen, junge Dame.",50,-1,0,
40,0,0,,Vergessen sie's. Ich|ziehe mich nicht aus.,"(Sie zerrt und schnallt dich an eine Vorrichtung.)|Wir haben Wege, dich gefügig zu machen, junge Dame.",50,0,0,
40,0,0,,"Ja, Miss Mildred.|(Ausziehen.)ADD_MINUTES:1",Sehr gut. Als Teil deiner Strafe wirst du|dies tragen. (Sie zeigt dir ein Lederhalsband.),60,1,-1,
40,0,0,,(Schweigend ausziehen.)ADD_MINUTES:1,Gutes Mädchen. Als Teil deiner Strafe wirst du|dies tragen. (Sie zeigt dir ein Lederhalsband.),60,1,0,
50,0,0,,Lassen Sie mich gehen!,(Sie zieht dich aus und holt ein Lederhalsband hervor.)|Als Teil deiner Strafe wirst du dies tragen.,70,0,0,
