Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"Hi, COMMON_PLAYERNAME, wie geht's?",JenniferIntro.jpg
0,4,0,,"COMMON_PLAYERNAME! Schön, dich wiederzusehen.",JenniferIntroHappy.jpg
0,0,4,,"Hallo, Miss COMMON_PLAYERNAME.|Was kann ich für Sie tun?",JenniferIntroSubbie.jpg
0,0,0,JudoVictory,Oh! Der Judo-Schwarzgurt!|Was kann ich für dich tun?,JenniferIntroSubbie.jpg
0,0,0,JudoDefeat,Oh! Meine Judo-Partnerin!|Was kann ich für dich tun?,JenniferIntro.jpg
0,0,0,HasEgg,Dieses Ding vibriert immer noch in mir!|Hoffentlich bin ich's bald los.,JenniferIntroSubbie.jpg
10,0,0,,Ich spiele vor dem Essen etwas Tennis.|Möchtest du mitkommen?,JenniferIntro.jpg
10,4,0,,Ich spiele vor dem Essen etwas Tennis.|Möchtest du mitkommen?,JenniferIntroHappy.jpg
10,0,4,,Ich spiele vor dem Essen etwas Tennis.|Möchtest du mitkommen?,JenniferIntroSubbie.jpg
15,0,0,,Ich spiele vor dem Essen etwas Tennis.|Möchtest du morgen mitspielen?,JenniferIntro.jpg
15,4,0,,Ich spiele vor dem Essen etwas Tennis.|Möchtest du morgen mitspielen?,JenniferIntroHappy.jpg
15,0,4,,Ich spiele vor dem Essen etwas Tennis.|Möchtest du morgen mitspielen?,JenniferIntroSubbie.jpg
20,0,0,,Möchtest du Tennis spielen?|Woran dachtest du?,JenniferIntro.jpg
20,4,0,,Möchtest du Tennis spielen?|Woran dachtest du?,JenniferIntroHappy.jpg
20,0,4,,Möchtest du Tennis spielen?|Woran dachtest du?,JenniferIntroSubbie.jpg
30,0,0,,Worum wetten wir genau?|Der Verlierer zahlt fürs Mittagessen?,JenniferIntro.jpg
30,4,0,,Worum wetten wir genau?|Der Verlierer zahlt fürs Mittagessen?,JenniferIntroHappy.jpg
30,0,4,,Worum wetten wir genau?|Der Verlierer zahlt fürs Mittagessen?,JenniferIntroSubbie.jpg
40,0,0,,Bereit zu spielen?,JenniferIntro.jpg
40,4,0,,Bereit zu spielen?,JenniferIntroHappy.jpg
40,0,4,,Bereit zu spielen?,JenniferIntroSubbie.jpg
90,0,0,,(Jennifer ist fort.),JenniferIntroGone.jpg
100,0,0,TennisVictory,"(Nach dem Spiel geht ihr in ein Café.)|Gut gespielt, du hast dir dein Gratis-Essen verdient.",JenniferPlayerLunch0.jpg
100,0,0,!TennisVictory,"(Nach dem Spiel geht ihr in ein Café.)|Mach dir nichts draus, ich spiele schon seit Jahren.",JenniferPlayerLunch0.jpg
105,0,0,,,JenniferPlayerLunch0.jpg
110,0,0,,,JenniferPlayerLunch0.jpg
113,0,0,,,JenniferPlayerLunch0.jpg
116,0,0,,,JenniferPlayerLunch0.jpg
120,0,0,,,JenniferPlayerLunch0.jpg
130,0,0,,,JenniferPlayerLunch0.jpg
140,0,0,,,JenniferPlayerLunch0.jpg
150,0,0,,,JenniferPlayerLunch0.jpg
160,0,0,,,JenniferPlayerLunch0.jpg
170,0,0,,,JenniferPlayerLunch0.jpg
175,0,0,,,JenniferPlayerLunch0.jpg
180,0,0,,,JenniferPlayerLunch0.jpg
185,0,0,,,JenniferPlayerLunch0.jpg
200,0,0,,,JenniferPlayerTennis.jpg
210,0,0,,,JenniferPlayerKiss.jpg
215,0,0,,,JenniferPlayerTennis.jpg
220,0,0,,,JenniferPlayerTennis.jpg
230,0,0,,,JenniferPlayerTennis.jpg
240,0,0,,,JenniferStrip.jpg
250,0,0,,,JenniferPlayerTennis.jpg
260,0,0,,,JenniferPlayerTennis.jpg
270,0,0,,,JenniferPlayerKiss.jpg
300,0,0,,,JenniferPlayerTennis.jpg
310,0,0,,,JenniferPlayerTennis.jpg
320,0,0,,,JenniferPlayerTennis.jpg
330,0,0,,,JenniferPlayerPushUp.jpg
340,0,0,,,JenniferPlayerTennis.jpg
350,0,0,,,JenniferPlayerTennis.jpg
360,0,0,,,JenniferPlayerTennis.jpg
400,0,0,,,JenniferPlayerPunish.jpg
410,0,0,,,JenniferPlayerPunish.jpg
420,0,0,,,JenniferPlayerPunish.jpg
430,0,0,,,JenniferPlayerPunish.jpg
440,0,0,,,JenniferPlayerPunishStrip.jpg
450,0,0,,,JenniferPlayerPunishStrip.jpg
460,0,0,,,JenniferPlayerPunishRacket.jpg
470,0,0,,,JenniferPlayerPunishStrip.jpg
480,0,0,,,JenniferPlayerPunish.jpg
