Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,EggRemarkAvail,Das Ei soll dich an|deine Rolle erinnern.,Meine Rolle? (Sie schaut zu Boden.)|Das... Das ist nicht sehr nett.,0,-1,1,EggRemark()
0,0,0,EggRemarkAvail,Das mit dem Ei tut mir leid.|Nimm es zu Hause raus.,"Schon gut, glaube ich. Reden|wir nicht mehr darüber.",0,1,-1,EggRemark()
0,0,0,,Spielst du|gleich Tennis?,Ja! Möchtest du mitspielen?,10,0,0,
0,0,0,,Warum bist du|so angezogen?,Ich spiele gleich etwas Tennis.|Möchtest du mitspielen?,10,0,0,
0,0,0,,Du siehst süß aus|in dem Rock.,Vielen Dank! Ich spiele gleich Tennis.|Möchtest du mitspielen?,10,1,0,
0,0,0,,Du siehst albern aus|mit dem Rock.,Zu altmodisch? Ich spiele gleich Tennis.|Möchtest du mitspielen?,10,-1,0,
0,0,0,,In diesem Rock sieht|dein Hintern toll aus.,(Sie guckt auf ihren Rock und wird rot.)|Möchtest du Tennis mit mir spielen?,10,0,1,
10,4,0,,"Gerne, wenn die|Siegerin belohnt wird.",Belohnt? Wie meinst du das?,20,0,0,
10,0,4,,"Bin dabei, wenn wir es|interessanter gestalten.",Interessanter? Wie meinst du das?,20,0,0,
10,0,0,NoOption,"Wir können gern spielen,|wenn du willst.",Okay! Heute geht das aber leider nicht.|Wie wär's mit morgen?,15,0,0,
10,0,0,NoOption,Klar! Spielen wir.|Das wird lustig.,Okay! Heute geht das aber leider nicht.|Wie wär's mit morgen?,15,1,0,
10,0,0,,"Ich kann gerade nicht,|aber dir viel Spaß!",Werd ich haben! Danke.|(Sie geht Tennis spielen.),90,0,0,EndLunch()
10,0,0,,"Sorry, Kleine, aber Tennis|ist ein Spiel für Kinder.","Na gut, Miss. Eine angenehme Mahlzeit.|(Sie schaut zu Boden und geht Tennis spielen.)",90,-1,1,EndLunch()
10,0,0,,"Eigentlich gern, aber|ich bin grottenschlecht.",Mit dieser Einstellung wirst du dich nie verbessern.|(Sie nimmt ihre Sachen und geht Tennis spielen.),90,0,-1,EndLunch()
15,0,0,,"Okay, spielen wir|morgen eine Runde.",Abgemacht! Dann Mahlzeit.|(Sie nimmt ihre Sachen und geht Tennis spielen.),90,0,0,EndLunch()
15,0,0,,Nein! Ich will jetzt spielen!,"Dann eben nicht, Mahlzeit.|(Sie nimmt ihre Sachen und geht Tennis spielen.)",90,-1,0,EndLunch()
20,0,0,,Die Verliererin wird für|die Pause zur Sklavin.,"Sklavin? Du meinst, die|Verliererin bezahlt das Essen?",30,0,1,
20,0,0,,Die Verliererin bedient in|der Pause die Siegerin.,"Sie bedienen? Du meinst, die|Verliererin bezahlt das Essen?",30,0,0,
20,0,0,,Andererseits will ich|lieber doch nicht mitspielen.,"Na gut, dann bis später.|(Sie nimmt ihre Sachen und geht Tennis spielen.)",90,0,0,EndLunch()
30,0,0,HasSeduction,Liebe Jennifer. Du liebst|doch Herausforderungen.,(Sie wird rot und schaut zu Boden.)|Das stimmt. Bist du bereit zu spielen?,40,1,1,
30,0,0,,"Ja, die Verliererin|zahlt und gehorcht.","Du drückst dich etwas merkwürdig aus,|aber ich bin dabei! Sollen wir anfangen?",40,0,0,
30,0,0,,Nochmal sag ich's nicht.|Bist du dabei oder nicht?,"(Sie runzelt die Stirn und wird kampflustig.)|Also schön! Bist du bereit, loszulegen?",40,-1,0,
30,0,0,,Andererseits will ich|lieber doch nicht mitspielen.,"Na gut, dann bis später.|(Sie nimmt ihre Sachen und geht Tennis spielen.)",90,0,0,EndLunch()
40,0,0,,Sei nicht zu grob mit mir.|(Tennis spielen.),,100,0,0,"PlayTennis(""Easy"")"
40,0,0,,Auf ein gutes Spiel.|(Tennis spielen.),,100,0,0,"PlayTennis(""Normal"")"
40,0,0,,Dich mach ich platt!|(Tennis spielen.),,100,0,0,"PlayTennis(""Hard"")"
40,0,0,,Andererseits will ich|lieber doch nicht mitspielen.,"Na gut, dann bis später.|(Sie nimmt ihre Sachen und geht Tennis spielen.)",90,0,0,EndLunch()
100,0,0,TennisVictory,Wie war die Wette? Du|gehorchst die Pause über.,"Ich weiß immer noch nicht, was du damit meinst.|Aber okay, ich gehorche und zahle für das Essen.",110,0,1,
100,0,0,TennisVictory,Ich spiele besser|bei hohem Einsatz.,"Ich weiß immer noch nicht, was du vor hast.|Aber okay, ich zahle für dein Essen.",110,0,0,
100,0,0,TennisVictory,Gut gespielt. Ich hatte|einfach nur Glück.,Danke! Ich werde üben und besser werden.|Jetzt genießt du erstmal dein Gratis-Essen.,110,1,0,
100,0,0,!TennisVictory,Du hast 'ne Sonnenblende.|Mir schien sie ins Gesicht.,Lass die faulen Ausreden. Ich habe|das Spiel und die Wette fair gewonnen.,105,-1,0,
100,0,0,!TennisVictory,Du bist viel|zu gut für mich.,"Kopf hoch, übe einfach ein wenig!|Nächstes Mal gewinnst du die Wette.",105,0,-1,
100,0,0,!TennisVictory,Das hat|Spaß gemacht.,Ja! Wir sollten bald noch eine Runde spielen.|Nächstes Mal gewinnst du vielleicht die Wette.,105,0,0,
105,0,0,,"Ja, Miss. Und ich gehorche|bis zum Ende der Pause.",Mir gehorchen? Du klingst so gefügig.|Ich werde mein Gratis-Essen jedenfalls genießen.,110,0,-1,
105,0,0,,Du erinnerst dich an|unseren Wetteinsatz?,"(Sie lacht.) Ja, du gehorchst mir die Pause über.|Und ich werde mein Gratis-Essen sicher genießen.",110,0,0,
105,0,0,,Ich bin bis zum Ende|der Pause deine Sklavin.,Meine Sklavin? Das klingt so falsch.|Ich freue mich aber auf mein Gratis-Essen.,110,-1,-1,
110,0,0,,Was willst du essen?,"Ich weiß noch nicht, irgendwas Gesundes.|Ernährst du dich auch gesund?",113,0,0,
110,0,0,,Was sollte ich essen?,Nimm einen Salat oder etwas veganes.|Ernährst du dich normalerweise gesund?,113,0,0,
110,0,0,,Einen netten Ort|hast du ausgesucht.,Ich bin nicht sehr oft hier.|Ich esse selten mit Freunden.,116,0,0,
110,0,0,,Das Restaurant sieht|in Ordnung aus.,Ich bin nicht sehr oft hier.|Ich esse selten mit Freunden.,116,0,0,
113,0,0,,Gesunde Ernährung?|Das ist recht öde.,Falsch. Eine gesunde Ernährung ist sehr wichtig.|Was für eine Karriere strebst du denn an?,120,0,0,BadMatch()
113,0,0,,Ich ernähre mich von|Bier und Kuchen.,Du solltest deine Ernährung etwas ernster nehmen.|Was für eine Karriere strebst du denn an?,120,0,0,BadMatch()
113,0,0,,Ich schwanke zwischen|gesund und ungesund.,In der Jugend sollte das noch in Ordnung sein.|Was für eine Karriere strebst du denn an?,120,0,0,
113,0,0,,Ich versuche ab und zu|was Gesundes zu essen.,In der Jugend sollte das noch in Ordnung sein.|Was für eine Karriere strebst du denn an?,120,0,0,
113,0,0,,Ich versuche|streng vegan zu essen.,Das ist eine sehr gute Zielsetzung.|Was für eine Karriere strebst du denn an?,120,0,0,GoodMatch()
