Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Was ist los?,Ich finde meinen verfickten Geldbeutel|nicht und ich hab einen Scheißhunger!,10,0,0,
0,0,0,,Ganz ruhig!,Ruhig? Ich hab 'nen Scheißhunger und ich|finde meinen Geldbeutel nicht!,10,-1,0,
0,0,0,,"Was ist dein|Problem, Mädchen?",Ich werd wahnsinnig! Ich finde meinen|Geldbeutel nicht und ich hab 'nen Mordshunger!,10,0,1,
0,0,0,,"Ich könnte versuchen,|dir zu helfen.",Hilf mir suchen! Ich hab meinen Geldbeutel|verloren und ich bin scheißhungrig!,10,0,-1,
10,0,0,,Wo hast du ihn|zuletzt gesehen?,"Keine Ahnung! Ich kann nicht denken, wenn ich|hungrig bin. Kannst du mir etwas Geld geben?",20,0,0,
10,0,0,,Gibt es Diebe in|diesem College?,"Sie wären gestört, wenn sie von mir stehlen.|Also, kannst du mir etwas Geld geben?",20,0,0,
10,0,5,,"Bleib locker, Mädchen.|Ich kauf dir was zu essen.","Miss? Im Ernst? Das ist wirklich toll.|Ich wäre soweit, können wir gehen?",30,0,1,
10,5,0,,"Komm mit, meine Liebe.|Ich kauf dir was zu essen.","Wirklich? Das ist verdammt geil.|Ich wäre soweit, können wir gehen?",30,1,0,
10,0,0,,Eine Mahlzeit weniger|überlebst du schon.,"Fick dich, Schlampe!|(Sie geht weg.)",90,-1,0,EndLunch()
10,0,0,,Ich hab 'n blondes Mädchen|mit einer Börse gesehen.,(Sie rast wie ein Stier durch den Gang.)|SAAAAAAARRRRRRRAAAAAHHH!!!,90,1,0,EndLunch()
20,0,0,,Geh woanders betteln.,"Fick dich, Schlampe!|(Sie geht weg.)",90,-1,1,EndLunch()
20,0,0,,"Sorry, ich|bin pleite.","Scheiße, scheiße, scheiße!|(Sie geht weg.)",90,0,0,EndLunch()
20,0,0,,Hier ist etwas Geld.|(Sidney Geld geben.),"Danke, Trottel!|(Sie nimmt dein Geld und rennt davon.)",90,1,-1,EndLunch()
20,0,5,,"Bleib locker, Mädchen.|Ich kauf dir was zu essen.","Miss? Im Ernst? Das ist wirklich toll.|Ich wäre soweit, können wir gehen?",30,0,1,
20,5,0,,"Komm mit, meine Liebe.|Ich kauf dir was zu essen.","Wirklich? Das ist verdammt geil.|Ich wäre soweit, können wir gehen?",30,1,0,
30,0,0,,Gehen wir!|(Mit Sidney essen.),Ihr lauft eilig in ein nahegelegenes Restaurant.|Sidney wählt schnell einen Tisch und wirkt sehr hungrig.,200,0,0,StartLunch()
100,0,0,,Was ist los?,Ich finde meinen verfickten Geldbeutel|nicht und ich hab einen Scheißhunger!,110,0,0,
100,0,0,,"Was ist dein|Problem, Mädchen?",Ich werd wahnsinnig! Ich finde meinen|Geldbeutel nicht und ich hab 'nen Mordshunger!,110,0,1,
