Tag,Content
FirstRope,(Zu bekifft oder zu sehr von dir verzeubert lässt|sie dich einen kompletten Seilharnisch binden.)
SecondRope,(Du ziehst ihr die Stiefel aus und|wickelst ein zweites Seil eng um ihre Beine.)
Cuffs,"(Sie starrt träge die Handschellen an, die du|mühelos hinter ihrem Rücken zuschnappen lässt.)"
BallGag,"(Sie schaut den Knebel böse an, wehrt sich|aber nicht, als du ihn ihr um den Kopf schnallst.)"
TapeGag,"(Sie schaut dich abwesend an, während du|ihr etwas Band über den Mund klebst.)"
Uncuff,(Du schließt ihre Handschellen auf und sie|bewegt ihre Hände sehr langsam nach vorne.)
Crop,"(Sie stöhnt beim Aufschlag der Gerte ein wenig,|aber es scheint sie nicht großartig zu stören.)"
VibratingEgg,"(Sie bemerkt kaum, wie du ihr das Ei|einführst, fängt aber spontan zu stöhnen an.)"
Collar,"(Du brauchst mind. +20 Dominanz und eine|Zeremonie, um Sidney ein Halsband anzulegen.)"
Extortion,"(Sidney kommt zurück und lacht dir ins Gesicht.)|Was tust du also, wenn ich nach Geld frage?"
InviteWeed,"Jep! Mit Fleisch kann man nix falsch machen.|Ich geh etwas Gras rauchen, kommst du mit?"
StripLove,"(Ihr lächelt euch an, während du langsam ihre|Bluse aufknöpfst und ihren Rock runterziehst.)"
StripSub,"(Du drückst sie gegen die Wand, während du ihre|Bluse aufknöpfst und ihren Rock runterziehst.)"
MasturbateLove,"(Während du dich über sie beugst und sie|sanft befriedigst, schließt sie die Augen und stöhnt.)"
MasturbateSub,"(Du drückst sie gegen die Wand und befriedigst|sie hastig, während sie zufrieden stöhnt.)"
ReadyForOrgasm,(Ihr stöhnender Atem wird schneller.|Sie scheint nah am Höhepunkt zu sein.)
LeaveBoundAndGagged,"(Willst du sie wirklich gefesselt und|geknebelt im Stich lassen? Wenn ja, klicke erneut.)"
