Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Finden wir hier|unsere Kostüme?,"Ja, du findest bestimmt auch etwas Passendes wie ich.|Halte dir bitte die Augen zu, dann ziehe ich mich um.",10,0,0,
0,0,0,SarahMissing,Sollte es nicht|drei Rollen geben?,"Die dritte ist Sarah, aber sie ist mal wieder zu spät.|Hoffentlich kommt sie, bevor wir anfangen.",0,0,0,
0,0,0,IsHeroine,Die Heldin ist eine|perfekte Rolle für dich.,"Du bist so lieb, COMMON_PLAYERNAME.|Halte dir bitte die Augen zu, dann ziehe ich mich um.",10,1,0,
0,0,0,!IsHeroine,Ich kann mir dich kaum|als Bösewicht vorstellen.,"Finde ich auch! Julia will mich wohl herausfordern.|Halte dir bitte die Augen zu, dann ziehe ich mich um.",10,1,0,
0,0,0,IsHeroine,Du als Heldin?,"Hey! Ich bin ein guter Mensch, ich kann das!|Halte dir bitte die Augen zu, dann ziehe ich mich um.",10,-1,1,
0,0,0,!IsHeroine,Ich sollte die Böse sein|und dich entführen.,"(Sie nickt.) Das könnte sicher auch Spaß machen.|Halte dir bitte die Augen zu, dann ziehe ich mich um.",10,-1,1,
0,0,0,,Schauspielstunden|sind Blödsinn.,"Sag sowas nicht! Sie sind sehr kulturell.|Halte dir bitte die Augen zu, dann ziehe ich mich um.",10,-1,0,
10,5,0,,Als Freunde könnten wir|uns beim Umziehen helfen.,Da hast du eigentlich recht. Dann weg mit|den Klamotten. (Sie zieht sich aus.),40,0,0,Strip()
10,0,5,,"Komm schon, Mädchen.|Runter mit dem Rock.",Ja. Ich sollte nicht so schüchtern sein. (Sie zieht sich|aus.) Kannst du mir bitte mit meiner Rüstung helfen?,40,0,0,Strip()
10,0,0,,Ich darf nicht|zugucken?,"Nein, COMMON_PLAYERNAME, darfst du nicht.|Es dauert nur ein paar Minuten.",10,0,0,
10,0,0,!Common_PlayerRestrained,(Dir die Augen zuhalten.),"(Du hältst dir mit beiden Händen die|Augen zu, während sie sich umzieht.)",20,0,0,StripNoLeave()
20,0,0,,(Weiter zuhalten.)ADD_MINUTES:1,(Du hörst das metallische Klicken eines Kostüms.)|Nur noch eine Minute bitte.,20,0,0,Changing()
20,0,0,,(Durch die|Finger linsen.)ADD_MINUTES:1,(Du schaust heimlich zwischen deinen Fingern durch|und siehst Amanda mit ihrer Rüstung kämpfen.),20,0,0,Changing()
20,0,0,,(Die Hände|runter nehmen.),Hey! Warum hältst du dir die|Augen nicht mehr zu?,30,-1,0,
30,0,0,,Du hast viel zu|lange gebraucht.,"Diese Rüstung anzuziehen ist nicht so einfach.|Kannst du mir lieber helfen, statt zu meckern?",40,-1,0,CheatedCover()
30,0,0,,Du schaffst das|nicht ohne Hilfe.,"Ja, da könntest du recht haben.|Hilfst du mir, die Rüstung anzuziehen?",40,0,1,CheatedCover()
