Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
100,0,0,PlayerIsHeroine,Schurke! Ihr habt|meine Verlobte geraubt.,"Amanda tritt schnell herbei und entgegnet:|""Ihr Herzschlag verkündete ihre wahre Liebe.""",120,0,0,"GlobalStage(120, 1, 0)"
100,0,0,PlayerIsHeroine,Dieb! Du hast meine|Braut gestohlen.,"Amanda scheint verwirrt und antwortet:|""Ihr Herz schlägt für die wahre Liebe.""",120,0,0,"GlobalStage(120, -1, 0)"
100,0,0,PlayerIsHeroine,"Tut mir leid, Julia. Ich hab|meinen Text vergessen.","Julia flüstert dir zu:|""Schurke! Ihr habt meine Verlobte geraubt.""",100,0,0,ForgetLine()
100,0,0,!PlayerIsHeroine,(Still zuhören.),"Der weiße Ritter tritt langsam herbei und sagt:|""Schurke! Ihr habt meine Verlobte geraubt.""",110,0,0,"GlobalStage(110, 0, 0)"
100,0,0,!PlayerIsHeroine,(Ungeduldig mit den|Fingern schnipsen.),"Der weiße Ritter tritt hastig herbei und sagt:|""Schurke! Ihr habt meine Verlobte geraubt.""",110,0,0,"GlobalStage(110, 0, 1)"
120,0,0,PlayerIsHeroine,"Lügner, lass|sie sofort frei.","Amanda kichert und antwortet:|""Komm näher und schmecke Stahl.""",140,0,0,"GlobalStage(140, -1, 0)"
120,0,0,PlayerIsHeroine,"Falsche Zunge, befreie|er sie geschwind.","Amanda starrt dich an und verkündet feierlich:|""Schreitet näher und trefft auf Stahl.""",140,0,0,"GlobalStage(140, 1, 0)"
120,0,0,PlayerIsHeroine,"Tut mir leid, Julia. Ich hab|meinen Text vergessen.","Julia seufzt und flüstert:|""Falsche Zunge, befreie er sie geschwind.""",120,0,0,ForgetLine()
120,0,0,!PlayerIsHeroine,(Still zuhören.),"Der weiße Ritter sagt standhaft:|""Falsche Zunge, befreie er sie geschwind.""",130,0,0,"GlobalStage(130, 0, 0)"
120,0,0,!PlayerIsHeroine,(Ungeduldig mit den|Fingern schnipsen.),"Der weiße Ritter sagt schnell:|""Falsche Zunge, befreie er sie geschwind.""",130,0,0,"GlobalStage(130, 0, 1)"
120,0,0,!PlayerIsHeroine,(Sie mit albernen|Grimassen ablenken.),"Der weiße Ritter lacht und sagt:|""Falsche Zunge, befreie er sie sofort.""",130,0,0,"GlobalStage(130, -1, 0)"
220,0,0,PlayerIsHeroine,"Das Schicksal wählt|also Metall, en garde!",Ihr zieht gleichzeitig eure Schwerter|und tretet einen Schritt vor.,230,0,0,"GlobalStage(230, -1, 0)"
