Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
100,0,0,PlayerIsHeroine,Félon ! Vous violâtes|ma fiancée.,"Amanda intervient rapidement et répond :|""Son coeur bat la chamade face a l'amour véritable.""",120,0,0,"GlobalStage(120, 1, 0)"
100,0,0,PlayerIsHeroine,Voleur ! Vous m'avez volé|ma femme.,"Amanda semble confuse et répond :|""Son coeur s'est plié face au grand amour.""",120,0,0,"GlobalStage(120, -1, 0)"
100,0,0,PlayerIsHeroine,Désolée Julia.|J'ai oublié ma réplique.,"Julia te chuchote :|""Félon ! Vous violâtes ma fiancée.""",100,0,0,ForgetLine()
100,0,0,!PlayerIsHeroine,(Tu écoutes calmement.),"Le chevalier blanc s'avance lentement et dit :|""Félon ! Vous violâtes ma fiancée.""",110,0,0,"GlobalStage(110, 0, 0)"
100,0,0,!PlayerIsHeroine,(Tu claques tes doigts|avec impatience.),"Le chevalier blanc s'avance rapidement et crie :|""Félon ! Vous violâtes ma fiancée.""",110,0,0,"GlobalStage(110, 0, 1)"
120,0,0,PlayerIsHeroine,"Grossier personnage,|libérez-la maintenant.","Amanda rit et répond :|""Avancez et vous rencontrerez l'acier.""",140,0,0,"GlobalStage(140, -1, 0)"
120,0,0,PlayerIsHeroine,"Mauvaise langue,|libérez-la à la hâte.","Amanda te fixe et répond solennellement :|""Un pas de plus et vous aurez à tater de l'acier.""",140,0,0,"GlobalStage(140, 1, 0)"
120,0,0,PlayerIsHeroine,Désolée Julia.|J'ai oublié ma réplique.,"Julia soupire et chuchote :|""Mauvaise langue, libérez-la à la hâte.""",120,0,0,ForgetLine()
120,0,0,!PlayerIsHeroine,(Tu écoutes calmement.),"Le chevalier blanc prend une pose et dit :|""Mauvaise langue, libérez-la à la hâte.""",130,0,0,"GlobalStage(130, 0, 0)"
120,0,0,!PlayerIsHeroine,(Tu claques tes doigts|avec impatience.),"Le chevalier blanc dit rapidement :|""Mauvaise langue, libérez-la à la hâte.""",130,0,0,"GlobalStage(130, 0, 1)"
120,0,0,!PlayerIsHeroine,(Tu fais des grimaces|pour la distraire.),"Le chevalier blanc rit et dit :|""Grossier personnage, libérez-la maintenant.""",130,0,0,"GlobalStage(130, -1, 0)"
220,0,0,PlayerIsHeroine,"Votre destin sera|le métal, en garde !",Vous dégainez simultanément vos|épées et faites un pas en avant.,230,0,0,"GlobalStage(230, -1, 0)"
