Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,IsDamsel,Du siehst als Jungfrau so reizend aus.|Hoffentlich bist du bereit fürs Teatro!,JuliaShow.jpg
0,0,0,IsHeroine,Der grausame schwarze Ritter ist da.|Hoffentlich bist du bereit fürs Teatro!,JuliaShow.jpg
0,0,0,IsVillain,Oh! Der tapfere weiße Ritter.|Hoffentlich bist du bereit fürs Teatro!,JuliaShow.jpg
10,0,0,,,Julia.jpg
20,0,0,,,JuliaShow.jpg
100,0,0,IsHeroine,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
100,0,0,!IsHeroine,(Sie sieht den weißen Ritter an.),JuliaLookAway.jpg
110,0,0,IsVillain,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
110,0,0,!IsVillain,(Sie sieht den schwarzen Ritter an.),JuliaLookAway.jpg
120,0,0,IsHeroine,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
120,0,0,!IsHeroine,(Sie sieht den weißen Ritter an.),JuliaLookAway.jpg
130,0,0,IsVillain,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
130,0,0,!IsVillain,(Sie sieht den schwarzen Ritter an.),JuliaLookAway.jpg
140,0,0,IsDamsel,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
140,0,0,!IsDamsel,(Sie sieht die Jungfrau an.),JuliaLookAway.jpg
150,0,0,IsDamsel,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
150,0,0,!IsDamsel,(Sie sieht die Jungfrau an.),JuliaLookAway.jpg
160,0,0,IsDamsel,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
160,0,0,!IsDamsel,(Sie sieht die Jungfrau an.),JuliaLookAway.jpg
200,0,0,IsVillain,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
200,0,0,!IsVillain,(Sie sieht den schwarzen Ritter an.),JuliaLookAway.jpg
210,0,0,IsVillain,"(Sie flüstert dir zu.) Schau nicht zu mir.|Das ist dein Moment, ein Star zu sein.",JuliaLookPlayer.jpg
