Tag,Content
Crop,(Elle gémit un peu pendant que tu la fouettes|sur les fesses mais ne réagit pas beaucoup.)
Rope,(Tu enroules la corde autour de son corps|courbé. Elle a l'air de s'amuser un peu.)
TwoRopes,"(Tu prends une deuxième corde et attaches|ses jambes, elle finit agenouillée.)"
Armbinder,(Ses bras ne rentreront pas|dans le petit fourreau en cuir.)
Cuffs,"(Elle ne semble pas apprécier les menottes,|mais tu parviens à lui mettre derrière son dos.)"
BallGag,(Elle se débat un peu mais tu parviens|à lui attacher le bâillon sur sa tête.)
TapeGag,(Elle se débat un peu mais tu parviens|à lui mettre le ruban sur la bouche.)
ClothGag,(Elle se débat un peu mais tu parviens à lui|mettre la ouate dans la bouche et attacher le bâillon.)
CuffsKey,(Elle positionne ses mains pour que|tu puisses la libérer facilement.)
VibratingEgg,"(Elle te regarde et elle voit l'oeuf, mais|tu arrives à lui glisser à l'intérieur.)"
CannotWearBelt,(La ceinture est trop petite pour Julia.)
CannotWearCollar,(Les professeurs ne peuvent pas porter de collier.)
RefuseBondage,"(Julia voit l'objet et le refuse. Demoiselle,|tu as besoin de ""+5"" en soumission pour l'utiliser.)"
Orgasm,"(Elle secoue la tête, mais ne peut pas résister à|tes doigts habiles et a un orgasme sur scène.)"
QueenTurnTables,Qu'est-ce que vous faites ? Je suis la reine !|(Elle te maîtrise et utilise tes objets contre toi.)
AcceptRelease,"Alors, besoin d'aide ? Votre reine va vous prêter secours.|(Elle te libère de ton bondage.)"
