Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,IsDamsel,Quel genre de costume ?,Je suis censée jouer la demoiselle en détresse.|Je dois trouver une robe de mariée blanche.,0,0,0,
0,0,0,!IsDamsel,Quel genre de costume ?,Je suis censée jouer le chevalier héroïque.|J'ai besoin d'une armure médiévale blanche.,0,0,0,
0,0,0,,Le cours d'art|dramatique est stupide.,Très bien ! Je vais le chercher toute seule. (Elle trouve|un costume.) Ça te dérange si je me déshabille ici ?,10,-1,0,
0,0,0,!Common_PlayerRestrained,(Tu cherches son|costume.) (1 minute),(Tu trouves son costume et elle saute de joie.)|Parfait !  Ça ne te dérange pas si je me déshabille ici ?,10,0,-1,
0,0,0,IsDamsel,(Tu pointes du doigt|l'étagère.) (1 minute),Je l'ai trouvée ! (Elle prend une robe de mariée.)|Ça ne te dérange pas si je me déshabille ici ?,10,0,0,
0,0,0,!IsDamsel,(Tu pointes du doigt|l'étagère.) (1 minute),Je l'ai trouvée ! (Elle prend une armure blanche.)|Ça ne te dérange pas si je me déshabille ici ?,10,0,0,
10,0,0,IsDamsel,Tu peux te déshabiller ici.|Je t'aiderai avec la robe.,C'est très gentil. (Elle se déshabille.)|Qu'est-ce que je dois mettre en premier ? La robe ?,20,1,0,Strip()
10,0,0,!IsDamsel,Tu peux te déshabiller ici.|Je t'aiderai avec l'armure.,C'est très gentil. (Elle se déshabille.) Qu'est-ce que|je dois mettre en premier ?  La cotte de mailles ?,20,1,0,Strip()
10,0,0,IsDamsel,(Tu hoches la tête.),(Elle se déshabille joyeusement.)|Qu'est-ce que je dois mettre en premier ? La robe ?,20,0,0,Strip()
10,0,0,!IsDamsel,(Tu hoches la tête.),(Elle se déshabille joyeusement.) Qu'est-ce que|je dois mettre en premier ? La cotte de mailles ?,20,0,0,Strip()
20,0,0,PlayerIsRoped,(Tu te tournes et|montres tes cordes.),"Nan ! Je te préfère quand tu es attachée.|Si tu luttes encore un peu plus, tu pourras te libérer.",20,0,0,TestUntiePlayer()
20,0,0,PlayerInArmbinder,(Tu te tournes et|secoue ton fourreau.),"Nan ! Je te préfère quand tu es attachée. Si tu luttes|encore un peu plus, tu pourras te libérer un jour.",20,0,0,TestUnstrapPlayer()
20,0,0,PlayerIsCuffed,(Tu te tournes et|montres tes menottes.),"Nan, je n'ai pas de clés.",20,0,0,TestUncuffPlayer()
20,0,0,IsBothFree,Tu sais que tu es jolie ?,"Oh, Tu es si gentille.|Merci COMMON_PLAYERNAME.",20,0,0,
20,0,0,IsBothFree,Tu serais superbe|toute attachée.,(Elle rit et acquiesce.)|Voudrais-tu m'attacher ?,20,0,0,TiedUpComment()
20,0,0,ReadyHug,Quelques câlins|avant la pièce ?,Bien sûr ! J'adore les câlins.|Quel genre de câlins ?,300,0,0,StartHugs()
20,0,0,IsBothFree,(Tu l'aides à s'habiller.)|(1 minute),(Tu l'aides à mettre son costume.)|Parfait ! Sommes-nous prêtes pour la pièce ?,30,0,0,Costume()
20,0,0,IsBothFree,"Sarah, aimerais-tu|m'attacher ?","Oh non, je ne peux pas faire ça Madame.|(Elle rougit et incline la tête.)",20,0,0,RandomBondage()
20,0,0,!Common_PlayerRestrained,(Tu la chatouilles.)|(1 minute),"(Tu la chatouilles sur les côtes et elle glousse|légèrement, elle n'est pas très chatouilleuse.)",20,0,0,
20,0,0,!Common_PlayerRestrained,(Tu lui mets une fessée.)|(1 minute),(Elle se penche pour que tu puisses lui donner|une fessée. Elle gémit et semble en profiter.),20,0,0,Spank()
20,0,5,!Common_PlayerRestrained,(Tu la gifles.)|(1 minute),(Tu lui donnes une bonne gifle sur le visage|et la poitrine pendant qu'elle crie de plaisir.),20,0,0,Slap()
20,0,0,!Common_PlayerRestrained,(Tu la masturbes.)|(1 minute),"(Tu te penches pour la masturber,|mais elle repousse ta main.)",20,0,0,Masturbate()
20,0,0,CanUntie,(Tu la détaches.)|(1 minute),"(Elle se débat de façon ludique,|mais tu peux la détacher.)",20,0,0,Untie()
20,0,0,CanUnstrap,(Tu la détaches.)|(1 minute),"(Elle se débat joyeusement pour garder son fourreau,|mais tu es capable de le détacher et de la libérer.)",20,0,0,Untie()
20,0,0,CanUngag,(Tu la débâillonnes.)|(1 minute),"(Elle bouge la tête en cercle, mais|tu es capable d'enlever le bâillon.)",20,0,0,Ungag()
30,0,0,IsPlayReady,Faisons du théâtre !|(Vous rejoignez la scène.),,30,0,0,StartDrama()
30,0,0,!IsPlayReady,Tout le monde|n'est pas prêt.,On doit peut-être se dépêcher.,30,0,0,
100,0,0,Common_PlayerGagged,@Ungn !,Hoche la tête pour un oui ou secoue-la pour un non.|Tu as besoin d'aide avec ce bâillon ?,100,0,0,
100,0,0,,(Tu hoches la tête|lentement.),Nan ! Je te préfère comme ça.|Peux-tu m'aider à trouver mon costume ?,0,0,0,CheckUngag()
100,0,0,,(Tu secoues la tête.),"Très bien, tu es mignonne avec ce bâillon.|Peux-tu m'aider à trouver mon costume ?",0,0,0,
200,0,0,,Bienvenue au paradis.,"(Elle acquiesce et gémit, récupérant|lentement de son orgasme.)",20,1,0,
200,0,0,,(Tu caresses doucement|sa tête.),"(Elle ronronne et gémit, récupérant|lentement de son orgasme.)",20,1,0,
200,0,0,,"Maintenant, je contrôle|tes orgasmes.","(Elle incline la tête, récupérant|lentement de son orgasme.)",20,0,1,
200,0,0,,(Tu la gifles au visage.),"(Elle incline la tête, récupérant|lentement de son orgasme.)",20,0,1,
