Tag,Content
UngagPlayer,"(Sie kichert und entfernt deinen Knebel.)|Hilfst du mir, mein Kostüm zu finden?"
CropToSearch,"(Du schlägst zu und sie fängt schnell an zu suchen.)|Hab's! Ist es okay, wenn ich mich hier umziehe?"
CropToStrip,(Du schlägst zu und sie zieht sich sofort aus.)|Mit welchem Teil des Kostüms soll ich anfangen?
CostumeBeforeFun,Oh gut! Du hast Spielzeug. Aber erst|brauche ich mein Kostüm. Hilfst du mir?
CostumeBlocksFun,"Ich würde dein Spielzeug gern ausprobieren, aber|es ist zu spät, ich trage schon mein Kostüm."
PlayerRandomBondage,Klar! (Sarah nimmt wahllos Dinge aus|deiner Tasche und fesselt dich damit.)
NoBondageItem,"(Sie schaut in deine Tasche.) Tut mir leid, COMMON_PLAYERNAME.|Du hast nichts dabei, was ich benutzen könnte."
Collar,"(Du brauchst mind. +20 Dominanz und eine|Zeremonie, um Sarah ein Halsband anzulegen.)"
Crop,(Du schlägst sie ziemlich doll und sie stöhnt.|Es scheint ihr echt zu gefallen.)
Rope,(Du wickelst das Seil um ihren Körper|und sie testet vergnügt deine Fesselkunst.)
TwoRopes,(Du nimmst ein zweites Seil und bindest|ihre Beine in eine kniende Position.)
Armbinder,"(Sie steckt ihre Arme ohne Protest in den|Lederhandschuh, damit du ihn zuschnüren kannst.)"
Cuffs,"(Sie nickt zustimmend, als du ihre Hände nach|hinten ziehst und ihr Handschellen anlegst.)"
BallGag,"(Sie neigt ihren Kopf näher zu dir,|damit du sie einfacher knebeln kannst.)"
TapeGag,"(Sie neigt ihren Kopf näher zu dir,|damit du sie einfacher knebeln kannst.)"
ClothGag,"(Sie neigt ihren Kopf näher zu dir,|damit du sie einfacher knebeln kannst.)"
CuffsKey,"(Sie weicht dir verspielt aus, um dich am|Aufschließen zu hindern, aber es gelingt dir.)"
VibratingEgg,"(Sie nickt beim Anblick des Eis und spreizt|die Beine, um dir den zugang zu erleichtern.)"
ChastityBelt,"(Beim Anblick des Gürtels wird sie panisch, aber|du legst ihn ihr um und lässt ihn einrasten.)"
MasturbateBelt,(Dein Befriedigungsversuch misslingt. Du bekommst|kaum einen Finger unter den Gürtel gesteckt.)
Masturbate,(Du befriedigst sie in zügigem Tempo.|Sie stöhnt leise und kichert.)
MasturbateGood,"(Du befriedigst sie in zügigem Tempo,|während sie stöhnt und vor Genuss zittert.)"
MasturbateOrgasm,(Sie verliert die Kontrolle und bekommt|einen Orgasmus mitten im Umkleideraum.)
DressWithBelt,"(Du hilfst ihr beim Anziehen, aber sie wirkt unruhig.)|Na gut, erst die Probe, der Gürtel kann danach ab."
RefuseBelt,"(Du versuchst ihr den Gürtel anzulegen, aber|sie weigert sich prompt und drängt ihn weg.)"
UndressBeforeBondage,"(Sie kichert und nickt.)|Nur, wenn du dich vorher ausziehst."
UntiePlayer,Na gut. Lass mich dir mit den Seilen helfen.|(Sie befreit dich aus deinen Fesseln.)
UnstrapPlayer,"Ja, lass mich dir aus dem Handschuh helfen.|(Sie löst die Riemen und befreit dich.)"
CannotFree,(Sie deutet auf ihre eigenen Fesseln und kichert.)
CannotFreeGagged,(Sie schüttelt den Kopf.)
HelpWhileGagged,(Sie lockert die Knoten und summt|dabei ein Lied in ihren Knebel.)
