Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
110,0,0,PlayerIsVillain,Son coeur bat la chamade|face à l'amour véritable.,"Le héros s'avance et répond :|""Mauvaise langue, libérez-la à la hâte.""",130,0,0,"GlobalStage(130, 1, 0)"
110,0,0,PlayerIsVillain,Son coeur s'est plié|face au grand amour.,"Le chevalier blanc répond dans la confusion :|""Grossier personnage, libérez-la maintenant.""",130,0,0,"GlobalStage(130, -1, 0)"
110,0,0,PlayerIsVillain,Désolée Julia.|J'ai oublié ma réplique.,"Julia te chuchote :|""Son coeur bat la chamade face à l'amour véritable.""",110,0,0,ForgetLine()
110,0,0,!PlayerIsVillain,(Tu écoutes calmement.),"Le chevalier noir prend une pose et dit :|""Son coeur bat la chamade face à l'amour véritable.""",120,0,0,"GlobalStage(120, 0, 0)"
110,0,0,!PlayerIsVillain,(Tu claques tes doigts|avec impatience.),"Le chevalier noir enchaine rapidement et dit :|""Son coeur bat la chamade face à l'amour véritable.""",120,0,1,"GlobalStage(120, 0, 1)"
130,0,0,PlayerIsVillain,Avancez et vous|rencontrerez l'acier.,Les deux chevaliers se regardent l'un l'autre|pendant que la demoiselle s'avance sur scène.,140,0,0,"GlobalStage(140, -1, 0)"
130,0,0,PlayerIsVillain,Un pas de plus et vous|aurez à tater de l'acier.,Les deux chevaliers se regardent l'un l'autre|pendant que la demoiselle s'avance sur scène.,140,0,0,"GlobalStage(140, 1, 0)"
130,0,0,PlayerIsVillain,Désolée Julia.|J'ai oublié ma réplique.,"Julia soupire et chuchote :|""Un pas de plus et vous aurez à tater de l'acier.""",130,0,0,ForgetLine()
130,0,0,!PlayerIsVillain,(Tu écoutes calmement.),"Le chevalier noir fait un regard menaçant et dit :|""Un pas de plus et vous aurez à tater de l'acier.""",140,0,0,"GlobalStage(140, 0, 0)"
130,0,0,!PlayerIsVillain,(Tu claques tes doigts|avec impatience.),"Le chevalier noir répond rapidement :|""Un pas de plus et vous aurez à tater de l'acier.""",140,0,0,"GlobalStage(140, 0, 1)"
130,0,0,!PlayerIsVillain,(Tu fais des grimaces|pour la distraire.),"Le chevalier noir rit et répond :|""Un pas de plus et l'acier vous tatera.""",140,0,0,"GlobalStage(140, -1, 0)"
200,0,0,PlayerIsVillain,"Héros ! Vous avez son|cœur, sa chair m'appartient.","Le héros prend son épée et crie :|""Votre destinée se finira par l'acier, en garde !""",230,0,0,"GlobalStage(230, 1, 0)"
200,0,0,PlayerIsVillain,"Héros ! Vous avez son|cœur, mais j'ai son corps.","Le héros tâtonne avec son épée et dit :|""Votre destin sera le métal, en garde !""",230,0,0,"GlobalStage(230, -1, 0)"
200,0,0,PlayerIsVillain,Désolée Julia.|J'ai oublié ma réplique.,"Julia te chuchote :|""Héros ! Vous avez son coeur, sa chair m'appartient.""",200,0,0,ForgetLine()
200,0,0,!PlayerIsVillain,(Tu écoutes calmement.),"Le chevalier noir saisit la demoiselle et dit :|""Héros ! Vous avez son coeur, sa chair m'appartient.""",220,0,0,"GlobalStage(220, 0, 0)"
200,0,0,PlayerIsHeroine,(Tu applaudis légèrement.),"Le chevalier noir saisit la demoiselle et dit :|""Héros ! Vous avez son coeur, sa chair m'appartient.""",220,1,0,"GlobalStage(220, 1, 0)"
200,0,0,PlayerIsHeroine,(Tu bailles d'ennui.),"Le chevalier noir saisit la demoiselle et dit :|""Héros ! Vous avez son coeur, sa chair m'appartient.""",220,-1,0,"GlobalStage(220, -1, 0)"
200,0,0,DamselCanInteract,(Tu applaudis légèrement.),"Le chevalier noir saisit la demoiselle et dit :|""Héros ! Vous avez son coeur, sa chair m'appartient.""",220,1,0,"GlobalStage(220, 1, 0)"
200,0,0,DamselCanInteract,(Tu bailles d'ennui.),"Le chevalier noir saisit la demoiselle et dit :|""Héros ! Vous avez son coeur, sa chair m'appartient.""",220,-1,0,"GlobalStage(220, -1, 0)"
210,0,0,PlayerIsVillain,"Héros ! Concèdez cette|défaite, elle est à moi.","Le héros prend son épée et crie :|""Votre destinée se finira par l'acier, en garde !""",230,0,0,"GlobalStage(230, 1, 0)"
210,0,0,PlayerIsVillain,Acceptez votre défaite|Héros ! Elle est à moi.,"Le héros tâtonne avec son épée et dit :|""Votre destin sera le métal, en garde !""",230,0,0,"GlobalStage(230, -1, 0)"
210,0,0,PlayerIsVillain,Désolée Julia.|J'ai oublié ma réplique.,"Julia soupire et chuchote : |""Héros ! Concèdez cette défaite, elle est à moi.""",200,0,0,ForgetLine()
