Tag,Content
PlayerDamselVillainWin,(Les deux chevaliers font un drôle de jeu d'épée et|Amanda gagne en mettant l'épée ennemie sur le sol.)
PlayerDamselHeroineWin,(Les deux chevaliers font un jeu d'escrime|et Sarah gagne en désarmant Amanda.)
RefuseBondageFromDamsel,"(Elle voit l'objet mais le refuse rapidement. Demoiselle,|tu as besoin de ""+10"" en soumission pour l'utiliser.)"
RefuseBondageFromKnight,"(Elle voit l'objet mais le refuse rapidement. Chevalier,|tu as besoin de ""+5"" en soumission pour l'utiliser.)"
Crop,(Tu lui donnes un bon coup et elle|n'a pas l'air d'apprécier du tout.)
Rope,(Tu la déshabilles et enroule la corde autour|de son corps pendant qu'elle gémit de plaisir.)
TwoRopes,"(Tu saisis ses jambes et attaches une deuxième|corde autour d'elles, la forçant à s'agenouiller.)"
Armbinder,"(Tu glisses ses bras dans le fourreau|en cuir, l'attache et le lace bien fort.)"
Cuffs,(Tu saisis ses mains et les épingles dans|son dos pour pouvoir lui mettre les menottes.)
BallGag,(Tu attaches sa tête avec le harnais serré et|pousses la grosse boule rouge à l'intérieur.)
TapeGag,(Tu la tiens par la mâchoire|et tu lui scotches la bouche.)
ClothGag,(Tu forces la ouate dans sa bouche et|attaches le bâillon autour de sa tête.)
CuffsKey,(Tu déverrouilles les menottes pendant qu'elle vérifie|ses poignets pour s'assurer qu'il n'y a pas de marques.)
VibratingEgg,"(Elle te regarde et elle voit l'oeuf, mais|tu parviens à lui glisser à l'intérieur.)"
ChastityBelt,"(Elle fronce les sourcils quand elle voit la ceinture,|mais elle se résigne quand tu la verrouilles sur elle.)"
Collar,"(""+20"" en soumission ou plus et une cérémonie spéciale|sont nécéssaire pour faire porter un collier à une élève.)"
Orgasm,(Elle a un orgasme silencieux sur scène et regarde|autour d'elle pour vérifier si quelqu'un l'a remarqué.)
Ravish,Ce soir ? Je veux vous ravir tout de suite.|(Elle utilise tes propres affaires contre toi.)
MasturbateChaste,(Tu peines à glisser un doigt sous la ceinture|mais c'est trop serré pour la satisfaire.)
