Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerGagged,@Mnaaaeg mmh !,(Elle regarde ton bâillon et rit.),0,0,0,
0,0,0,HasEgg,Comment l'as-tu enlevé ?,"C'est humiliant, j'ai dû me contracter|péniblement pour l'extraire.",0,0,0,
0,0,0,HasEgg,Je peux récupérer l'oeuf ?,"C'est trop tard, je l'ai jeté.",0,0,0,QueryEgg()
0,0,0,HasEgg,"Jen, je veux|récupérer l'oeuf.","C'est trop tard, je l'ai jeté.",0,-1,1,QueryEgg()
0,0,0,,Qu'est-ce que tu fais ici ?,Je lis l'histoire des Jeux Olympiques.,10,0,0,
0,0,0,,Comment vas-tu ?,"Je vais bien merci,|je lis l'histoire des Jeux Olympiques.",10,1,0,
0,0,0,,Cette bibliothèque est|plutôt ennuyeuse.,Je ne suis pas d'accord. J'ai trouvé un livre|intéressant sur l'histoire des Jeux Olympiques.,10,-1,0,
0,0,0,TennisVictory,On pourrait refaire|une partie de tennis.,Ce serait super !|Et je gagnerai cette fois-ci !,0,0,0,
0,0,0,TennisDefeat,On pourrait refaire|une partie de tennis.,Ce serait génial !|Peut-être que tu gagneras cette fois-ci.,0,0,0,
10,0,0,,Les Jeux Olympiques ?|C'est passionnant.,"N'est-ce pas ? les Jeux sont éminemment politiques.|Et de ton coté ? Tu cherches un livre ?",20,1,0,
10,0,0,!BookAlreadyFound,Je dois trouver|un livre.,Oh ? Quel livre cherches-tu ?,20,0,0,
10,0,0,,Ça interesse qui|les Jeux Olympiques ?,(Elle fait la moue.) Des tas de gens.|Quoi qu'il en soit. Tu cherches un livre ?,20,-1,0,
10,0,0,,Ne finis pas dopée|comme les athlètes.,(Elle secoue la tête.) Bien sûr que non.|Et de ton coté ? Tu cherches un livre ?,20,0,1,
10,0,0,,Tu seras une|bonne athlète.,Oh ! C'est vraiment très gentil.|Et de ton coté ? Tu cherches un livre ?,20,1,-1,
20,0,0,BookAlreadyFound,J'ai déjà trouvé|mon livre.,D'accord ! Bonne lecture dans ce cas.,100,0,0,
20,0,0,,Le comte de|Monte Cristo.,"Tu le trouveras sûrement dans la section littérature.|Reviens sur tes pas, va tout droit et regarde à gauche.",40,0,0,
20,0,0,,Cinquante nuances|de Grey.,(Elle rit.) J'ai de sérieux doutes que|tu puisses trouver ce livre ici.,30,0,-1,
