Tag,Content
GetEgg,"Très bien, tu peux le récupérer.|(Elle te rend l'oeuf.)"
SitTogether,Prends place.|(Elle tapote deux fois le canapé et tu t'assieds.)
CannottSitRestrained,Tu devras d'abord te libérer de tes entraves.
GreatDate,Toi et moi à un rendez-vous ce soir ?|Oh oui ! Ce serait fantastique.
NoTimeToDraw,(Tu n'as plus assez de temps.)
JumpOffWorry,"(En voyant ton objet, elle saute du canapé.)|Attends ! Qu'est-ce que tu fais ? Qu'est-ce que c'est ?"
RefuseBondage,"(Elle voit ton objet et te repousse.)|(""+5"" en soumission pour t'en servir sur elle.)"
TurnTablesFromItem,(Elle voit ton objet et elle te maîtrise rapidement|puis elle t'attache avec tes propres objets.)
TurnTablesFromTalk,"J'ai une meilleure idée, une aventure de bondage.|(Elle t'attache avec tes propres objets.)"
AcceptRelease,"Très bien, je vais essayer de t'aider.|(Elle te libère du mieux qu'elle peut.)"
Crop,"(Tu lui donnes quelques coups avec|la cravache, elle pleure et gémit.)"
Collar,"(""+20"" en soumission ou plus et une cérémonie spéciale|sont nécéssaire pour faire porter un collier à une élève.)"
Rope,(Elle semble nerveuse lorsque tu enroules|soigneusement la corde autour de son corps.)
TwoRopes,(Tu prends une deuxième corde et attaches|ses jambes en position agenouillée.)
Armbinder,"(Tu fais glisser ses bras dans le fourreau|en cuir, le lace et le sangle bien fort.)"
Cuffs,(Elle fait la moue et tremble pendant que tu saisis|ses mains et les menottes derrière son dos.)
BallGag,(Elle lutte et sautille mais tu parviens|à lui mettre le bâillon sur la tête.)
TapeGag,(Elle lutte et sautille mais tu parviens|à lui scotcher la bouche.)
ClothGag,(Elle lutte et sautille mais tu parviens à lui bourrer la|bouche avec la ouate en tissu et à attacher le bâillon.)
CuffsKey,(Elle place ses mains en évidence pour|que tu puisses la libérer facilement.)
VibratingEgg,(Elle serre les jambes quand elle voit l'oeuf|mais tu parviens à le lui glisser à l'intérieur.)
ChastityBelt,"(Elle panique quand elle voit la ceinture, mais tu|parviens à la verrouiller hermétiquement sur elle.)"
MasturbateBelt,"(Tu essaies de la masturber, mais tu échoues.|Tu peux à peine mettre un doigt sous sa ceinture.)"
MasturbateNoLove,(Tu la masturbes avec une cadence tendre|mais elle demeure silencieuse et se débat.)
MasturbateLove,"(Tu la masturbes avec une cadence tendre, elle ne|parvient pas à cacher ses gémissements de plaisir.)"
MasturbateOrgasm,(Elle perd le contrôle de son corps et obtient|un orgasme fracassant dans la bibliothèque.)
GreatKiss,"(Au début elle demeure glaciale, mais ton séduisant|baiser l'a étonnamment excité, elle l'a apprécié.)"
TestMakeLoveFail,"(Elle secoue la tête, saute|rapidement du canapé et part.)"
StripRevealBelt,(Elle acquiesce et vous vous déshabillez.|Elle remarque rapidement ta ceinture de chasteté.)
JenniferOralOrgasm,"(Tu la sens trembler dans une puissante extase.|Elle émet des petits cris, obtenant un bel orgasme.)"
PlayerOralOrgasm,"(Même avec peu d'expérience sexuelle, Jennifer|parvient à te lécher et à te donner un doux orgasme.)"
PleasureMeFirst,Non. Je tiens à être la première.|(Elle te met à genoux.)
JenniferIsDone,"Oh non, ça ira. Je peux continuer.|(Elle reste à genoux, entre tes jambes.)"
SneakyEgg,"(Pendant un moment d'inattention, tu glisses vite|fait un oeuf vibrant à l'intérieur de son vagin.)"
UnlockBeforeRelease,(Elle acquiesce et te montre ses|menottes pour que tu puisses la libérer.)
AcceptStrip,(Elle s'assure qu'il n'y a personne aux alentours|et se met lentement en sous-vêtements.)
