Tag,Content
FindItem,你检查一下木柜台，然后找到|一个箱子，里面有一件有趣的东西。
TrainRopeMasteryNoTime,在下节课之前你没有足够时间看完漫画了。
CannotMasturbate,你试图把手指伸进贞操带，|但是失败了。
Orgasm,你肆意地爱抚着自己，|在剧烈的颤抖中达到了高潮。
OrgasmEnough,你爱抚着自己，|但已经性奋不起来了。
OrgasmRepeat,你的爱抚与跳蛋的震动|激起了你新一轮的欲望。
ClimbFindItem,你像猴子一样爬上杂物，|发现了一件有趣的东西。
StruggleBackFromHolde,你像一个敏捷的体操选手一样|慢慢从洞里爬了出来。
NoMoreSweetGwendoline,你继续在书架上寻找，|但杂志已经找不到了。
FindKey,你在桌上找到了一把钥匙|并藏在了包里。
OpenKey,你试了试刚找到的钥匙，|门锁被打开了。
OpenForce,你用尽全力在门上一撞，|强行破坏了门锁。
FindO,在书架上，你发现了一本古怪的|法语书，名叫“L'Historire d'O”。
FindCabinet,你在柜子里找到了一个项圈。
