Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,下午好，小姐。|我以前从没见过你，你是新来的学生吗？,Library.jpg
1,0,0,,欢迎来到我们学院，我是Yuki老师。,Library.jpg
2,0,0,,请不要在图书馆里太吵。,Library.jpg
5,0,0,Common_PlayerGagged,嘿，你的嘴怎么被堵住了？,Library.jpg
5,0,0,Common_PlayerRestrained,嘿，谁把你捆起来了？,Library.jpg
6,0,0,,,Library.jpg
10,0,0,,嘿~我的小母狗回来了！|你还记得我们的约定吧？,Library.jpg
20,0,0,,你在这呢！我已经找了你好几个小时了。|你怎么逃出来的？,Library.jpg
21,0,0,,我对你脱缚的本事印象深刻。|你有自信在任何束缚下都能逃脱么？,Library.jpg
22,0,0,,保持安静，别给自己惹麻烦。,Library.jpg
30,0,0,,看来我的不懂事的小母狗又回来了。|我希望你能从孤独中学到一些东西。,Library.jpg
31,0,0,,保持安静，别给自己惹麻烦。,Library.jpg
40,0,0,,我希望你能从孤立中学到一些东西。|现在学会不给自己惹麻烦了么？,Library.jpg
41,0,0,,答应我安静，不要惹麻烦。,Library.jpg
50,0,0,,你一定是COMMON_PLAYERNAME。|Mildred老师把你的事告诉我了。,Library.jpg
60,0,0,,小姐，我希望你不要再打架了，|你应该已经从拘留中吸取了教训。,Library.jpg
70,0,0,,小姐，我希望你不要再惹麻烦了，|而且你应该已经从拘留中吸取了教训。,Library.jpg
80,0,0,,（Yuki抓住你的腿，把你拽了出来。）小姐，你在里面干什么？,Hole.jpg
81,0,0,,,Hole.jpg
82,0,0,,,Hole.jpg
83,0,0,,,Hole.jpg
90,0,0,,（Yuki拍了拍你的肩膀。）小姐，你在干什么？,Gwendoline.jpg
91,0,0,,,Gwendoline.jpg
92,0,0,,,Gwendoline.jpg
100,0,0,,你在找哪本书？,Library.jpg
100,0,0,IsolationEarlyReleaseYuki,你好，我的小母狗。|你在找哪本书？,Library.jpg
110,0,0,,你在找哪本书？,Library.jpg
120,0,0,,去文学区找找。|在主过道左边第二个架子上。,Library.jpg
180,0,0,,（Yuki抓住你的腿，把你拽了出来。）小姐，你在里面干什么？,Hole.jpg
181,0,0,,,Hole.jpg
182,0,0,,,Hole.jpg
183,0,0,,,Hole.jpg
190,0,0,,（Yuki拍了拍你的肩膀。）小姐，你在干什么？,Gwendoline.jpg
191,0,0,,,Gwendoline.jpg
192,0,0,,,Gwendoline.jpg
200,0,0,,你还有什么需要的？,Library.jpg
200,-3,0,,（她生气地看了你一眼。）你想要什么？,Library.jpg
200,0,0,LittlePet,我的小母狗，随后我还会来你帮忙的。|现在你还需要什么吗？,Library.jpg
200,0,0,Common_PlayerRestrained,小姐，你看上去遇到麻烦了。,Library.jpg
200,0,0,Common_PlayerGagged,小姐，你看上去遇到麻烦了。,Library.jpg
205,0,0,,小姐，你有什么想法？,Library.jpg
210,0,0,,所以你需要我帮忙找回你的笔？,Library.jpg
220,0,0,,,Library.jpg
230,0,0,,,Hole.jpg
240,0,0,,,Hole.jpg
250,0,0,,,HoleYuki.jpg
255,0,0,,,HoleYuki.jpg
260,0,0,,,HoleYuki.jpg
270,0,0,,,Hole.jpg
280,0,0,,小姐，你答应过要做好人的。那你在里面干什么？,Hole.jpg
290,0,0,,小姐，你答应过要做好人的。告诉我你在做什么。,Gwendoline.jpg
291,0,0,,,Library.jpg
300,0,0,,,Library.jpg
310,0,0,,,Library.jpg
320,0,0,,,DeskFloor.jpg
330,0,0,,,DeskFloor.jpg
340,0,0,,,DeskFloorGagged.jpg
400,0,0,,,Library.jpg
410,0,0,,（Yuki还在昏睡中）,LibraryFloor.jpg
420,0,0,,,Library.jpg
430,0,0,,,Library.jpg
500,0,0,,（Yuki仍在挣扎着试图钻出去。）,HoleYuki.jpg
510,0,0,,（Yuki仍在挣扎着试图钻出去。|她的内裤掉在了地板上。）,HoleYukiNoPanties.jpg
511,0,0,,（Yuki还在洞里颤抖着，蜜汁横流。|就要到高潮了。）,HoleYukiNoPanties.jpg
512,0,0,,（Yuki还在洞里，在一次美妙的高潮后大口喘着气。）,HoleYukiNoPantiesOrgasm.jpg
520,0,0,,（Yuki仍在挣扎着试图钻出去。|贞操带牢牢锁在了她的腰上。）,HoleYukiChastityBelt.jpg
530,0,0,,,Hole.jpg
600,0,0,,,Library.jpg
610,0,0,,,Library.jpg
620,0,0,,,Library.jpg
630,0,0,,,Library.jpg
640,0,0,,,Library.jpg
650,0,0,,(她一言不发地盯着你.),Library.jpg
700,0,0,,,Library.jpg
710,0,0,,,Library.jpg
720,0,0,,,LibraryOrgasm.jpg
730,0,0,,,Library.jpg
750,0,0,,,Library.jpg
