Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,是的，今天是我|来这里的第一天。,欢迎来到我们学校，|我是Yuki老师。,1,0,0,
0,0,0,,我很惊讶你居然|不知道我是谁。,我没听说过你。|我是Yuki老师。,1,0,1,
0,0,0,,是的，女士，|新学校总是很可怕的。,别害怕，不会有事的。|我是Yuki老师。,1,0,-1,
1,0,0,,很高兴见到你，|Yuki老师。,我也很高兴见到你，|不过请在图书馆里保持安静。,2,1,0,
1,0,0,,嘿~Yuki~。,(她皱着眉头)是Yuki老师。|请在图书馆里保持安静。,2,-1,0,
1,0,0,!Common_PlayerRestrained,(与她握手。),(她和你握了手。)|现在请在图书馆里保持安静。,2,0,0,
2,0,0,,(默默点头。),不错。你是在找一本特别的书吗？,100,1,-1,
2,0,0,,好好好，我知道。,(她生气地看了你一眼。)|你在找一本特别的书吗？,100,-1,1,
2,0,0,,我会保持安静的。,很好。你是在找一本特别的书吗？,100,0,0,
5,0,0,Common_PlayerRestrained,(拉扯捆住你的东西。),过来，我来帮你。(她解开了你)|好了，你可以走了。,6,0,0,TestRelease()
5,0,0,Common_PlayerGagged,@Numn ngnnnuh!,过来，我来帮你。(她解开了你)|好了，你可以走了。,6,0,0,TestRelease()
5,0,0,,女士，能帮帮我吗？,很好，我会帮你的，小姐。|(她解开了你)好了，你现在可以走了。,6,0,0,TestRelease()
5,0,0,,詹妮弗把我|弄成这样的。,我很惊讶她会做这样的事。|(她解开了你)你现在可以走了。,6,0,0,TestRelease()
6,0,0,,(点点头走开。),,6,0,0,PlayerLeaveForBook()
6,0,0,,好的，小姐。(走开。),,6,0,0,PlayerLeaveForBook()
10,0,0,,我忘了。,不，你当然记得，我的小母狗了。|(她抓着你的头发，自己坐到了桌子上。),700,0,0,StartPleasure()
10,0,0,,是的，Yuki小姐，|我记得。,很好，我的小母狗，再过来点。 |(她抓着你的头发，自己坐到了桌子上。),700,1,-1,StartPleasure()
10,0,0,,约定？你仿佛|在逗我笑。,(她皱着眉头)如果是开玩笑的话，我会|告诉你的。(她抓着你的头发，自己坐到了桌子上。),700,-1,1,StartPleasure()
20,0,0,,有个学生来帮我的。,你可真是幸运。|你能保证今后会做个好人么？,22,0,0,
20,0,0,,有位老师来帮我的。,你可真是幸运。|你能保证今后会做个好人么？,22,0,0,
20,0,0,,我挣扎了很久才逃走。,真令人印象深刻。|所以你认为自己能从任何束缚中挣脱吗？,21,1,0,
20,0,0,,这太简单了~|我是个逃脱大师！,少吹牛了。真你认为自己|能从任何束缚中挣脱吗？,21,0,1,
20,0,0,,这不关你的事。,让我们看看你现在能不能再挣脱出去。|(她摁住你，给你套上一个单手套。),300,-1,1,RestrainPlayer()
21,0,0,,任何时候|我都能逃脱！,好吧，小姐，试试这样如何？。|(她摁住你，给你套上一个单手套。),300,0,1,RestrainPlayer()
21,0,0,,不，我今天|早上很幸运。,你的运气真是不一般。|那你能保证今后做个好人么？,22,0,0,
22,0,0,,好吧，我保证。,很好。你是在找一本书吗？,100,0,0,NoSecondChance()
22,0,0,,行吧，我保证|会做个好人。,不错。你是在找一本书吗？,100,1,0,NoSecondChance()
22,0,0,,是是是，|我保证。,好吧。你是在找一本书吗？,100,-1,0,NoSecondChance()
22,0,0,,我永远不会|答应你！,如果你不听话，我就再把你捆住。|(她摁住你，给你套上一个单手套。),300,-1,1,RestrainPlayer()
30,0,0,,是的，小姐，|我吸取了教训。,很好。现在答应我保持安静，|不要在图书馆惹麻烦。,31,0,-1,
30,0,0,,与世隔绝的那|一小时过得很快。,(她皱着眉头)下一次就是一整天。|你能保证我现在会好起来吗？,31,0,1,
30,0,0,,对不起，|我不能取悦你。,我再给你一次机会，小母狗。|(她抓着你的头发，自己坐到了桌子上。),700,0,-1,StartPleasure()
30,0,0,,想要高潮么？|我来给你。,哦？真的吗？那我们就来做吧，小母狗。|(她抓着你的头发，自己坐到了桌子上。),700,0,1,StartPleasure()
31,0,0,,好吧，我保证。,很好。你是在找一本书吗？,100,0,0,NoSecondChance()
31,0,0,,行吧，我保证|会做个好人。,不错。你是在找一本书吗？,100,1,0,NoSecondChance()
31,0,0,,是是是，|我保证。,好吧。你是在找一本书吗？,100,-1,0,NoSecondChance()
31,0,0,,我永远不会|答应你！,如果你不听话，我就再把你捆住。|(她摁住你，给你套上一个单手套。),300,-1,1,RestrainPlayer()
40,0,0,,制造麻烦是|我的人生目标。,(她叹了口气)那就给我安静点，|不要在图书馆惹麻烦。,41,0,1,
40,0,0,,我不会惹麻烦的。,好吧，答应我安静点，|不要在图书馆惹麻烦。,41,0,0,
40,0,0,,是的，小姐，|我现在是个好女孩了。,很好，答应我安静点，|不要在图书馆惹麻烦。,41,0,-1,
41,0,0,,好吧，我保证。,很好。你是在找某本书吗？,100,0,0,NoSecondChance()
41,0,0,,行吧，我保证|会做个好人。,不错。你是在找某本书吗？,100,1,0,NoSecondChance()
41,0,0,,是是是，|我保证。,好吧。你是在找某本书吗？,100,-1,0,NoSecondChance()
41,0,0,,我永远不会|答应你！,如果你不听话，我就再把你捆住。|(她摁住你，给你套上一个单手套。),300,-1,1,RestrainPlayer()
50,0,0,,很好。告诉她|我向她问好。,这一点也不好笑，小姐。|你在找某本书吗？,100,-1,1,
50,0,0,,是的，我们以前见过。,就当做是那样吧。|你在找某本书吗？,100,0,0,
50,0,0,,我姑且算个有名的人。,肯定也不是什么好名声。|你在找某本书吗？,100,0,1,
50,0,0,,Mildred是个|阴险的老巫婆。,我真该用肥皂洗洗你的嘴。|你在找某本书吗？,100,-2,0,
